SubjectID,G,age.tested,hand,sspan.raw,ppvt.raw,wasi.vocab.raw,wasi.matr.raw,wasi.iq,towre.w.ipm,towre.nw.ipm,wj3.watt.raw,wj3.oralcomp.raw,wj3.rcomp.raw,wj3.wid.raw,wj3.rf.ipm,celf.rs.raw,celf.fs.raw,ctopp2.rapid.naming.comp,Wasi.vocab.raw,wj3.rcomp.ss
1,Female,21.28,23,48,216,47,25,129,148.57,77.73,29,31,42,74,36.52,90,56,122,47,134
2,Male,24.26,13,59,,46,24,122,134.67,81.82,28,27,40,71,36.30,89,49,116,46,104
3,Male,24.73,13,38,220,43,24,114,112.00,81.33,32,31,39,75,29.33,86,56,,43,102
4,Female,21.86,,42,,,,,136.00,80.00,,,,,,,,,,
5,Male,22.90,,42,,,,,152.20,118.06,,,,,,,,,,
6,Female,22.74,,53,,,,,152.20,77.33,,,,,,,,,,
7,Female,24.55,,,,,,,,,,,,,,,,,,
8,Female,20.73,,44,,,,,114.67,95.38,,,,,,,,,,
9,Female,22.95,16,44,,,,,130.67,105.00,,,,,,,,,,
10,Female,21.79,,,,,,,,,,,,,,,,,,
11,Female,18.42,13,57,214,45,26,134,148.57,81.33,31,29,41,74,27.67,93,56,101,45,110
12,Female,19.74,12,47,200,41,20,97,147.14,80.00,28,29,43,69,21.00,94,52,101,41,116
13,Female,17.06,,45,,,,,154.50,73.33,,,,,,,,,,
14,Male,22.26,-17,40,214,50,22,132,141.82,77.33,31,31,43,75,31.67,93,55,107,50,114
15,Male,19.07,13,19,180,28,17,78,106.67,74.67,31,14,33,68,14.00,65,46,104,28,87
17,Male,19.18,18,10,198,33,25,106,117.33,64.00,27,22,38,60,17.67,70,48,101,33,101
18,Male,21.83,-11,39,186,34,27,97,122.67,65.33,30,24,36,67,19.33,81,53,107,34,95
19,Male,24.73,20,39,207,41,21,104,113.33,77.33,29,30,40,73,22.67,,,,41,104
20,Male,20.06,-17,30,181,26,20,82,,,26,23,34,65,17.00,61,45,88,26,90
21,Male,19.75,20,34,201,34,21,95,105.33,77.33,28,27,34,70,21.00,88,54,101,34,90
22,Male,17.60,24,21,177,30,9,67,101.33,44.00,21,25,29,61,14.33,80,48,92,30,74
23,Female,16.60,18,38,187,35,20,90,126.67,72.00,22,28,35,67,28.33,86,52,85,35,94
24,Male,24.41,2,44,195,39,20,100,141.82,96.32,32,23,36,75,22.67,87,54,110,39,95
25,Male,17.40,12,22,196,27,13,63,121.33,70.67,28,23,34,62,29.00,68,55,104,27,90
26,Male,24.79,,24,,,,,,,,,,,,,,,,
27,Male,23.50,17,53,222,52,25,132,148.57,96.92,32,34,45,76,39.73,95,53,113,52,122
28,Female,22.23,,45,218,52,22,132,150.00,81.33,31,31,42,76,33.03,92,55,,52,123
29,Male,22.35,,,,,,,70.67,18.67,,,,,,,,,,
30,Female,18.02,20,43,198,41,23,112,122.67,77.33,29,27,34,69,22.33,89,50,85,41,89
31,Male,22.45,20,49,220,51,28,155,164.21,99.47,32,31,44,74,44.55,93,56,,51,118
32,Male,19.77,10,32,165,33,15,81,122.67,60.00,27,20,33,62,22.67,74,52,98,33,87
33,Female,19.01,22,26,162,35,20,96,116.00,57.33,24,15,29,64,13.00,85,49,98,35,75
34,Male,19.16,,18,179,38,20,100,113.33,68.00,30,21,30,65,21.67,64,51,101,38,78
35,Female,21.30,20,17,180,32,9,69,98.67,16.00,11,23,35,53,16.67,79,48,101,32,93
36,Female,16.97,24,34,193,39,17,89,126.67,85.12,30,26,34,71,33.49,84,51,104,39,90
37,Female,21.90,20,33,209,38,21,100,118.67,77.33,31,24,37,75,32.00,73,52,98,38,97
38,Female,20.71,,6,,,,,,,,,,,,,,,,
39,Female,17.89,17,30,168,29,17,80,84.00,8.00,10,23,32,45,19.00,71,52,95,29,83
40,Female,16.26,19,24,178,28,15,71,122.67,60.00,24,20,32,63,18.67,63,55,95,28,84
41,Male,22.88,19,34,205,30,21,83,106.67,77.33,30,24,42,70,25.33,76,55,116,30,111
42,Female,20.97,21,27,183,29,23,91,78.67,70.67,29,23,32,65,23.67,89,52,98,29,85
43,Female,18.84,12,25,193,33,17,86,114.67,70.67,27,24,33,65,24.00,73,48,82,33,86
