subject,cohort,gender,age,hand,sspan.raw,ppvt.raw,wasi.vocab.raw,wasi.matr.raw,wasi.iq,wj3.watt.raw,wj3.wid.raw,wj3.rcomp.raw,wj3.oralcomp.raw,celf.rs.raw,celf.fs.raw,towre.w.ipm,towre.nw.ipm,wj3.rf.ipm
1,a197,Female,21.28405202,23,48,216,47,25,129,29,74,42,31,90,56,148.5714286,77.72727273,36.52173913
2,a197,Male,24.26283368,13,59,,46,24,122,28,71,40,27,89,49,134.6666667,81.81818182,36.2962963
3,a197,Male,24.73374401,13,38,220,43,24,114,32,75,39,31,86,56,112,81.33333333,29.33333333
4,a197,Female,21.85900068,,42,,,,,,,,,,,136,80,
5,a197,Male,22.89938398,,42,,,,,,,,,,,152.195122,118.0645161,
6,a197,Female,22.73511294,,53,,,,,,,,,,,152.195122,77.33333333,
7,a197,Female,24.55304586,,,,,,,,,,,,,,,
8,a197,Female,20.73374401,,44,,,,,,,,,,,114.6666667,95.38461538,
9,a197,Female,22.9486653,16,44,,,,,,,,,,,130.6666667,105,
10,a197,Female,21.79329227,,,,,,,,,,,,,,,
11,a197,Female,18.41752225,13,57,214,45,26,134,31,74,41,29,93,56,148.5714286,81.33333333,27.66666667
12,a197,Female,19.73716632,12,47,200,41,20,97,28,69,43,29,94,52,147.1428571,80,21
13,a197,Female,17.0568104,,45,,,,,,,,,,,154.5,73.33333333,
14,a197,Male,22.25598905,-17,40,214,50,22,132,31,75,43,31,93,55,141.8181818,77.33333333,31.66666667
15,a197,Male,19.07186858,13,19,180,28,17,78,31,68,33,14,65,46,106.6666667,74.66666667,14
17,a197,Male,19.17590691,18,10,198,33,25,106,27,60,38,22,70,48,117.3333333,64,17.66666667
18,a197,Male,21.82888433,-11,39,186,34,27,97,30,67,36,24,81,53,122.6666667,65.33333333,19.33333333
19,a197,Male,24.73374401,20,39,207,41,21,104,29,73,40,30,,,113.3333333,77.33333333,22.66666667
20,a197,Male,20.06023272,-17,30,181,26,20,82,26,65,34,23,61,45,,,17
21,a197,Male,19.75085558,20,34,201,34,21,95,28,70,34,27,88,54,105.3333333,77.33333333,21
22,a197,Male,17.60438056,24,21,177,30,9,67,21,61,29,25,80,48,101.3333333,44,14.33333333
23,a197,Female,16.60232717,18,38,187,35,20,90,22,67,35,28,86,52,126.6666667,72,28.33333333
24,a197,Male,24.41341547,2,44,195,39,20,100,32,75,36,23,87,54,141.8181818,96.31578947,22.66666667
25,a197,Male,17.39904175,12,22,196,27,13,63,28,62,34,23,68,55,121.3333333,70.66666667,29
26,a197,Male,24.78576318,,24,,,,,,,,,,,,,
27,a197,Male,23.49897331,17,53,222,52,25,132,32,76,45,34,95,53,148.5714286,96.92307692,39.72972973
28,a197,Female,22.23408624,,45,218,52,22,132,31,76,42,31,92,55,150,81.33333333,33.03370787
29,a197,Male,22.35455168,,,,,,,,,,,,,70.66666667,18.66666667,
30,a197,Female,18.01779603,20,43,198,41,23,112,29,69,34,27,89,50,122.6666667,77.33333333,22.33333333
31,a197,Male,22.45037645,20,49,220,51,28,155,32,74,44,31,93,56,164.2105263,99.47368421,44.54545455
32,a197,Male,19.77275838,10,32,165,33,15,81,27,62,33,20,74,52,122.6666667,60,22.66666667
33,a197,Female,19.00889802,22,26,162,35,20,96,24,64,29,15,85,49,116,57.33333333,13
34,a197,Male,19.15674196,,18,179,38,20,100,30,65,30,21,64,51,113.3333333,68,21.66666667
35,a197,Female,21.29774127,20,17,180,32,9,69,11,53,35,23,79,48,98.66666667,16,16.66666667
36,a197,Female,16.97467488,24,34,193,39,17,89,30,71,34,26,84,51,126.6666667,85.11627907,33.48837209
37,a197,Female,21.9028063,20,33,209,38,21,100,31,75,37,24,73,52,118.6666667,77.33333333,32
38,a197,Female,20.71457906,,6,,,,,,,,,,,,,
39,a197,Female,17.89459274,17,30,168,29,17,80,10,45,32,23,71,52,84,8,19
40,a197,Female,16.26283368,19,24,178,28,15,71,24,63,32,20,63,55,122.6666667,60,18.66666667
41,a197,Male,22.87748118,19,34,205,30,21,83,30,70,42,24,76,55,106.6666667,77.33333333,25.33333333
42,a197,Female,20.97467488,21,27,183,29,23,91,29,65,32,23,89,52,78.66666667,70.66666667,23.66666667
43,a197,Female,18.84462697,12,25,193,33,17,86,27,65,33,24,73,48,114.6666667,70.66666667,24
44,a197,Female,21.32785763,,41,,,,,,,,,,,106.6666667,61.33333333,
45,a197,Female,21.58795346,21,18,180,28,24,80,28,64,37,26,71,51,117.3333333,41.33333333,21.33333333
46,a197,Female,23.58110883,23,49,,46,24,122,27,73,43,31,81,52,126.6666667,56,32.35955056
47,a197,Female,19.44421629,18,26,178,26,18,78,28,65,35,21,64,46,117.3333333,58.66666667,19.66666667
48,a197,Female,18.4257358,,53,214,46,24,127,,,,,,,128,105.8823529,
49,a197,Female,21.19917864,,33,,,,,,,,,,,109.3333333,65.33333333,
50,a197,Female,18.56810404,18,42,213,43,22,114,32,74,37,28,89,53,168.6486486,105.4545455,33.25714286
51,a197,Male,22.98151951,12,13,202,40,17,95,29,68,38,27,74,50,128,61.33333333,24
52,a197,Male,18.00410678,16,42,216,47,25,136,29,74,43,32,94,55,106.6666667,84.54545455,31
53,a197,Male,22.09445585,,43,,,,,,,,,,,,,
54,a197,Male,23.54551677,18,36,209,37,21,93,32,73,40,27,83,55,143.7209302,83.72093023,22
56,a197,Male,18.54620123,12,51,220,49,24,138,29,76,45,32,94,55,173.3333333,88.5,38.43137255
58,a197,Female,24.28747433,,49,,48,22,124,,,,,,,147.1428571,99.47368421,
59,a197,Female,19.86036961,,42,,,,,,,,,,,121.3333333,68,
60,a197,Male,22.6036961,,0,,,,,,,,,,,92,40,
61,a197,Female,22.22861054,17,30,213,43,24,116,31,74,41,25,85,53,137.3333333,81.33333333,28
62,a197,Male,18.4312115,19,37,209,35,18,85,28,63,36,30,81,55,116,52,18.33333333
63,a197,Male,18.45859001,,54,218,47,,97,,,,,,,130.6666667,77.33333333,
64,a197,Male,18.58726899,,26,205,35,17,89,,,,,,,124,77.33333333,
65,a197,Female,22.02874743,17,45,204,40,12,85,32,74,40,27,92,55,126.6666667,76,35.42168675
66,a197,Male,24.8843258,-15,27,200,32,18,86,28,67,35,24,79,52,122.6666667,62.66666667,19.33333333
68,a197,Female,22.75975359,18,38,208,36,23,95,31,72,38,27,79,53,141.8181818,90,33.40909091
69,a197,Female,19.69883641,,23,204,35,19,92,28,68,36,27,80,55,114.6666667,54.66666667,23
70,a197,Male,24.88706366,9,32,193,36,19,87,30,70,33,28,91,55,125.3333333,81.33333333,26.33333333
71,a197,Female,23.40041068,22,45,210,39,18,90,28,67,41,30,82,54,162.2047244,76,32
72,a197,Male,21.32238193,14,32,197,31,20,82,26,64,36,22,81,53,96,70.66666667,25.33333333
73,a197,Female,21.97672827,16,46,207,37,18,87,31,72,38,26,85,53,116,77.33333333,26.66666667
75,a197,Female,18.26146475,-7,21,195,30,21,84,30,66,35,25,78,51,109.3333333,56,20.33333333
76,a197,Male,18.13278576,6,16,154,25,16,67,32,63,32,22,74,49,116,79.42562262,18.33333333
77,a197,Female,24.06570842,20,21,196,38,20,92,24,73,36,27,73,54,118.6666667,68,26
78,a197,Female,19.63039014,24,13,151,24,16,71,28,61,30,21,49,44,88,48,16.33333333
79,a197,Female,20.62970568,17,37,195,41,21,105,30,72,39,28,80,54,109.3333333,73.33333333,22
80,a197,Male,20.43258042,10,49,166,30,16,79,16,55,29,24,56,51,106.6666667,53.33333333,19.66666667
81,a197,Male,19.33470226,22,23,171,34,16,86,26,60,36,25,64,52,90.66666667,46.66666667,19.33333333
82,a197,Female,19.1430527,22,39,191,38,20,100,30,67,37,26,74,51,108,70.66666667,22
83,a197,Female,23.60301164,15,43,218,44,25,122,30,75,43,30,95,55,138.6666667,89.59537572,40.55172414
84,a197,Female,20.8733744,18,24,180,27,13,69,19,59,36,22,80,53,96,36,18.33333333
85,a197,Female,21.7303217,15,36,209,45,21,113,30,74,38,26,88,55,126.6666667,73.33333333,34.13173653
86,a197,Female,21.62628337,16,36,169,25,22,84,28,65,33,25,89,49,118.6666667,56,19.66666667
87,a197,Male,22.54893908,18,49,213,39,27,123,25,69,43,31,86,54,124,53.33333333,28.33333333
88,a197,Male,22.58726899,16,,218,41,22,101,32,74,39,31,93,53,133.3333333,74.66666667,31.66666667
90,a197,Female,20.50924025,,33,192,33,22,95,22,67,36,,84,50,105.3333333,56,24.66666667
91,a197,Female,21.88364134,24,35,188,34,21,95,27,69,35,26,72,54,117.3333333,61.33333333,26
92,a197,Female,24.862423,-6,51,220,49,23,131,31,76,44,32,88,51,152.195122,89.26829268,38.68421053
93,a197,Female,16.1724846,,,200,,,,27,66,37,28,,,,,26.66666667
94,a197,Female,22.03969884,16,42,219,47,23,122,30,74,39,32,91,54,154.5,76.36363636,36.2962963
95,a197,Male,23.2881588,13,35,206,35,23,100,30,72,36,25,82,56,155.7663505,90,38.4
96,a197,Female,24.53935661,13,23,180,32,,65,,,,,73,52,121.3333333,46.66666667,
97,a197,Female,20.21902806,-16,37,210,42,25,118,29,73,37,27,82,54,125.3333333,74.66666667,32
98,a197,Male,22.14647502,9,27,190,35,17,88,28,63,35,22,55,52,106.6666667,66.66666667,25.66666667
99,a197,Male,23.88227242,21,17,158,31,14,76,30,64,30,21,79,50,117.3333333,69.33333333,28
100,a197,Female,18.05612594,20,45,193,41,26,125,29,66,38,25,95,55,133.3333333,83.58913813,29.33333333
101,a197,Male,24.32854209,18,21,184,33,19,89,0,48,27,21,74,52,108,29.33333333,20.33333333
102,a197,Male,19.35112936,16,45,215,39,25,115,30,75,40,30,93,55,113.3333333,72,37.4522293
103,a197,Male,20.89801506,19,53,212,43,25,120,29,73,42,31,90,55,118.6666667,52,27.33333333
104,a197,Male,22.71321013,,,,,,,,,,,,,,,
105,a197,Female,18.06707734,16,45,196,40,21,106,29,68,37,27,82,55,82.66666667,57.33333333,35.70552147
106,a197,Male,22.38740589,10,32,,42,16,97,31,69,35,29,,,121.3333333,69.33333333,24
107,a197,Male,24.75017112,,,,,,,,,,,,,,,
108,a197,Female,21.84257358,14,23,153,31,20,88,26,55,36,21,70,54,89.33333333,21.33333333,19.66666667
109,a197,Female,21.17453799,,,,,,,,,,,,,,,
111,a197,Male,23.53456537,13,39,211,47,17,110,28,73,40,28,87,56,137.3333333,70.66666667,28.33333333
112,a197,Male,23.59753593,9,39,204,42,25,118,31,70,42,28,84,54,117.3333333,65.33333333,26.33333333
113,a197,Male,19.61943874,-14,45,222,38,21,102,30,76,40,29,88,53,147.2480343,89.41651932,36.14906832
114,a197,Male,19.36481862,12,33,198,33,22,97,28,65,39,22,84,50,133.3333333,68,27.66666667
115,a197,Male,22.12457221,-4,26,130,31,18,84,19,52,29,18,66,49,98.66666667,18.66666667,22
116,a197,Male,18.65023956,15,,,,,,,,,,,,,,
117,a197,Female,21.98494182,13,41,223,50,23,134,28,74,42,30,92,54,181.2372931,78.03680982,50.25641026
118,a197,Male,21.30595483,15,43,216,39,19,98,28,74,43,31,90,56,137.3333333,74.66666667,37.4522293
119,a197,Female,19.92060233,15,24,190,35,20,96,26,68,36,27,63,53,110.6666667,30.66666667,25.66666667
120,a197,Female,21.5742642,19,41,200,37,20,97,28,71,36,31,94,55,137.3333333,83.91608392,36
121,a197,Male,19.62765229,14,38,212,43,23,116,29,74,42,30,85,56,122.6666667,62.66666667,28
122,a197,Female,23.19780972,24,45,209,44,27,132,30,72,41,31,96,54,112,72,38.43137255
123,a197,Female,21.47296372,18,43,210,31,23,94,31,72,41,29,95,55,108,56,28.33333333
124,a197,Male,20.36960986,14,43,213,39,23,106,32,73,44,27,95,55,151.1261807,77.33333333,32
125,a197,Female,22.19028063,22,40,223,48,24,129,31,76,43,31,95,55,130.6666667,78.66666667,35.20958084
126,a197,Female,24.79123888,18,39,204,42,20,105,31,72,40,27,91,54,126.6666667,72,32.66666667
127,a197,Male,20.52566735,20,48,205,46,27,136,30,76,43,29,92,56,148.1129836,91.28834356,32.66666667
128,a197,Male,19.20054757,22,47,215,45,22,119,28,74,41,27,92,55,155.5108203,100.6148686,32.66666667
129,a197,Female,22.33812457,15,41,,50,25,141,30,73,44,29,,,128,74.66666667,37.93548387
130,a197,Female,20.22450376,18,38,203,46,21,115,30,71,40,27,86,55,100,74.66666667,24.33333333
131,a197,Male,20.74195756,14,54,216,43,26,125,30,76,43,31,90,55,138.6666667,76,38.8
132,a197,Female,19.05270363,16,37,218,47,25,136,29,76,44,31,96,54,140.6038756,68,44.88549618
133,a197,Female,22.55715264,12,45,216,48,26,138,31,76,42,28,94,54,137.3333333,77.33333333,40.55172414
134,a197,Female,21.15537303,18,47,206,41,20,103,25,68,39,25,92,52,121.3333333,68,32.66666667
135,a197,Female,22.80629706,16,,,,,,,,,,,,,,
136,a197,Male,23.12388775,19,44,222,50,25,141,31,75,45,30,91,56,1.672025723,100.2190581,46.66666667
137,a197,Male,22.51060917,-2,40,210,44,19,107,28,73,41,28,94,53,122.6666667,73.33333333,22.66666667
138,a197,Female,20.33675565,17,29,204,38,25,111,27,70,37,28,90,54,125.3333333,70.66666667,31.33333333
139,a197,Female,19.57289528,,,,,,,,,,,,,,,
140,a197,Female,22.90212183,-14,47,219,,,,31,76,43,29,93,56,134.6666667,66.66666667,31.66666667
141,a197,Male,17.07871321,15,11,188,36,20,97,30,67,37,23,93,52,118.6666667,60,26.66666667
143,a197,Male,23.16769336,22,46,212,43,12,91,28,75,40,30,93,54,132,72,31.66666667
144,a197,Female,24.97741273,15,39,215,45,26,125,31,75,42,30,90,55,137.3333333,80,35.70552147
145,a197,Female,23.15400411,17,44,217,40,22,105,31,75,46,31,96,55,101.3333333,77.33333333,36.2962963
146,a197,Male,21.17727584,20,57,217,48,25,133,28,75,43,30,93,55,118.6666667,83.18181818,46.66666667
147,a197,Female,24.40520192,24,22,228,44,18,105,30,75,41,27,69,56,118.6666667,74.66666667,35.92592593
148,a197,Female,21.70568104,6,34,191,39,18,96,28,66,35,26,66,55,110.6666667,64,24
149,a197,Female,16.03011636,,,,,,,,,,,,,,,
150,a197,Female,21.67008898,-16,44,209,48,23,126,31,73,40,28,93,56,156,82.3255814,35
152,a197,Female,16.16974675,19,45,220,43,24,124,30,76,42,31,96,56,112,81.60535117,32.91428571
153,a197,Male,22.72142368,19,48,206,43,21,109,29,69,42,26,91,54,138.6666667,74.66666667,33.48837209
154,a197,Male,16.6899384,-20,31,194,39,16,95,27,63,31,22,74,53,117.3333333,66.66666667,21
155,a197,Female,20.37782341,21,20,85,28,7,55,19,57,35,14,70,52,112,50.66666667,18
156,a197,Male,21.83709788,18,27,,,,,23,55,28,21,,,,,10.33333333
157,a197,Male,18.4476386,9,55,204,41,24,115,31,73,43,30,93,55,159.8770177,80,27.66666667
158,a197,Male,20.69267625,15,42,212,37,23,103,27,69,39,27,83,56,129.3333333,66.66666667,31
159,a197,Male,21.04859685,18,37,202,40,24,110,30,71,40,26,90,55,130.6666667,73.33333333,27
160,a197,Female,23.38124572,15,39,208,44,24,118,28,75,43,29,91,54,141.8181818,77.33333333,43.88059701
161,a197,Female,20.60506502,13,46,212,39,25,113,30,73,42,29,90,55,128,60,27
162,a197,Male,22.72963723,17,36,216,44,22,113,31,76,43,29,90,56,128,114.375,32.33333333
163,a197,Female,21.65366188,22,21,169,37,18,93,17,59,36,24,84,54,112,41.33333333,22.33333333
164,a197,Female,17.03764545,20,41,208,43,23,116,28,73,38,28,90,54,121.3333333,70.66666667,31
165,a197,Male,23.91786448,20,48,208,37,26,115,30,74,44,26,92,55,125.3333333,93.84615385,32.35955056
166,a197,Female,24.14784394,21,35,160,32,20,90,15,56,34,23,78,51,116,34.66666667,25.33333333
167,a197,Female,24.6899384,24,26,228,32,23,96,27,71,40,28,91,54,110.6666667,64,28.66666667
168,a197,Female,24.14510609,24,29,197,40,15,71,30,74,40,26,88,53,118.6666667,73.33333333,31
169,a197,Male,20.51471595,-14,36,201,38,15,88,30,69,40,27,85,54,117.3333333,74.66666667,32.33333333
171,a197,Male,21.85352498,17,31,167,30,15,77,23,57,32,15,38,50,33.33333333,74.66666667,21
172,a197,Male,24.07118412,14,48,218,47,25,129,31,73,42,28,91,56,134.6666667,58.66666667,36.52173913
173,a197,Male,24.13689254,15,49,216,50,26,146,32,76,44,31,95,55,133.3333333,80,34.18604651
174,a197,Female,20.04380561,-10,38,201,40,21,103,29,72,41,27,82,53,129.3333333,76,26
175,a197,Male,19.22792608,17,,,,,,29,70,37,29,,,124,76,34.8502994
176,a197,Male,22.95140315,16,37,188,39,22,104,29,67,37,29,77,55,106.6666667,40,23
177,a197,Female,24.19164956,23,38,208,41,18,99,31,73,36,25,81,53,133.3333333,68,29.66666667
178,a197,Male,16.02737851,13,37,212,36,22,104,31,74,44,29,88,52,106.6666667,65.33333333,31.33333333
179,a197,Male,20.22724162,14,,,,,,,,,,59,47,,,
180,a197,Male,18.95140315,-6,40,167,33,19,90,26,60,33,20,79,53,117.3333333,66.66666667,21.66666667
181,a197,Female,17.16906229,16,41,190,32,12,75,26,66,37,25,89,53,101.3333333,54.66666667,22
182,a197,Female,17.51129363,16,51,218,47,25,94,31,75,43,32,85,54,130.6666667,81.73291648,24.66666667
183,a197,Male,22.4476386,12,21,217,33,21,93,32,71,42,32,95,54,168.6486486,81.81818182,34.38596491
184,a197,Male,21.59890486,12,54,222,40,26,119,29,76,44,29,95,54,148.5714286,91.57894737,40.55172414
185,a197,Female,20.43531828,23,42,211,43,22,111,30,76,44,29,93,54,141.8181818,77.33333333,37.69230769
186,a197,Male,18.67488022,10,40,210,42,23,114,32,74,43,29,91,55,140.4545455,97.05882353,29.66666667
187,a197,Female,24.44626968,13,44,211,44,23,115,29,74,40,29,88,55,120,84.54545455,36.52173913
188,a197,Male,19.33470226,18,54,222,43,24,119,31,75,43,30,95,54,132,66.66666667,43.88059701
189,a197,Female,22.91854894,16,50,223,47,25,129,32,74,46,33,96,56,126.6666667,89.76490145,41.73913043
190,a197,Female,21.61533196,10,42,209,34,23,99,30,69,41,26,85,52,122.6666667,87.05827288,31.33333333
191,a197,Male,18.66666667,-4,,196,32,15,81,22,68,33,19,54,52,,,14
192,a197,Female,21.85900068,24,,,,,,,,,,,,118.6666667,77.33333333,
193,a197,Female,22.78986995,-7,45,199,39,22,106,30,73,37,27,90,55,106.6666667,66.66666667,24
194,a197,Female,20.6844627,19,48,210,41,22,107,30,75,38,29,94,54,110.6666667,86.51162791,32.84916201
195,a197,Female,22.11362081,17,34,195,41,21,105,29,69,38,28,87,55,130.6666667,60,24.33333333
197,a197,Female,24.04106776,,,,,,,,,,,,,140.4545455,81.33333333,
201,a197,Female,22.85010267,24,20,191,35,16,86,25,66,38,25,89,54,106.6666667,62.66666667,21.66666667
202,a197,Female,22.83093771,15,37,176,36,20,95,20,58,29,23,73,52,109.3333333,28,11
203,a197,Male,20.90349076,15,54,215,43,20,107,29,68,45,28,84,56,129.3333333,66.66666667,28.66666667
204,a197,Female,22.17659138,-11,28,187,35,19,92,21,61,36,25,71,52,96,65.33333333,17.33333333
205,a197,Male,17.0513347,10,14,152,,8,25,19,58,32,18,49,53,88,32,15.66666667
206,a197,Female,24.83778234,,,,,,,29,71,45,,,,125.3333333,80,34.38596491
207,a197,Female,23.33470226,14,46,220,47,29,146,30,76,43,31,88,56,147.5177305,93.02325581,44.88549618
208,a197,Male,23.49075975,14,59,213,46,21,115,26,74,42,32,96,56,129.3333333,107.6314989,47.80487805
209,a197,Female,22.40657084,10,32,197,40,22,105,27,67,37,27,89,54,113.3333333,64,27.66666667
210,a197,Female,24.06023272,23,15,148,27,6,57,9,45,26,17,51,48,77.33333333,4,14
211,a197,Male,24.27378508,23,,,,,,,,,,59,35,,,
212,a197,Female,18.98699521,23,51,224,50,23,135,32,76,44,29,93,56,129.3333333,101.6666667,39.72972973
214,a197,Female,20.60232717,16,53,213,43,24,116,29,75,43,30,95,55,121.3333333,66.66666667,26.66666667
215,a197,Male,22.31074606,8,28,198,39,18,96,24,68,29,24,75,53,126.6666667,69.33333333,26.33333333
216,a197,Female,16.93360712,17,30,204,40,20,105,31,69,35,29,85,52,109.3333333,77.33333333,28.33333333
217,a197,Male,23.21423682,14,27,176,35,17,88,25,61,37,17,79,54,120,61.33333333,18.66666667
218,a197,Female,22.37645448,18,51,217,45,22,115,32,73,42,29,92,55,138.6666667,77.72727273,34.23529412
219,a197,Male,22.01232033,14,55,201,38,25,111,30,71,38,29,90,55,108,61.33333333,23
220,a197,Male,18.90759754,17,42,216,40,25,117,30,71,41,30,87,54,129.3333333,72,40
221,a197,Male,18.01779603,17,48,216,48,19,124,29,74,40,30,88,54,121.3333333,69.33333333,32
222,a197,Female,24.44079398,,,,,,,,,,,,,112,56,
223,a197,Female,19.01437372,16,52,203,38,25,113,32,73,40,27,95,56,121.3333333,93.84615385,31
224,a197,Female,21.87542779,21,32,116,31,13,74,28,62,29,22,67,53,120,73.33333333,19.33333333
225,a197,Male,18.45585216,-13,45,215,53,25,142,30,76,45,31,89,54,113.3333333,76,26
226,a197,Female,21.52772074,,44,197,37,18,93,30,74,36,26,80,56,80,76,32.72727273
227,a197,Female,22.90485969,15,44,202,29,24,94,24,68,40,24,73,52,114.6666667,64,28.66666667
228,a197,Female,20.6954141,20,34,193,30,24,96,29,69,43,28,76,56,117.3333333,64,32.33333333
229,a197,Female,18.93223819,15,58,225,48,26,146,32,75,43,30,96,56,156,90.73170732,41.4084507
230,a197,Male,22.6091718,20,43,199,39,24,109,31,72,36,24,80,54,124,52,20.33333333
231,a197,Female,16.82956879,14,47,194,38,20,101,28,68,37,25,80,54,124,58.66666667,28
232,a197,Male,20.183436,19,47,201,33,21,93,28,66,39,26,76,53,129.3333333,66.66666667,33.8372093
233,a197,Female,21.46201232,13,37,208,37,20,97,30,74,40,30,79,54,116,98.3069361,36.83544304
234,a197,Male,20.1615332,-16,33,205,36,15,85,31,70,43,29,84,55,97.33333333,61.33333333,24.33333333
235,a197,Female,20.90896646,-18,41,208,41,20,103,28,74,39,28,89,55,121.3333333,58.66666667,25.66666667
236,a197,Female,19.93155373,24,29,170,33,23,99,26,68,35,21,78,53,110.6666667,61.33333333,22.33333333
237,a197,Female,17.90006845,11,47,214,42,25,121,31,76,40,29,89,55,134.6666667,98.33333333,33.79310345
238,a197,Male,23.11293634,-1,49,212,40,28,128,31,75,41,30,90,55,156,82.66666667,19.66666667
239,a197,Male,20.16427105,19,48,219,47,21,118,31,75,41,33,92,54,141.8181818,80,29.66666667
240,a197,Female,20.96098563,20,35,147,28,17,78,26,67,30,21,77,49,124,73.63636364,16
241,a197,Male,23.3045859,18,46,206,36,19,93,29,67,41,27,69,55,141.8181818,85.5,31.66666667
242,a197,Female,20.07939767,20,42,131,33,21,93,30,62,33,26,89,53,120,68,24
243,a197,Male,18.64476386,9,44,196,37,24,108,28,68,40,28,88,54,125.3333333,70.66666667,28.66666667
244,a197,Male,19.29637235,14,16,164,27,13,69,17,58,25,22,53,49,62.66666667,40,17.66666667
245,a197,Male,24.02190281,13,43,218,45,19,109,31,76,44,31,95,55,114.6666667,83.18181818,31.66666667
247,a197,Female,18.04517454,22,44,209,43,21,112,31,75,40,26,84,54,138.6666667,82.3255814,40.98591549
248,a197,Male,23.52908966,4,37,195,36,15,85,23,60,35,28,77,53,118.6666667,64,18.33333333
249,a197,Female,19.49897331,12,38,206,38,22,104,18,55,38,29,86,50,98.66666667,37.33333333,18.66666667
250,a197,Female,18.91581109,21,40,214,47,21,125,31,75,42,31,95,55,148.5714286,80,36.2962963
251,a197,Female,16.25462012,-14,53,212,47,24,139,28,68,44,30,89,54,97.33333333,61.33333333,29.66666667
252,a197,Male,24.21902806,11,39,200,36,23,101,19,65,35,24,64,50,112,40,28.33333333
253,a197,Female,23.1321013,13,52,219,47,25,129,30,75,44,30,91,55,113.3333333,74.66666667,32
254,a197,Male,24.45995893,14,36,190,33,16,83,25,58,34,24,74,51,84,41.33333333,21.66666667
255,a197,Female,24.73100616,16,48,215,40,24,110,24,74,39,29,86,54,125.3333333,62.66666667,33.06818182
256,a197,Male,21.25941136,14,,222,43,24,116,30,75,41,28,88,55,128,74.66666667,27
257,a197,Male,17.36071184,10,,178,,,,,,,,59,51,,,
258,a197,Male,22.29431896,14,48,218,44,21,111,31,74,42,30,93,53,130.6666667,80,23.66666667
259,a197,Male,18.70499658,9,29,192,,,,,,,,71,52,,,
260,a197,Male,22.81998631,17,,203,39,18,96,24,61,37,27,91,48,110.6666667,45.33333333,20.33333333
261,a197,Female,24.86516085,11,24,206,35,20,94,29,69,35,28,79,55,109.3333333,53.33333333,28.66666667
262,a197,Male,19.25530459,18,52,205,39,20,102,26,65,37,28,84,55,125.3333333,53.33333333,25.33333333
263,a197,Male,16.49555099,14,31,178,31,18,87,30,63,38,23,62,55,108,45.33333333,16.33333333
