subject,cohort,age,wj3.watt.raw,wj3.wid.raw,wasi.matr.raw,wj3.rcomp.ss,wasi.vocab.raw,sspan.raw
106,a197,22.38740589,31,69,16,93,42,32
225,a197,18.45585216,30,76,25,126,53,45
1118,a182,21.83,32,75,26,136,53,53
1193,a182,19.33,30,76,29,132,53,59
27,a197,23.49897331,32,76,25,122,52,53
28,a197,22.23408624,31,76,22,123,52,45
4039,a40,18.67,30,75,25,110,52,56
31,a197,22.45037645,32,74,28,118,51,49
4002,a40,18.67,32,76,25,117,51,54
1126,a182,23.5,32,75,22,135,51,52
14,a197,22.25598905,31,75,22,114,50,40
117,a197,21.98494182,28,74,23,111,50,41
129,a197,22.33812457,30,73,25,118,50,41
136,a197,23.12388775,31,75,25,122,50,44
173,a197,24.13689254,32,76,26,117,50,49
212,a197,18.98699521,32,76,23,121,50,51
1002,a182,18.92,30,75,28,121,50,54
1031,a182,19.58,29,76,25,125,50,42
1205,a182,19.5,30,74,28,116,50,52
56,a197,18.54620123,29,76,24,126,49,51
92,a197,24.862423,31,76,23,117,49,51
1012,a182,25,30,75,25,117,49,44
125,a197,22.19028063,31,76,24,114,48,40
133,a197,22.55715264,31,76,26,111,48,45
146,a197,21.17727584,28,75,25,115,48,57
150,a197,21.67008898,31,73,23,105,48,44
221,a197,18.01779603,29,74,19,108,48,48
229,a197,18.93223819,32,75,26,117,48,58
1016,a182,21.33,31,74,27,111,48,43
1,a197,21.28405202,29,74,25,134,47,48
52,a197,18.00410678,29,74,25,117,47,42
94,a197,22.03969884,30,74,23,102,47,42
111,a197,23.53456537,28,73,17,105,47,39
132,a197,19.05270363,29,76,25,121,47,37
172,a197,24.07118412,31,73,25,110,47,48
182,a197,17.51129363,31,75,25,118,47,51
189,a197,22.91854894,32,74,25,129,47,50
207,a197,23.33470226,30,76,29,114,47,46
239,a197,20.16427105,31,75,21,109,47,48
250,a197,18.91581109,31,75,21,113,47,40
251,a197,16.25462012,28,68,24,117,47,53
253,a197,23.1321013,30,75,25,117,47,52
1011,a182,25.08,30,75,21,107,47,53
1093,a182,19.17,31,76,24,121,47,49
1147,a182,21.92,31,75,26,123,47,49
1169,a182,22.67,32,74,25,129,47,50
2,a197,24.26283368,28,71,24,104,46,59
46,a197,23.58110883,27,73,24,113,46,49
127,a197,20.52566735,30,76,27,115,46,48
