subject,cohort,age,sspan.raw,ppvt.raw,wasi.matr.raw,wasi.iq,wj3.watt.raw,wj3.wid.raw,wj3.rcomp.raw,wj3.rcomp.ss,wasi.vocab.raw
1,a197,21.28405202,-0.01191256,0.843374435,0.962970209,1.301259622,0.190656771,0.850842811,42,134,47
3,a197,24.73374401,-0.057392182,1.050106887,0.706566643,0.481666302,0.956183576,1.023066313,39,102,43
11,a197,18.41752225,0.0290191,0.740008209,1.219373774,1.574457396,0.701007974,0.850842811,41,110,45
12,a197,19.73716632,-0.016460522,0.016444627,-0.319047618,-0.447206128,-0.064518831,-0.010274698,43,116,41
14,a197,22.25598905,-0.048296258,0.740008209,0.193759513,1.465178287,0.701007974,1.023066313,43,114,50
15,a197,19.07186858,-0.143803464,-1.017217633,-1.088258315,-1.485357668,0.701007974,-0.182498199,33,87,28
17,a197,19.17590691,-0.184735124,-0.086921599,0.962970209,0.044549864,-0.319694433,-1.560286213,38,101,33
18,a197,21.82888433,-0.05284422,-0.707118955,1.47577734,-0.447206128,0.445832372,-0.354721701,36,95,34
19,a197,24.73374401,-0.05284422,0.378226418,-0.062644053,-0.064729245,0.190656771,0.678619309,40,104,41
20,a197,20.06023272,-0.09377588,-0.96553452,-0.319047618,-1.266799449,-0.574870034,-0.699168705,34,90,26
21,a197,19.75085558,-0.075584031,0.06812774,-0.062644053,-0.556485238,-0.064518831,0.161948804,34,90,34
22,a197,17.60438056,-0.13470754,-1.172266973,-3.139486838,-2.086392769,-1.850748043,-1.388062711,29,74,30
23,a197,16.60232717,-0.057392182,-0.655435842,-0.319047618,-0.829683011,-1.595572441,-0.354721701,35,94,35
24,a197,24.41341547,-0.030104409,-0.241970938,-0.319047618,-0.283287464,0.956183576,1.023066313,36,95,39
25,a197,17.39904175,-0.130159577,-0.190287825,-2.113872576,-2.304950988,-0.064518831,-1.21583921,34,90,27
27,a197,23.49897331,0.010827251,1.153473113,0.962970209,1.465178287,0.956183576,1.195289815,45,122,52
28,a197,22.23408624,-0.025556447,0.946740661,0.193759513,1.465178287,0.701007974,1.195289815,42,123,52
30,a197,18.01779603,-0.034652371,-0.086921599,0.450163078,0.372387192,0.190656771,-0.010274698,34,89,41
31,a197,22.45037645,-0.007364598,1.050106887,1.732180905,2.721888045,0.956183576,0.850842811,44,118,51
32,a197,19.77275838,-0.084679955,-1.792464329,-1.601065445,-1.321439003,-0.319694433,-1.21583921,33,87,33
33,a197,19.00889802,-0.111967729,-1.947513668,-0.319047618,-0.501845683,-1.085221238,-0.871392206,29,75,35
34,a197,19.15674196,-0.148351426,-1.068900747,-0.319047618,-0.283287464,0.445832372,-0.699168705,30,78,38
35,a197,21.29774127,-0.152899389,-1.017217633,-3.139486838,-1.97711366,-4.40250406,-2.765850725,35,93,32
36,a197,16.97467488,-0.075584031,-0.345337164,-1.088258315,-0.884322566,0.445832372,0.334172306,34,90,39
37,a197,21.9028063,-0.080131993,0.481592644,-0.062644053,-0.283287464,0.701007974,1.023066313,37,97,38
39,a197,17.89459274,-0.09377588,-1.63741499,-1.088258315,-1.376078558,-4.657679662,-4.143638739,32,83,29
40,a197,16.26283368,-0.121063653,-1.12058386,-1.601065445,-1.867834551,-1.085221238,-1.043615708,32,84,28
41,a197,22.87748118,-0.075584031,0.274860192,-0.062644053,-1.212159894,0.445832372,0.161948804,42,111,30
42,a197,20.97467488,-0.107419766,-0.862168294,0.450163078,-0.775043456,0.190656771,-0.699168705,32,85,29
43,a197,18.84462697,-0.116515691,-0.345337164,-1.088258315,-1.04824123,-0.319694433,-0.699168705,33,86,33
45,a197,21.58795346,-0.148351426,-1.017217633,0.706566643,-1.376078558,-0.064518831,-0.871392206,37,97,28
47,a197,19.44421629,-0.111967729,-1.12058386,-0.831854749,-1.485357668,-0.064518831,-0.699168705,35,92,26
50,a197,18.56810404,-0.039200333,0.688325096,0.193759513,0.481666302,0.956183576,0.850842811,37,98,43
51,a197,22.98151951,-0.171091237,0.119810853,-1.088258315,-0.556485238,0.190656771,-0.182498199,38,100,40
52,a197,18.00410678,-0.039200333,0.843374435,0.962970209,1.683736505,0.190656771,0.850842811,43,117,47
54,a197,23.54551677,-0.066488107,0.481592644,-0.062644053,-0.665764347,0.956183576,0.678619309,40,105,37
56,a197,18.54620123,0.001731327,1.050106887,0.706566643,1.793015615,0.190656771,1.195289815,45,126,49
61,a197,22.22861054,-0.09377588,0.688325096,0.706566643,0.590945411,0.701007974,0.850842811,41,108,43
62,a197,18.4312115,-0.061940144,0.481592644,-0.831854749,-1.102880785,-0.064518831,-1.043615708,36,96,35
65,a197,22.02874743,-0.025556447,0.223177079,-2.370276142,-1.102880785,0.956183576,0.850842811,40,105,40
66,a197,24.8843258,-0.107419766,0.016444627,-0.831854749,-1.04824123,-0.064518831,-0.354721701,35,94,32
68,a197,22.75975359,-0.057392182,0.429909531,0.450163078,-0.556485238,0.701007974,0.506395808,38,100,36
69,a197,19.69883641,-0.125611615,0.223177079,-0.575451184,-0.720403902,-0.064518831,-0.182498199,36,95,35
70,a197,24.88706366,-0.084679955,-0.345337164,-0.575451184,-0.993601675,0.445832372,0.161948804,33,90,36
71,a197,23.40041068,-0.025556447,0.533275757,-0.831854749,-0.829683011,-0.064518831,-0.354721701,41,107,39
72,a197,21.32238193,-0.084679955,-0.138604712,-0.319047618,-1.266799449,-0.574870034,-0.871392206,36,95,31
73,a197,21.97672827,-0.021008485,0.378226418,-0.831854749,-0.993601675,0.701007974,0.506395808,38,100,37
75,a197,18.26146475,-0.13470754,-0.241970938,-0.062644053,-1.157520339,0.445832372,-0.526945203,35,93,30
