"","Subject","Group_WMC","Group_noWMC"
"1",4001,"NSC","NSC"
"2",4002,"EAC","EAC"
"3",4003,"UPC","UPC"
"4",4004,"NSC","NSC"
"5",4007,"UGC","UGC"
"6",4009,"UPC","UPC"
"7",4011,"UGC","UGC"
"8",4012,"NSC","NSC"
"9",4013,"UGC","NSC"
"10",4014,"NSC","NSC"
"11",4016,"UGC","UGC"
"12",4021,"EAC","NSC"
"13",4022,"UGC","UGC"
"14",4023,"NSC","NSC"
"15",4025,"EAC","NSC"
"16",4026,"UGC","UGC"
"17",4030,"UGC","UGC"
"18",4034,"EAC","NSC"
"19",4036,"UGC","NSC"
"20",4037,"NSC","NSC"
"21",4038,"EAC","EAC"
"22",4039,"EAC","NSC"
"23",4040,"EAC","NSC"
"24",4041,"NSC","UGC"
"25",4042,"NSC","UGC"
"26",4044,"UGC","UGC"
"27",4045,"EAC","EAC"
"28",4047,NA,"NSC"
"29",4048,"NSC","NSC"
"30",4050,"UPC","UPC"
"31",4052,"NSC","NSC"
"32",4055,"UPC","UPC"
"33",4056,"NSC","NSC"
"34",4057,"UPC","UPC"
"35",4059,"NSC","NSC"
"36",4060,"NSC","NSC"
"37",4062,"EAC","EAC"
"38",4063,NA,"NSC"
"39",4064,"EAC","EAC"
"40",4065,"EAC","NSC"
"41",4068,"EAC","NSC"
"42",4070,"UPC","NSC"
"43",4071,NA,"UGC"
"44",4075,NA,"UPC"
"45",4076,"UGC","NSC"
"46",4078,"UPC","UPC"
"47",4081,"NSC","NSC"
"48",4082,"UGC","UGC"
"49",4083,NA,"NSC"
"50",4084,"UPC","UPC"
"51",4085,"NSC","NSC"
"52",4088,"NSC","NSC"
"53",4090,NA,"EAC"
"54",4091,"NSC","NSC"
"55",4092,"EAC","NSC"
"56",4093,"NSC","NSC"
"57",4104,"UGC","UGC"
"58",4107,"NSC","NSC"
"59",4108,"NSC","NSC"
"60",4109,"NSC","NSC"
"61",4110,NA,"NSC"
"62",4114,"UPC","NSC"
"63",4119,"EAC","EAC"
"64",4121,"NSC","NSC"
"65",4122,"EAC","NSC"
"66",4123,"UPC","UPC"
"67",4124,"NSC","UPC"
"68",4125,"UGC","NSC"
"69",4126,"EAC","NSC"
"70",4128,"UPC","UPC"
"71",4130,"UGC","UGC"
"72",4132,"NSC","NSC"
"73",4134,"NSC","EAC"
"74",4142,"UPC","UPC"
"75",4143,"NSC","NSC"
"76",4144,"EAC","NSC"
"77",4148,"EAC","EAC"
"78",4151,"UGC","UGC"
"79",4155,NA,"UGC"
"80",4156,"NSC","NSC"
"81",4157,"UPC","UPC"
"82",4158,"NSC","NSC"
"83",4159,"NSC","NSC"
"84",4161,"EAC","EAC"
"85",4162,"UPC","UPC"
"86",4163,"NSC","NSC"
"87",4165,"EAC","EAC"
"88",4167,NA,"UPC"
"89",4172,"UPC","UPC"
"90",4173,"NSC","NSC"
"91",4174,"NSC","NSC"
"92",4177,"UGC","UGC"
"93",4178,"NSC","EAC"
