Subj,Age,KTEA,MatrixReasoning,WA,LW,PPVT,Aspan
4001,14.33,88,24,29,73,212,49
4002,18.67,89,25,32,76,222,54
4003,18.67,69,21,30,71,210,38
4004,14.17,81,18,26,66,212,32
4006,15.25,75,14,,,193,
4007,16.67,86,21,28,71,209,43
4009,16.33,67,25,31,71,205,31
4010,18.17,71,22,30,71,,37
4011,18,80,18,28,68,201,32
4012,14.08,57,18,18,49,177,30
4013,14.92,89,24,30,71,217,39
4014,18.08,90,26,32,75,222,45
4015,14.25,69,18,,,,
4016,15.92,78,19,31,65,191,36
4020,18.83,71,17,,,,
4021,18.17,80,14,30,75,208,44
4022,15.33,72,15,30,68,184,36
4023,13.92,60,13,24,64,183,30
4024,18.25,89,23,31,73,,47
4025,16.25,57,19,25,62,177,23
4026,17,73,18,24,61,184,46
4029,18.5,80,16,,,194,46
4030,16.92,80,19,30,69,201,30
4032,17.42,62,19,,,173,
4034,18.25,86,25,32,76,214,57
4035,18,64,,21,60,,
4036,17.33,63,18,27,61,178,27
4037,13.25,67,20,29,66,193,37
4038,18.75,86,25,32,75,219,53
4039,18.67,88,25,30,75,215,56
4040,15.5,83,26,32,71,209,48
4041,13.75,85,26,31,65,208,48
4042,17.83,66,14,27,60,180,49
4044,17.42,80,23,26,69,199,42
4045,15.92,53,15,27,62,167,30
4047,16.83,76,21,27,61,201,
4048,18.25,64,23,30,66,196,34
4049,14.5,67,19,24,66,,
4050,17.58,62,20,31,68,193,41
4051,14.33,45,,32,68,181,26
4052,19.67,60,22,29,66,188,38
4053,15.5,63,12,28,63,,
4054,16.92,76,19,30,65,,
4055,17.5,44,18,26,63,179,35
4056,18.67,67,23,30,70,179,34
4057,18.17,69,20,30,68,206,42
4059,18.75,83,25,29,69,209,49
4060,18.67,85,26,32,71,210,48
4062,15.08,85,23,31,75,213,52
4063,18.25,71,22,23,63,188,
4064,15.42,80,24,27,68,208,48
4065,15.25,85,23,32,73,213,54
4066,14.33,75,20,,,,
4067,15.83,81,24,,,,
4068,15.17,85,25,28,72,210,53
4069,15.08,75,22,,,,
4070,17.25,55,21,24,66,175,36
4071,16.83,81,24,30,71,198,
4075,14.67,59,20,26,67,194,
4076,18.33,78,18,30,71,204,28
4078,13.75,55,14,28,66,181,35
4081,18.33,88,26,31,74,216,48
4082,16.25,88,22,27,69,212,43
4083,15.33,71,25,27,68,202,
4084,18.33,65,25,32,71,208,39
4085,18.08,65,18,27,64,184,34
4086,15.92,78,25,,,,
4088,16.08,55,18,29,68,174,33
4090,18.67,69,21,32,68,194,
4091,16.17,63,22,30,67,175,33
4092,17.67,78,10,31,71,206,51
4093,14.5,83,26,28,71,206,46
4095,15.75,75,,32,68,,
4097,15.5,49,15,,,,
4102,18.58,57,21,31,65,,
4104,14.42,90,25,30,72,199,50
4105,14.33,71,,28,70,,
4106,16.25,83,,31,73,,
4107,15.33,80,21,29,70,206,34
4108,15,75,23,32,72,205,43
4109,16.58,85,24,26,69,213,44
4110,16.67,78,23,31,74,215,
4111,17.83,78,,31,73,,
4114,17.67,64,18,27,65,195,41
4116,18.5,,12,,,,
4119,17.83,75,26,30,69,200,48
4121,16.25,78,24,30,70,212,49
4122,15.33,81,23,28,73,220,32
4123,16.25,64,24,26,66,196,36
4124,14.08,69,23,28,65,206,34
4125,18.33,62,19,29,66,175,21
4126,18.25,73,17,31,67,211,30
4128,17.33,59,19,29,72,205,40
4130,15.83,69,17,27,64,171,41
4131,18.25,80,25,29,68,,
4132,15.83,63,25,29,68,167,37
4133,18.58,63,,25,62,,
4134,16.08,76,24,30,68,204,36
4136,18.5,,,25,66,,
4138,14.83,65,21,,,,
4142,16.33,67,19,30,73,216,39
4143,16.42,78,23,31,72,209,43
4144,13.75,83,25,30,72,207,51
4146,18.58,70,22,29,69,,
4148,17.42,81,24,30,74,207,43
4151,15.25,62,13,28,63,172,28
4155,15.25,75,20,29,67,190,
4156,17.42,80,23,29,70,203,40
4157,14.42,42,23,27,62,176,26
4158,15.67,80,19,32,70,201,46
4159,17.17,59,18,30,65,172,29
4161,18.67,75,20,29,71,201,42
4162,18.83,73,24,29,71,213,46
4163,16.75,83,25,27,72,205,41
4165,16.25,61,20,30,67,177,32
4167,18,56,19,31,68,196,
4172,13.83,44,17,27,66,172,40
4173,15,76,23,31,69,208,50
4174,15.25,78,22,30,72,211,46
4177,14.5,81,18,30,74,188,41
4178,13.75,78,24,30,68,202,37
4179,16.33,78,21,29,69,,
4180,13.75,70,25,29,69,,
