SubjectID,wasi.vocab.raw
225,53
1118,53
1193,53
27,52
28,52
4039,52
31,51
1126,51
4002,51
14,50
117,50
129,50
136,50
173,50
212,50
1002,50
1031,50
1205,50
56,49
92,49
1012,49
58,48
125,48
133,48
146,48
150,48
221,48
229,48
1016,48
4167,48
1,47
52,47
63,47
94,47
111,47
132,47
172,47
182,47
189,47
207,47
239,47
250,47
251,47
253,47
1011,47
1044,47
1093,47
1147,47
1169,47
2,46
46,46
48,46
127,46
130,46
208,46
1010,46
4021,46
4038,46
11,45
85,45
128,45
144,45
218,45
245,45
1018,45
1146,45
1152,45
4034,45
4109,45
83,44
122,44
137,44
147,44
160,44
162,44
187,44
258,44
1046,44
1050,44
1085,44
1175,44
1198,44
1201,44
1204,44
4014,44
4024,44
4081,44
3,43
50,43
61,43
103,43
121,43
131,43
143,43
152,43
153,43
164,43
185,43
188,43
203,43
214,43
247,43
256,43
265,43
1014,43
1024,43
1027,43
1029,43
1102,43
1128,43
1129,43
1157,43
1185,43
4062,43
4083,43
4104,43
4108,43
97,42
106,42
112,42
126,42
186,42
237,42
1061,42
1108,42
1186,42
4001,42
4009,42
4143,42
12,41
19,41
30,41
79,41
88,41
100,41
134,41
157,41
177,41
194,41
195,41
235,41
1005,41
1028,41
1091,41
1140,41
1167,41
1190,41
4029,41
4040,41
4041,41
4047,41
4050,41
4068,41
4071,41
4093,41
51,40
65,40
105,40
145,40
159,40
168,40
174,40
184,40
209,40
216,40
220,40
238,40
255,40
1022,40
1048,40
1106,40
1133,40
1150,40
1179,40
1202,40
4003,40
4007,40
4037,40
4044,40
4082,40
4107,40
4119,40
4162,40
4163,40
24,39
36,39
71,39
87,39
102,39
118,39
124,39
148,39
154,39
161,39
176,39
193,39
215,39
230,39
260,39
262,39
1036,39
1082,39
1097,39
1163,39
1176,39
1183,39
4013,39
4057,39
4059,39
4064,39
4092,39
4126,39
4128,39
4174,39
34,38
37,38
77,38
82,38
113,38
138,38
169,38
219,38
223,38
231,38
249,38
1007,38
1035,38
1092,38
1094,38
1098,38
1174,38
1180,38
1187,38
1189,38
1209,38
1211,38
4016,38
4060,38
4122,38
4124,38
4158,38
54,37
73,37
120,37
158,37
163,37
165,37
226,37
233,37
243,37
1013,37
1038,37
1100,37
1119,37
1160,37
1161,37
1182,37
1203,37
4006,37
4010,37
4012,37
4030,37
4048,37
4052,37
4076,37
4123,37
4142,37
4148,37
68,36
70,36
141,36
178,36
202,36
234,36
241,36
248,36
252,36
1127,36
1165,36
1199,36
4056,36
4078,36
4084,36
4090,36
4155,36
23,35
33,35
62,35
64,35
69,35
95,35
98,35
119,35
201,35
204,35
217,35
261,35
1168,35
1206,35
4022,35
4023,35
4063,35
4065,35
4091,35
4157,35
4161,35
18,34
21,34
81,34
91,34
190,34
264,34
1020,34
1054,34
1087,34
1095,34
1103,34
1124,34
1132,34
1188,34
4004,34
4134,34
17,33
32,33
43,33
90,33
101,33
114,33
180,33
183,33
232,33
236,33
242,33
254,33
1125,33
1154,33
4036,33
4125,33
4151,33
4156,33
35,32
66,32
96,32
166,32
167,32
181,32
191,32
1004,32
1178,32
1191,32
1197,32
1210,32
4026,32
4075,32
4085,32
4088,32
4114,32
4159,32
4165,32
72,31
99,31
108,31
115,31
123,31
224,31
263,31
1069,31
1120,31
4042,31
4132,31
22,30
41,30
75,30
80,30
171,30
228,30
266,30
1096,30
1104,30
4025,30
4055,30
39,29
42,29
227,29
1040,29
4045,29
4130,29
15,28
40,28
45,28
155,28
240,28
1058,28
25,27
84,27
210,27
244,27
4011,27
4070,27
20,26
47,26
76,25
86,25
1006,25
1099,25
4121,25
78,24
1068,24
1059,23
4,
5,
6,
7,
8,
9,
10,
13,
26,
29,
38,
44,
49,
53,
59,
60,
93,
104,
107,
109,
116,
135,
139,
140,
149,
156,
175,
179,
192,
197,
205,
206,
211,
222,
257,
259,
267,
268,
1000,
1001,
1074,
4051,
4102,
4110,
4131,
4144,
4172,
