Subject,rMTG,postcen,pMTG,PCC,Occ,IFGpos,IFGneg,ACC
209,0.610413,-0.138031,0.81215,0.152796,1.001353,1.01823,0.406119,0.846231
247,0.538875,0.396787,0.642139,1.120459,0.013499,-0.143965,-0.056551,1.494269
650,0.108523,0.507029,0.84946,0.469938,-0.386556,0.492374,0.56645,0.270619
6913,0.407544,0.662646,-0.382014,-0.40674,0.501593,0.113693,-0.372848,-1.101087
7457,-0.243411,-0.523119,-0.438219,-0.949116,0.358416,0.095623,-0.037775,-0.038639
7522,-0.029569,-0.052744,0.295192,0.353685,0.780053,0.609834,0.329112,-0.802345
7772,0.13628,-0.689722,0.273854,0.012504,-0.028265,0.19135,-0.831833,0.540451
8043,0.07499,0.359505,-0.069548,0.841235,0.10965,-0.420447,-1.027209,0.255079
8082,-1.013885,-0.222549,-0.883732,0.445604,0.157789,-0.154183,-0.286256,0.893718
8247,-0.324789,-1.396454,-0.708002,0.212536,-0.322923,0.797538,0.141425,-2.417827
8466,-0.002943,-0.195106,0.02927,0.394088,0.582597,0.40854,-0.342193,0.031681
8535,0.257336,-0.185197,0.03601,-0.490865,1.039112,0.478648,-0.191182,2.025296
8605,1.214683,0.072469,0.925982,-0.320749,1.489271,-0.07408,0.185553,-0.291636
8858,0.36224,0.377103,-0.030854,0.365688,-0.012502,1.568222,-0.414155,0.138331
8898,1.644067,0.491812,1.135024,0.422354,-0.511774,1.171055,-0.239049,0.140495
9038,0.397612,1.064852,1.114733,0.353297,1.516606,1.010785,0.090758,1.351515
9066,0.214095,-0.195567,-0.273671,1.137918,-0.910866,-0.092336,0.000342,-0.320584
9122,0.210834,0.749146,-0.05942,1.208713,0.367911,0.501107,0.837125,-1.016143
9267,0.224852,0.483268,0.612753,-1.327463,-0.874259,0.635766,-0.19244,-1.014609
9302,0.568557,0.969092,0.338613,0.692573,-0.044117,0.854359,-0.010662,-1.150509
9318,0.706037,-0.22958,-0.377225,0.671475,0.080721,-1.362193,-1.05623,-3.113533
9330,0.282491,-0.104596,0.227691,0.290942,-0.06627,0.325099,0.005645,-0.64368
9363,0.060389,0.374424,-0.28347,0.177885,-0.300172,0.182864,-0.243178,0.293886
9366,-0.631616,-1.689646,-1.41869,-0.049744,0.112333,0.584102,-0.249395,-0.874357
9404,0.933877,0.561584,0.402639,0.612097,-0.066586,0.527566,0.721895,0.119555
9437,-0.122519,0.113525,-0.102761,-0.282929,-0.007113,0.507646,-0.240809,-0.981468
9489,0.099894,0.230357,-0.206414,0.404282,0.079942,0.334466,-0.332288,0.505992
9492,0.397607,0.669692,0.776124,2.035004,-1.462166,1.065744,0.156648,0.826011
9518,0.09159,-0.048109,-0.161538,-0.306713,0.023382,-0.125354,-0.332992,-0.747432
9579,0.71909,0.413417,1.199387,0.393592,-0.459488,-0.149359,0.023404,-0.449063
9700,-0.321022,0.11304,-0.178038,-0.463973,0.289757,0.269419,-0.507804,0.090511
