subj,STG_MTG,rMTG,Parahipp,MiddFG,IFGpt,cerebell,ACC
209,2.438091,2.087654,-0.025663,1.619441,0.981501,3.51404,0.867689
247,1.790036,1.141133,0.150498,0.099604,2.073537,0.936556,0.789178
650,1.578489,0.733289,-0.656451,-0.036213,3.247356,1.466791,-0.211223
6913,1.013944,0.439227,-0.20384,-0.918371,1.780224,-0.042925,-0.575121
7457,3.471566,0.373602,-0.084516,2.465531,1.272072,1.410526,0.364559
7522,3.935091,0.796029,0.267547,-0.783447,1.050614,0.658911,-0.097563
7772,1.858905,1.496198,0.037165,1.607581,2.614282,-2.556708,1.71134
8043,1.696404,1.29437,-0.162305,1.175848,3.084825,0.047914,-0.225204
8082,0.47899,1.112412,0.045547,0.615286,0.85145,0.70715,0.821055
8247,0.702257,0.631137,-0.438226,0.282319,0.633377,1.183574,-0.547092
8466,1.395116,-0.21632,-0.304799,-1.720338,0.423267,0.326656,-0.961861
8535,2.065137,0.916735,0.071785,-0.582379,0.935469,-0.686156,0.227947
8605,1.059457,1.303976,-0.41893,0.537418,0.982864,-0.312202,-0.430232
8858,0.408364,0.216886,-0.415699,0.173975,3.686288,0.997604,0.455401
8898,4.591046,0.435363,0.206316,-0.920178,2.076333,-1.893148,1.394318
9038,1.62537,0.828999,0.393087,-0.061465,0.836092,-1.250364,1.397862
9066,3.670026,1.10666,0.152053,0.056797,0.720476,-1.070341,0.428912
9122,4.170911,0.507053,-0.22112,-0.45375,1.4505,0.205861,-0.834089
9267,0.405692,0.134834,-0.489636,0.458868,0.474012,-2.437031,-0.148814
9302,2.435982,0.246447,-0.1874,-1.119241,1.593966,0.419089,0.47072
9318,0.620458,0.110321,-0.34955,-1.882451,1.032098,-0.953099,-0.940243
9330,2.531118,1.303085,0.263779,0.637127,0.596371,0.199395,0.555913
9363,1.458564,0.885481,0.307267,-0.170993,0.896664,-0.119884,0.631348
9366,1.318638,0.509055,0.819403,-0.309306,1.26669,0.293441,0.491026
9404,0.468648,1.190968,-0.035513,-0.348712,0.961589,-0.213734,0.814712
9437,0.365926,0.011078,-0.092615,-0.285911,0.336243,0.042141,0.311602
9489,2.701495,1.176927,0.128635,-0.137101,1.992237,0.318775,0.393653
9492,3.218234,1.853242,-0.152122,-0.875652,3.13488,-1.40227,0.124463
9518,2.560194,0.368076,-0.061109,0.045901,0.912985,1.333958,0.494806
9579,1.04422,0.741364,-0.017439,1.193878,0.934065,1.475662,0.03168
9700,2.130796,0.459813,0.000534,-0.715645,3.573127,-0.145698,-0.450281
