subj,STG_MTG,rMTG,Parahipp,MiddFG,IFGpt,cerebell,ACC
209,1.295874,1.281328,-0.317214,0.367554,0.99653,2.215509,0.523139
247,0.434421,-0.350829,-0.100551,-0.254349,1.66856,0.957661,0.920163
650,0.986678,0.535845,-0.28022,-0.371764,3.273754,0.518011,0.13077
6913,1.618719,0.584671,0.04571,-0.105405,2.411402,0.128658,0.162839
7457,1.028055,0.036967,0.025283,0.872751,0.088254,0.890808,0.38385
7522,2.105366,1.01559,0.229028,-0.177934,1.63505,0.232631,-0.48785
7772,0.950206,0.43168,-0.023771,-0.02497,2.026157,-1.739776,1.224199
8043,1.386341,0.341328,-0.060771,1.006461,2.833207,-1.651096,0.335406
8082,0.28773,0.261101,-0.035128,0.741786,0.864841,1.430854,0.567036
8247,0.237068,-0.882685,-0.156365,-0.971166,0.623503,0.399493,-1.262329
8466,0.661192,-0.173066,-0.127879,-1.6487,0.851634,0.247751,-1.371033
8535,1.200308,0.323743,0.160005,-0.103201,1.111105,-0.987393,1.5845
8605,0.647556,0.685453,-0.813519,1.131759,1.370009,-4.163938,1.207884
8858,0.05954,0.065651,-0.087736,0.00392,2.462538,-0.293536,0.219885
8898,3.350416,0.833247,0.173745,-0.69805,2.153972,-0.91816,-0.101231
9038,-1.225629,0.090569,0.027297,-0.399979,0.7136,-1.402888,0.237758
9066,2.289529,0.896015,0.018751,0.272684,0.254924,-0.592509,0.424875
9122,3.19161,0.260514,-0.330082,-2.549185,1.450753,0.116625,-1.30775
9267,0.293711,0.380955,0.406449,0.996591,1.161963,0.15574,0.625684
9302,1.616273,-0.113969,-0.205359,0.212622,0.847558,0.229084,-0.045544
9318,-0.097979,-0.964265,-0.173107,-1.150479,0.90605,-0.03169,0.375753
9330,0.529255,0.234105,-0.091892,-0.122181,0.096431,0.820546,-0.139268
9363,1.398736,0.223988,0.038644,-0.756976,0.877934,0.603448,-0.057047
9366,-0.370218,-0.51637,-0.192993,-2.217175,0.151806,-0.131559,-1.51066
9404,-0.095164,-0.273747,-0.556769,-0.807483,0.686052,-0.737703,0.469655
9437,0.479976,0.273273,0.13667,-0.207002,0.611897,0.215262,0.619564
9489,1.962922,0.975024,0.345382,-0.524597,2.348802,-0.416818,0.495575
9492,1.860683,0.965435,-0.344201,-1.203226,2.896714,-3.331501,-0.919363
9518,0.388642,0.368559,-0.526644,-0.239187,-0.090113,0.640963,-0.514287
9579,1.845448,0.555597,0.2478,1.826543,1.662029,0.394156,1.639446
9700,1.570281,0.274511,-0.012936,0.548852,3.316061,-0.638466,1.574465
