subj,STG_MTG,rMTG,Parahipp,MiddFG,IFGpt,cerebell,ACC
209,-1.935793,-1.01874,-0.236362,-1.778613,-0.726288,-1.89124,-2.053508
247,0.227338,-1.163943,0.353559,-0.705614,0.012498,-0.370367,-2.242208
650,0.458986,-0.157156,-0.140447,-0.928752,-0.047813,1.449084,0.239252
6913,0.810217,-0.157406,0.17724,-0.682004,-0.777892,2.237571,0.118093
7457,5.409233,1.415909,0.576947,1.651926,1.912592,-1.89561,3.293176
7522,2.927698,0.54308,-0.829361,-0.251444,-0.473573,2.715338,-0.960317
7772,3.699851,2.363636,1.478518,-1.443522,0.542408,-2.82956,1.751348
8043,2.388825,4.503681,1.62727,2.865695,-0.560805,0.742207,2.574481
8082,-1.377979,0.59527,-0.398546,3.900119,1.490481,-0.155236,-0.152032
8247,-0.259028,0.132989,-0.822162,-0.719581,-0.238152,-2.112119,-0.296914
8466,2.223837,0.853137,0.463706,2.912033,0.318183,-1.01186,0.87952
8535,0.693848,0.262972,0.185175,0.285409,0.919398,-0.514892,2.061354
8605,2.244733,1.102589,1.372799,3.266787,0.064684,2.637167,0.738659
8858,1.673223,0.290774,0.825589,-0.178509,3.755743,-1.112425,-0.393441
8898,2.152471,-1.351104,0.112794,0.462043,-0.612444,-7.217215,1.78827
9038,0.885864,-0.711099,-0.137039,1.064303,-0.448573,-1.268039,1.058889
9066,4.65267,0.150321,0.337121,1.989754,1.218091,-6.524795,0.933477
9122,2.303136,0.287365,-0.194413,-1.640082,0.434379,0.890122,0.401373
9267,0.990328,-0.870506,-0.112159,-1.607851,-1.306293,-2.319697,-1.807493
9302,1.288724,0.228433,-0.051429,-0.688091,0.840006,0.724862,1.019783
9318,-0.740798,-2.824817,-0.355524,-0.956058,0.792506,-1.821335,-0.864494
9330,3.129477,0.598846,0.549335,1.194563,-0.114339,0.487288,0.727204
9363,0.565328,0.803574,0.354277,0.424529,0.429858,-16.370804,0.728272
9366,1.229033,2.043001,-0.481988,1.142173,1.371481,1.169679,1.320506
9404,-0.4529,-0.055741,-0.398424,-0.977024,0.557984,1.259265,0.860716
9437,1.586764,0.507205,0.242122,0.950126,1.450961,-0.09328,0.686947
9489,2.068258,1.743395,-0.255478,0.114524,-0.284401,-0.131344,0.181368
9492,1.049636,3.218857,1.761318,-1.277911,0.474304,-20.282145,-0.728632
9518,0.131076,-1.042782,0.129595,-0.311021,0.146204,3.017653,-0.465978
9579,-0.573668,-0.794127,-0.040946,-1.185836,-0.135442,0.542415,-1.046413
9700,0.198017,0.34176,1.029497,-0.035015,-0.054074,0.484588,-0.37023
