subj,STG_MTG,rMTG,Parahipp,MiddFG,IFGpt,cerebell,ACC
209,0.91395,0.606289,0.145706,1.448896,0.208313,0.748462,1.091215
247,0.51771,0.548131,0.36645,0.529473,0.046425,-0.252509,1.647597
650,0.807179,0.033132,0.635891,2.149867,0.354789,-1.135579,0.384602
6913,-0.076381,0.475004,-0.169032,2.563459,-0.384534,0.516202,-0.332093
7457,-0.446309,-0.219701,-0.010494,2.947092,0.156071,-0.550596,0.288974
7522,0.249163,-0.190326,0.478602,1.472721,0.27891,1.526937,-0.941272
7772,0.185043,0.323951,-0.225468,2.069182,-0.691341,-0.365119,0.487598
8043,-0.035794,-0.388253,-0.209337,1.786386,-0.552789,0.385198,0.694206
8082,-0.946402,-0.465296,-0.124898,0.950714,-0.322076,0.728609,0.145458
8247,-0.283955,-0.545168,-0.200322,0.08751,0.053366,-0.576972,-2.350276
8466,-0.132239,-0.12472,-0.046135,1.767674,-0.278342,1.202639,0.146318
8535,-0.011385,0.387188,0.211577,1.963246,-0.45738,1.357589,1.909486
8605,1.215847,0.806912,0.253074,0.315223,-0.15262,2.594142,0.074919
8858,0.0098,0.347675,0.012255,1.325648,-0.044557,0.17422,-0.003037
8898,0.864817,0.872181,0.434284,1.039991,-0.188655,-1.53118,-0.237905
9038,1.025664,-0.44081,0.318908,2.338042,-0.095482,1.925447,1.821922
9066,-0.291627,0.034892,0.074266,1.324991,-0.083394,-1.426643,-0.162873
9122,0.166995,0.148718,-0.057392,1.034626,0.88909,0.379227,-1.173176
9267,0.659379,0.714662,0.051404,2.744341,-0.085786,-0.951097,-0.085817
9302,0.099655,-0.160192,-0.00358,2.499986,-0.027304,-0.061328,-0.912801
9318,-0.596235,0.370199,-0.196148,0.017452,-0.744837,-0.132576,-2.048193
9330,0.10956,-0.26914,-0.187075,1.89497,-0.073525,0.047938,-0.47941
9363,-0.342206,0.079965,-0.019969,0.769132,-0.126208,-1.10729,-0.053635
9366,-1.016572,-0.337385,-0.251501,1.677208,-0.111583,0.028497,-0.748785
9404,0.730331,1.231111,0.635278,0.389069,0.484637,-0.105979,0.254411
9437,-0.190333,-0.288173,-0.023435,0.662995,-0.136062,-0.088077,-0.860887
9489,-0.29751,-0.104461,-0.004573,1.939519,-0.104864,0.237453,0.631247
9492,0.130183,0.250916,0.84842,1.286918,0.073091,-2.517086,0.686905
9518,-0.344565,-0.191532,-0.081,1.339996,-0.384317,0.477991,-0.669422
9579,1.371101,-0.493579,0.087406,1.016192,0.091698,-2.449228,0.121704
9700,-0.381749,0.051325,0.181171,1.517287,-0.520365,0.228079,0.31245
