subj,STG_MTG,rMTG,Parahipp,MiddFG,IFGpt,cerebell,ACC
209,-0.897352,0.246515,-0.218215,-0.000491,0.082137,3.356806,-1.293618
247,1.545212,1.127427,0.451116,-0.99788,0.056047,-2.778744,0.455034
650,0.618643,0.316822,0.152288,0.612164,0.023491,0.295963,-1.070452
6913,-0.057097,0.365452,-0.242734,1.420575,-1.047858,0.2353,-0.86394
7457,0.810804,0.322997,0.153112,3.702252,-0.052994,1.892887,0.441154
7522,1.413308,0.043282,0.487651,3.20437,0.959441,0.410779,0.676796
7772,1.384278,0.659995,-0.107958,1.195081,0.582179,-2.716575,0.233442
8043,0.329105,0.581655,-0.113055,1.74335,-0.635793,-0.987498,1.522194
8082,0.598479,1.122134,0.145738,1.540753,0.368244,0.056639,0.532169
8247,-0.109286,-0.116697,-0.39671,-1.272526,0.643755,-0.241584,-1.317175
8466,1.232442,0.314326,-0.004824,1.259396,-0.307217,1.302342,1.067211
8535,-0.30711,0.000863,-0.123603,-0.32477,-0.15709,-0.181797,-0.047851
8605,1.590946,1.434503,0.360103,2.133289,-0.071721,3.773223,0.91932
8858,-0.644317,-0.903526,-0.868541,0.629463,-0.075527,0.286859,-0.845522
8898,1.635632,0.688018,0.693703,0.134117,0.260505,-0.843135,0.463196
9038,0.749922,-0.152176,0.130946,2.181882,-0.118622,1.870867,0.927258
9066,1.339228,0.23215,0.633263,1.765768,0.414344,-0.640565,1.11782
9122,1.322497,0.236589,-0.069862,0.212876,0.918775,-0.019458,-1.656888
9267,1.297154,0.466025,-0.013514,2.301275,-0.049293,-1.533363,-1.524313
9302,0.829565,0.089561,-0.208526,0.896603,-0.191365,0.254793,-1.592003
9318,1.000476,1.601755,-0.06677,0.300454,-0.115944,-0.208989,-0.621015
9330,0.603601,0.936057,-0.241183,1.135746,-0.0457,0.459708,0.05357
9363,0.515058,-0.065586,0.043238,0.503326,0.435352,-0.498869,0.110434
9366,-0.431933,-0.419042,0.212852,0.08325,0.796523,-0.03638,0.168574
9404,0.640128,-0.101651,0.167377,0.069731,0.211023,0.174425,1.093082
9437,0.088384,0.204088,0.037504,0.758829,0.247458,0.072412,-0.259343
9489,0.993098,0.862365,0.146624,1.484539,0.260772,-0.557708,1.533666
9492,-0.354599,0.87856,0.247809,-1.202175,-1.272535,5.613161,-1.61451
9518,-0.493385,-0.284511,-0.206841,0.749666,0.158776,0.449941,-1.22941
9579,2.317718,0.273324,0.510048,1.967181,0.862062,-0.661774,2.495654
9700,-0.186857,0.349114,0.468339,-0.260331,0.072766,-0.083339,0.297523
