subj,STG_MTG,rMTG,Parahipp,MiddFG,IFGpt,cerebell,ACC
209,-0.039317,-0.569136,-0.339062,-2.255368,-0.180097,5.640289,-2.217905
247,-0.188828,-1.003874,0.238742,0.793124,1.459573,1.946021,-1.643341
650,1.871481,1.212449,0.121843,-1.165045,2.026081,-0.039366,-0.099623
6913,1.765941,-0.130248,0.10681,-5.037281,2.678728,0.044853,-2.185653
7457,7.703746,1.56071,0.520602,-1.111315,1.980768,-0.147407,2.339354
7522,4.721359,0.736392,-0.818257,-2.94112,-0.196494,-0.259153,-2.687847
7772,3.546622,1.448723,1.35225,-3.182764,1.870001,-3.070816,0.929316
8043,4.275678,3.77262,1.201439,-1.115694,2.832692,2.834936,-2.076079
8082,1.976578,1.811432,-1.181794,-1.250781,1.257008,-0.095097,-4.102829
8247,-2.073729,-3.216108,-1.041156,-2.359867,-1.391773,-1.401935,-2.067266
8466,3.941,1.144357,0.432812,-0.084251,1.058042,-0.648169,-0.330526
8535,3.54134,2.544427,1.339992,-0.443523,2.836577,1.66641,0.071122
8605,2.980146,0.470364,0.683682,1.43208,1.517252,1.14191,0.938693
8858,1.958857,0.664489,0.35635,0.956036,2.364124,-0.42656,0.773717
8898,7.556847,-0.373706,0.666525,-0.823772,1.974041,0.590588,0.222195
9038,1.99241,-0.421484,0.637547,-1.30699,-0.312085,-2.069546,-1.066208
9066,6.42512,0.467587,0.832298,-1.029056,1.203694,2.546774,-0.101162
9122,3.570482,0.873745,-0.944982,-3.393579,-0.292171,6.036531,-2.805441
9267,2.592073,-0.17828,-0.126919,-2.100512,0.500011,5.734816,-1.593539
9302,3.417911,0.866035,0.249979,-2.319667,2.049507,0.849307,0.215299
9318,1.491936,-2.302093,-0.353646,-1.238574,1.709258,-2.594085,-1.103949
9330,5.026674,1.79313,1.787054,1.703942,0.410186,-0.852128,0.68982
9363,1.173033,2.901021,0.278086,0.049221,0.813428,-5.164979,0.067592
9366,3.793347,3.075407,0.159087,-0.294065,2.575823,1.101048,0.362987
9404,1.435082,0.866533,0.31837,-2.042098,2.105125,1.046328,0.751987
9437,1.847746,0.377427,0.146387,0.331596,1.844141,-0.071026,0.235738
9489,3.705687,1.630742,-0.135705,-1.45274,1.391893,-0.089765,-1.163022
9492,4.543507,4.405633,-1.261956,-1.366761,4.143212,4.825376,-1.739608
9518,2.980077,-0.552096,0.665236,-1.618392,0.535183,0.633381,-1.574501
9579,-1.724239,-1.444697,-0.862155,-2.228052,-1.262106,4.264655,-6.122115
9700,1.687428,1.026019,0.784908,-0.072961,2.236895,1.680707,-0.238421
