"CIs","RC_Measure","EAC","UGC","UPC"
"10_70","WJ3",32,27,13
"10_70","KTEA",16,21,21
"10_70","ND",19,21,20
"10_70","GM",16,21,20
"15_65","WJ3",36,32,13
"15_65","KTEA",24,30,28
"15_65","ND",29,30,26
"15_65","GM",23,29,26
"15_60","WJ3",36,38,16
"15_60","KTEA",24,36,32
"15_60","ND",29,37,28
"15_60","GM",23,36,29
"15_70","WJ3",36,27,13
"15_70","KTEA",24,21,21
"15_70","ND",29,21,20
"15_70","GM",23,21,20
"20_65","WJ3",48,32,13
"20_65","KTEA",33,30,28
"20_65","ND",40,30,26
"20_65","GM",32,29,26
"20_70","WJ3",48,27,13
"20_70","KTEA",33,21,21
"20_70","ND",40,21,20
"20_70","GM",32,21,20
