SubjectID,Overlap
1,YES
9,YES
17,YES
18,YES
21,YES
23,YES
32,YES
33,YES
34,YES
36,YES
40,YES
47,YES
55,YES
74,YES
78,YES
110,YES
114,YES
123,YES
124,YES
142,YES
151,YES
169,YES
170,YES
176,YES
180,YES
183,YES
186,YES
198,YES
200,YES
213,YES
246,YES
267,YES
272,YES
293,YES
296,YES
4005,YES
4008,YES
4094,YES
4014,YES
4033,YES
4076,YES
4082,YES
4052,YES
4088,YES
4099,YES
4081,YES
4038,YES
4045,YES
4130,YES
4170,YES
4050,YES
4188,YES
4184,YES
4010,YES
4046,YES
4016,YES
4017,YES
4018,YES
4019,YES
4034,YES
4035,YES
4061,YES
4073,YES
4129,YES
4141,YES
4022,YES
4032,YES
4051,YES
4150,YES
4149,YES
4145,YES
4147,YES
4124,YES
1077,YES
1051,YES
1109,YES
1088,YES
1101,YES
1057,YES
1084,YES
1080,YES
1171,YES
1194,YES
1162,YES
1005,YES
1034,YES
1200,YES
1137,YES
1170,YES
1196,YES
1184,YES
1181,YES
1003,YES
1177,YES
1191,YES
1122,YES
1075,YES
1068,YES
1069,YES
1081,YES
1100,YES
1132,YES
1183,YES
1199,YES
1202,YES
1076,YES
1104,YES
1172,YES
1213,YES
1212,YES
1211,YES
1210,YES
1208,YES
1117,YES
