"","Model","P-Val","Sig"
"1","KTEAInt-20_70",0.00176816710433275,"*"
"2","KTEANoInt-20_70",0.000534679556378988,"*"
"3","KTEAInt-15_70",0.000306635918627721,"*"
"4","KTEANoInt-15_70",0.00457325438439744,"*"
"5","KTEAInt-15_60",0.00163886007045546,"*"
"6","KTEANoInt-15_60",0.0355255391005283,"*"
"7","KTEAInt-15_65",0.000588201530904534,"*"
"8","KTEANoInt-15_65",0.0130301812346702,"*"
"9","WJInt-20_70",0.575087329054095,NA
"10","WJNoInt-20_70",0.550044923176185,NA
"11","WJInt-15_70",0.732071491976854,NA
"12","WJNoInt-15_70",0.598562508867598,NA
"13","WJInt-15_60",0.669231780415645,NA
"14","WJNoInt-15_60",0.717969305163152,NA
"15","WJInt-15_65",0.731286504044063,NA
"16","WJNoInt-15_65",0.459725498784925,NA
"17","CompositeInt-20_70",0.829166660534928,NA
"18","CompositeNoInt-20_70",0.932896840940645,NA
"19","CompositeInt-15_70",0.675382732015822,NA
"20","CompositeNoInt-15_70",0.949230119651551,NA
"21","CompositeInt-15_60",0.785547698346101,NA
"22","CompositeNoInt-15_60",0.274751224315333,NA
"23","CompositeInt-15_65",0.806732309930175,NA
"24","CompositeNoInt-15_65",0.609041152512134,NA
