"","Model","P-Val","Sig"
"1","KTEAInt-20_70",0.00373161182036397,"*"
"2","KTEANoInt-20_70",0.0254062368700931,"*"
"3","KTEAInt-15_70",0.00328558572013714,"*"
"4","KTEANoInt-15_70",0.0237434330194391,"*"
"5","KTEAInt-15_60",0.0189670225395008,"*"
"6","KTEANoInt-15_60",0.448911209297623,NA
"7","KTEAInt-15_65",0.00681856080896138,"*"
"8","KTEANoInt-15_65",0.042891930833318,"*"
"9","WJ3Int-20_70",0.737431940472456,NA
"10","WJ3NoInt-20_70",0.767443027365163,NA
"11","WJ3Int-15_70",0.695912499629915,NA
"12","WJ3NoInt-15_70",0.719461930982405,NA
"13","WJ3Int-15_60",0.568775277644898,NA
"14","WJ3NoInt-15_60",0.574593126289928,NA
"15","WJ3Int-15_65",0.645092532921862,NA
"16","WJ3NoInt-15_65",0.630192496322552,NA
"17","CompositeInt-20_70",0.347553055648573,NA
"18","CompositeNoInt-20_70",0.325870003800297,NA
"19","CompositeInt-15_70",0.382144351975222,NA
"20","CompositeNoInt-15_70",0.363475280464993,NA
"21","CompositeInt-15_60",0.409392860682305,NA
"22","CompositeNoInt-15_60",0.442145454585613,NA
"23","CompositeInt-15_65",0.402683919869972,NA
"24","CompositeNoInt-15_65",0.403851894489306,NA
