Subject ID,MRIID_1,MRIID_2,Needs freesurfering?
123,tb1208,,? (asked clint to find)
180,NA,,no
284,NA,,no
325,NA,,no
1001,5689,5723,"no, it's there (just not exported in spreadsheet)"
1005,5868,5895,"no, it's there (just not exported in spreadsheet)"
1008,bad data (maybe just func?),,"no, it's there (just not exported in spreadsheet)"
1015,bad data (maybe just func?),,"no, it's there (just not exported in spreadsheet)"
1017,bad data (maybe just func?),,"no, it's there (just not exported in spreadsheet)"
1019,6163,,"no, it's there (just not exported in spreadsheet)"
1021,bad data (maybe just func?),,"no, it's there (just not exported in spreadsheet)"
1023,6419,6450,"no, it's there (just not exported in spreadsheet)"
1030,bad data (maybe just func?),,"no, it's there (just not exported in spreadsheet)"
1042,6874,6898,"no, it's there (just not exported in spreadsheet)"
1045,bad data (maybe just func?),,"no, it's there (just not exported in spreadsheet)"
1047,bad data (maybe just func?),,"no, it's there (just not exported in spreadsheet)"
1049,7001,7126,"no, it's there (just not exported in spreadsheet)"
1051,bad data (maybe just func?),,"no, it's there (just not exported in spreadsheet)"
1053,7187,7223,"no, it's there (just not exported in spreadsheet)"
1056,7345,8158,"no, it's there (just not exported in spreadsheet)"
1057,7427,7456,"no, it's there (just not exported in spreadsheet)"
1062,bad data (maybe just func?),,"no, it's there (just not exported in spreadsheet)"
1063,bad data (maybe just func?),,"no, it's there (just not exported in spreadsheet)"
1065,bad data (maybe just func?),,"no, it's there (just not exported in spreadsheet)"
1067,bad data (maybe just func?),,"no, it's there (just not exported in spreadsheet)"
1069,7764,,"no, it's there (just not exported in spreadsheet)"
1071,8035,,"no, it's there (just not exported in spreadsheet)"
1072,8135,8290,"no, it's there (just not exported in spreadsheet)"
1074,8101,8236,"no, it's there (just not exported in spreadsheet)"
1075,bad data (maybe just func?),,"no, it's there (just not exported in spreadsheet)"
1076,bad data (maybe just func?),,"no, it's there (just not exported in spreadsheet)"
1078,8291,,"no, it's there (just not exported in spreadsheet)"
1081,8357,8847,"no, it's there (just not exported in spreadsheet)"
1089,bad data,,"no, it's there (just not exported in spreadsheet)"
1108,9148,9317,yes
1112,8989,,"no, it's there (just not exported in spreadsheet)"
1113,8930,,"no, it's there (just not exported in spreadsheet)"
1114,8941,,"no, it's there (just not exported in spreadsheet)"
1116,9077,,"no, it's there (just not exported in spreadsheet)"
1121,bad data,,"no, it's there (just not exported in spreadsheet)"
1129,9369,0239,"no, it's there (just not exported in spreadsheet)"
1135,bad data,,"no, it's there (just not exported in spreadsheet)"
1143,bad data,,"no, it's there (just not exported in spreadsheet)"
1144,bad data,,"no, it's there (just not exported in spreadsheet)"
1146,9661,0240,"no, it's there (just not exported in spreadsheet)"
1148,bad data,,"no, it's there (just not exported in spreadsheet)"
1149,bad data,,"no, it's there (just not exported in spreadsheet)"
1156,bad data,,"no, it's there (just not exported in spreadsheet)"
1163,9639,9940,"no, it's there (just not exported in spreadsheet)"
1167,9728,9906,"no, it's there (just not exported in spreadsheet)"
1168,9841,0064,"no, it's there (just not exported in spreadsheet)"
1178,0094,0381,"no, it's there (just not exported in spreadsheet)"
1184,0312,0421,"no, it's there (just not exported in spreadsheet)"
4042,tb8858,,yes
4045,tb0603,,"no, it's there (just not exported in spreadsheet)"
4084,tb6913,,"no, it's there (just not exported in spreadsheet)"
4085,tb9700,,yes
4102,tb0209,,yes
4151,tb3042,,yes
