"","Model","P-Val","Sig"
"1","KTEAInt-20_70",0.474668596220877,NA
"2","KTEANoInt-20_70",0.646052513536209,NA
"3","KTEAInt-15_70",0.513443105141352,NA
"4","KTEANoInt-15_70",0.722754966310474,NA
"5","KTEAInt-15_60",0.669275221640877,NA
"6","KTEANoInt-15_60",0.899994092010434,NA
"7","KTEAInt-15_65",0.68480532030485,NA
"8","KTEANoInt-15_65",0.720966604467482,NA
"9","WJ3Int-20_70",0.695753889054878,NA
"10","WJ3NoInt-20_70",0.494865566767622,NA
"11","WJ3Int-15_70",0.648390205614409,NA
"12","WJ3NoInt-15_70",0.610123406080223,NA
"13","WJ3Int-15_60",0.493294377058665,NA
"14","WJ3NoInt-15_60",0.499458236737726,NA
"15","WJ3Int-15_65",0.526681653895568,NA
"16","WJ3NoInt-15_65",0.571239631577175,NA
"17","CompositeInt-20_70",1.84268141902347e-18,"*"
"18","CompositeNoInt-20_70",4.00416881277121e-17,"*"
"19","CompositeInt-15_70",7.56269167405076e-18,"*"
"20","CompositeNoInt-15_70",1.01072436729154e-16,"*"
"21","CompositeInt-15_60",1.49662821987073e-21,"*"
"22","CompositeNoInt-15_60",1.36599242264032e-20,"*"
"23","CompositeInt-15_65",7.2319792997483e-19,"*"
"24","CompositeNoInt-15_65",3.28531530610819e-18,"*"
