"","X","SubjectID","age.tested","age.tested.c","towre.w.ipm","towre.w.ipm.cs","towre.nw.ipm","towre.nw.ipm.t","wj3.wid.raw","wj3.wid.t","wj3.watt.raw","wj3.watt.t","ppvt.raw","ppvt.t","wasi.matr.raw","wasi.matr.t","ktea2.raw","ktea2.t","wj3.rcomp.raw","wj3.rcomp.t","decode","decode.cs","rc.comp","Pred","stdPred","resid","CI_group"
"2",2,"100",18.07,-2.983914591,133.33,-1.291016097,83.59,-1.154657797,66,-1.229160995,29,-1.41322975,193,-0.694976298,26,0.294292934,75.77358491,-0.728042869,38,-0.539616645,-1.27201616,-1.47277218,0.075160057099687,-0.78680512828886,-0.88019041543606,0.058762259288857,"EAC"
"3",3,"1000",16.08,2.816085409,125.33,2.46520917,68,2.014344482,66,1.189390714,25,1.567141763,193,1.631487019,22,2.317299631,76,1.066408681,37,1.678754225,1.809021532,2.094530455,-0.0359921740316693,1.89089532337065,2.10282495376755,-0.824486642370649,"UPC"
"4",4,"1002",18.92,1.976085409,137.33,1.013277401,77.33,0.853660502,75,0.965801985,30,0.682542295,223,0.547028348,28,0.591254207,90,0.817785013,44,0.63160695,0.878820546,1.017520447,1.8127874915229,0.711750750311234,0.78923276993334,0.10603426268877,"EAC"
"5",5,"1004",17.25,3.616085409,85.33,0.221412828,42.67,0.329039454,65,1.663562087,27,0.304076256,180,0.330096252,24,0.013034742,78,1.614725431,35,0.385124145,0.629522656,0.728877104,-0.160752746374381,0.484949446404189,0.536571283884428,1.12977598459581,"UGC"
"6",6,"1005",17.83,1.206085409,133.33,2.021743403,66.67,0.47377203,60,0.965801985,28,-0.035776103,202,1.10054546,25,1.232951274,78,0.57602551,35,0.63160695,0.856385329,0.99154439,-0.160752746374381,1.11335021023113,1.23662312700725,-0.537324700231129,"UPC"
"7",7,"1006",13.5,0.366085409,69.33,0.797216126,24,1.866810698,41,0.965801985,16,1.567141763,155,-0.132142974,17,-1.354899639,28,0.57602551,26,0.385124145,1.299242643,1.504295684,-2.51769308501348,0.0553931361459069,0.0580363997286151,0.520632373854093,"UGC"
"11",11,"1011",25.08,2.006085409,116,0.077191927,78.67,0.011751027,75,0.346288694,30,-0.339824306,219,-0.006129261,21,0.591254207,88,1.202557614,41,0.385124145,0.023851836,0.027616253,1.2438786960707,0.164742675543365,0.179854117029964,1.03781493845664,"UGC"
"12",12,"1012",25,0.496085409,136,0.221412828,76,-0.44592234,75,-0.968234398,30,-0.339824306,224,-1.597090709,25,-1.354899639,90,-1.38696219,44,-0.96528561,-0.383142054,-0.44361147,1.8127874915229,-1.24661730396757,-1.39243097847084,-0.140344886032426,"EPC"
"14",14,"1014",21.17,2.626085409,122.67,1.255806183,78.67,1.184803967,71,0.5444753,31,0.682542295,216,1.185291298,25,0.013034742,91,0.57602551,43,0.884210536,0.916906936,1.061617824,1.74731016741012,1.04146563862351,1.15654218226182,-0.465440128623507,"UPC"
"15",15,"1016",21.33,-2.483914591,138.67,0.293253202,78.67,-0.371433657,74,-0.681836275,31,0.304076256,214,0.473411677,27,0.294292934,83,-1.043557637,42,0.14476127,-0.113985119,-0.131974826,1.03411246251172,0.225966240515504,0.248058473180459,-1.2695238775155,"UPC"
"18",18,"102",19.4,-0.733914591,113.33,-0.570991898,72,0.248971844,75,0.5444753,30,1.567141763,215,1.271509916,25,0.591254207,85.98113208,0.943056631,40,1.142935739,0.447399252,0.518010064,0.966044419634635,0.95268698788188,1.05764087332142,-0.00963035688187959,"EAC"
"20",20,"1022",21.33,1.226085409,136,0.077191927,66.67,0.573339531,68,1.189390714,31,0.304076256,200,0.058661198,22,0.013034742,84,0.234823476,36,0.385124145,0.535999607,0.620593774,0.329870696136734,0.217598068710178,0.238736151450278,0.0172254072898217,"EAC"
"21",21,"1024",24.25,2.086085409,124,1.255806183,72,0.93345571,73,1.421900249,29,1.102549013,201,0.854960526,21,0.591254207,86,1.071302565,44,0.884210536,1.178427789,1.364413219,1.51964588278804,0.976549784027994,1.08422453678232,0.0947527809720058,"EAC"
"23",23,"1028",22.33,-0.573914591,138.67,1.434056735,82.67,0.47377203,75,0.1561256,31,-0.035776103,219,-0.069725257,23,-1.163993086,89,0.817785013,43,0.385124145,0.507044566,0.587068902,1.59411581654555,-0.106461652841892,-0.122273284586741,0.924246665841892,"UGC"
"24",24,"1029",21.92,-0.603914591,125.33,-0.138869348,78.67,-0.593468235,70,-0.681836275,30,-1.063496366,212,-1.690163863,26,-0.252693548,90,-0.555921765,42,-1.74326023,-0.619417556,-0.717177166,1.5301891388303,-1.23080752586919,-1.37481854873773,0.674885760869191,"EPC"
"25",25,"103",20.91,-1.313914591,118.67,0.221412828,52,-0.295729157,73,0.346288694,29,-0.035776103,212,0.854960526,25,1.578007153,85.32075472,0.817785013,42,0.63160695,0.059049066,0.068368487,1.18985234768952,0.734473601870449,0.814546510830407,0.0833114111295515,"EAC"
"27",27,"1035",17.42,2.096085409,116,0.005351553,62.67,-1.087185596,64,-0.200995735,28,-1.41322975,183,0.330096252,24,0.591254207,65,0.817785013,39,0.14476127,-0.674014882,-0.780391318,-0.307513759159801,0.197496540046337,0.216342620123215,0.620288472953663,"UGC"
"34",34,"1048",21.58,1.956085409,112,1.283353995,77.33,0.011751027,75,-0.368379615,30,-1.063496366,217,0.058661198,23,-0.503071129,81,1.071302565,39,-0.089482551,-0.03419274,-0.039589211,0.506924045677033,0.0213427598668629,0.0201035548860921,1.04995980513314,"UGC"
"36",36,"1050",19.67,-0.403914591,138.67,-0.283090249,80,0.011751027,75,-0.528591259,31,0.682542295,216,-1.071802117,27,-0.252693548,88,-0.639959234,43,-1.557934351,-0.029347047,-0.033978746,1.52001852758717,-0.702641828371995,-0.786430705674909,0.0626825943719951,"EAC"
"37",37,"1054",18.42,3.246085409,78.67,0.725375752,40,-0.593468235,64,0.965801985,25,0.304076256,203,0.401106703,20,1.939406956,76,0.817785013,34,0.385124145,0.35044644,0.405755668,-0.387264081693544,0.739203040478438,0.819815206231565,0.078581972521562,"EAC"
"38",38,"1055",16,0.626085409,113.33,0.509314477,70.67,-0.737758241,60,0.965801985,23,0.304076256,194,0.935398336,18,0.904086171,70.94339623,1.474234252,36,0.14476127,0.260358619,0.301449733,-0.416080450183686,0.795466897341003,0.882494341848728,0.678767354658997,"UGC"
"41",41,"106",22.65,-0.093914591,121.33,1.549109364,69.33,1.342272337,69,1.663562087,31,0.682542295,193,1.820803717,16,0.013034742,73.75471698,1.393505539,35,0.63160695,1.309371521,1.516023153,-0.393092077072686,1.43345285177826,1.5932242915871,-0.0399473127782644,"EAC"
"44",44,"1066",13.5,2.006085409,92,0.581154851,56,0.248971844,59,0.346288694,22,1.102549013,178,0.775922446,22,1.578007153,62.32075472,0.817785013,34,0.63160695,0.569741101,0.659660521,-1.01291693639836,0.924508722944531,1.02624968565757,-0.106723709944531,"EAC"
"45",45,"1068",17.75,1.086085409,105.33,0.293253202,50.67,0.090023366,59,-0.368379615,24,-1.41322975,152,-0.482794231,20,0.294292934,52,0.459468012,34,-0.089482551,-0.349583199,-0.404756187,-1.3374519025288,-0.292821422434561,-0.329882039536027,0.752289434434561,"UGC"
"48",48,"1074",24.08,1.816085409,155.22,-1.074954822,94.91,-2.463626105,76,-1.963638924,30,-2.187652688,218,-1.02798239,26,-2.207588062,86,-1.113937277,47,-0.539616645,-1.922468135,-2.225881774,1.96776849086524,-1.37121321356756,-1.5312334771022,0.257275936567556,"EPC"
"51",51,"1083",17.25,0.856085409,122.67,-0.210709722,69.33,0.573339531,73,0.750905434,26,0.682542295,212,1.10054546,24,1.232951274,78,0.943056631,40,0.385124145,0.449019385,0.519885893,0.456967523392522,1.00019135020604,1.11056174534404,-0.0571347192060414,"EAC"
"52",52,"1085",18.75,1.026085409,110.67,0.941437028,57.33,0.767457027,66,0.965801985,28,1.102549013,199,0.935398336,22,0.294292934,80,0.817785013,40,0.884210536,0.944311263,1.09334724,0.575448434284602,0.886417371440963,0.983815108295322,-0.0686323584409629,"EAC"
"58",58,"1095",18.5,1.916085409,93.33,0.941437028,61.33,0.347785989,64,0.346288694,26,1.102549013,190,0.260363295,20,0.904086171,64,0.57602551,33,0.63160695,0.684515181,0.792548827,-1.0594931781136,0.535332908775002,0.59269953471722,0.0406926012249985,"EAC"
"59",59,"1096",18.25,-2.543914591,122.67,0.437474103,73.33,1.063679019,61,0.5444753,28,0.682542295,159,-0.370349867,18,-0.958524173,65,-0.810460226,34,-0.755508785,0.682042679,0.789686102,-0.909100099663186,-0.279326918011939,-0.314848874019877,-0.531133307988062,"UPC"
"61",61,"1098",18.92,-0.533914591,128,0.221412828,74.67,0.491533654,73,1.189390714,32,1.567141763,209,1.017253918,24,0.591254207,80,0.817785013,40,0.884210536,0.86736974,1.004262416,0.575448434284602,0.910005692731614,1.01009300091775,-0.0922206797316137,"EAC"
"62",62,"1099",17.5,-2.663914591,109.33,1.737082673,60,1.229524939,60,0.346288694,27,0.304076256,145,0.698266199,18,0.013034742,67,0.57602551,32,0.385124145,0.904243141,1.046955364,-1.04396901943052,0.567029404566004,0.628010106531128,0.00899610543399591,"EAC"
"63",63,"11",19.05,-0.813914591,148.57,1.013277401,81.33,0.573339531,74,1.421900249,31,0.682542295,214,1.917861794,26,2.317299631,84.35849057,1.758364907,41,1.678754225,0.922764869,1.068400285,0.987793835719944,1.72252333773738,1.91525497349732,0.0358415692626155,"EAC"
"64",64,"110",17.96,2.266085409,129.33,0.077191927,76,-0.44592234,71,0.346288694,30,-1.782380296,204,0.401106703,18,-0.738283726,78,1.071302565,43,-0.317608215,-0.451205504,-0.522417037,0.866334123028431,0.099380184134071,0.107038908621374,0.971922380865929,"UGC"
"68",68,"1106",18.58,0.616085409,112,-0.426770997,65.33,0.16949459,61,-0.828317379,26,-0.339824306,184,0.124662443,19,0.904086171,72,0.234823476,34,-0.089482551,-0.356354523,-0.412596195,-0.595642412791057,0.150492598282768,0.163979227269851,0.0843308777172322,"EAC"
"69",69,"1108",16.25,2.496085409,100,0.509314477,77.33,0.248971844,68,0.965801985,30,1.567141763,214,0.935398336,25,-0.738283726,89,0.817785013,44,0.63160695,0.822807517,0.952667159,1.7370297279624,0.748031243384454,0.82965001241191,0.0697537696155454,"EAC"
"70",70,"111",23.55,-4.733914591,137.33,-0.138869348,70.67,-0.665955136,73,-1.350555732,28,-1.41322975,211,-0.694976298,17,-0.252693548,83.26415094,0.234823476,40,-0.539616645,-0.892152492,-1.032956507,0.781731380366319,-0.833726145365745,-0.932461428421202,1.06854962136574,"UGC"
