"","Model","EAC","UGC","UPC"
"WJ3Int-20_70.csv","WJ3Int-20_70",72,24,19
"WJ3NoInt-20_70.csv","WJ3NoInt-20_70",73,20,16
"KTEAInt-20_70.csv","KTEAInt-20_70",57,40,37
"KTEANoInt-20_70.csv","KTEANoInt-20_70",53,39,37
"WJ3Int-15_70.csv","WJ3Int-15_70",60,24,19
"WJ3NoInt-15_70.csv","WJ3NoInt-15_70",58,20,16
"KTEAInt-15_70.csv","KTEAInt-15_70",44,40,37
"KTEANoInt-15_70.csv","KTEANoInt-15_70",42,39,37
"WJ3Int-15_60.csv","WJ3Int-15_60",60,37,29
"WJ3NoInt-15_60.csv","WJ3NoInt-15_60",58,32,29
"KTEAInt-15_60.csv","KTEAInt-15_60",44,52,44
"KTEANoInt-15_60.csv","KTEANoInt-15_60",42,57,46
"WJ3Int-15_65.csv","WJ3Int-15_65",60,26,25
"WJ3NoInt-15_65.csv","WJ3NoInt-15_65",58,27,24
"KTEAInt-15_65.csv","KTEAInt-15_65",44,46,39
"KTEANoInt-15_65.csv","KTEANoInt-15_65",42,47,44
"CompositeInt-20_70.csv","CompositeInt-20_70",34,67,42
"CompositeNoInt-20_70.csv","CompositeNoInt-20_70",32,58,36
"CompositeInt-15_70.csv","CompositeInt-15_70",25,67,42
"CompositeNoInt-15_70.csv","CompositeNoInt-15_70",24,58,36
"CompositeInt-15_65.csv","CompositeInt-15_65",25,75,47
"CompositeNoInt-15_65.csv","CompositeNoInt-15_65",24,70,45
"CompositeInt-15_60.csv","CompositeInt-15_60",25,85,52
"CompositeNoInt-15_60.csv","CompositeNoInt-15_60",24,76,52
