"","Model","P-Val","Sig"
"1","KTEAInt-20_70",1.61847572911639e-16,"*"
"2","KTEANoInt-20_70",3.64481976798091e-15,"*"
"3","KTEAInt-15_70",1.81920987760714e-15,"*"
"4","KTEANoInt-15_70",5.37630428191035e-14,"*"
"5","KTEAInt-15_60",1.47357327209417e-13,"*"
"6","KTEANoInt-15_60",1.17259574496811e-13,"*"
"7","KTEAInt-15_65",3.67549637329385e-15,"*"
"8","KTEANoInt-15_65",2.43636764464709e-12,"*"
"9","WJ3Int-20_70",7.6620648896191e-15,"*"
"10","WJ3NoInt-20_70",8.19382540425681e-14,"*"
"11","WJ3Int-15_70",5.47501710834073e-14,"*"
"12","WJ3NoInt-15_70",4.23456945120866e-13,"*"
"13","WJ3Int-15_60",2.71626131657689e-14,"*"
"14","WJ3NoInt-15_60",5.365354663264e-15,"*"
"15","WJ3Int-15_65",6.28161329167782e-15,"*"
"16","WJ3NoInt-15_65",9.89321707242186e-16,"*"
"17","CompositeInt-20_70",3.86392571623925e-79,"*"
"18","CompositeNoInt-20_70",2.95601565917313e-69,"*"
"19","CompositeInt-15_70",4.30822637643841e-75,"*"
"20","CompositeNoInt-15_70",1.47339749639369e-66,"*"
"21","CompositeInt-15_60",5.48067424743437e-81,"*"
"22","CompositeNoInt-15_60",3.22270213487064e-75,"*"
"23","CompositeInt-15_65",3.7225652055321e-79,"*"
"24","CompositeNoInt-15_65",3.76991145330182e-70,"*"
