"","Model","P-Val","Sig"
"1","KTEAInt-20_70",0.0502427389738024,NA
"2","KTEANoInt-20_70",0.0603282124773105,NA
"3","KTEAInt-15_70",0.153029082572457,NA
"4","KTEANoInt-15_70",0.107627739067941,NA
"5","KTEAInt-15_60",0.0630629620447502,NA
"6","KTEANoInt-15_60",0.0884280876880537,NA
"7","KTEAInt-15_65",0.073284124920603,NA
"8","KTEANoInt-15_65",0.0726756123530738,NA
"9","WJ3Int-20_70",0.149834647705443,NA
"10","WJ3NoInt-20_70",0.124728355150207,NA
"11","WJ3Int-15_70",0.21430713528152,NA
"12","WJ3NoInt-15_70",0.221862469474494,NA
"13","WJ3Int-15_60",0.231861519156729,NA
"14","WJ3NoInt-15_60",0.38752262487559,NA
"15","WJ3Int-15_65",0.223501986257985,NA
"16","WJ3NoInt-15_65",0.121669356798332,NA
"17","CompositeInt-20_70",0.207455357793266,NA
"18","CompositeNoInt-20_70",0.173147242028883,NA
"19","CompositeInt-15_70",0.198731041536755,NA
"20","CompositeNoInt-15_70",0.10166362279758,NA
"21","CompositeInt-15_60",0.388032532012144,NA
"22","CompositeNoInt-15_60",0.269372915376367,NA
"23","CompositeInt-15_65",0.262132639795895,NA
"24","CompositeNoInt-15_65",0.0698435003717771,NA
