"","X","SubjectID","age.tested","age.tested.c","towre.w.ipm","towre.w.ipm.cs","towre.nw.ipm","towre.nw.ipm.t","wj3.wid.raw","wj3.wid.t","wj3.watt.raw","wj3.watt.t","ppvt.raw","ppvt.t","wasi.matr.raw","wasi.matr.t","ktea2.raw","ktea2.t","wj3.rcomp.raw","wj3.rcomp.t","decode","decode.cs","rc.comp","Pred","stdPred","resid","CI_group"
"1",1,"1",21.28,1.546085409,148.57,1.620409584,77.73,0.598053804,74,1.189390714,29,0.304076256,216,1.271509916,25,1.232951274,84.77358491,1.04200347,42,1.142935739,0.92798259,1.074441493,1.15236875908061,1.12266034951764,1.37476525194288,0.0202753894823631,"EAC"
"3",3,"1000",16.08,2.816085409,125.33,2.46520917,68,2.014344482,66,1.189390714,25,1.567141763,193,1.631487019,22,2.317299631,76,1.066408681,37,1.678754225,1.809021532,2.094530455,-0.0359921740316693,1.74026699638058,2.1296039379888,-0.0615127713806135,"EAC"
"4",4,"1002",18.92,1.976085409,137.33,1.013277401,77.33,0.853660502,75,0.965801985,30,0.682542295,223,0.547028348,28,0.591254207,90,0.817785013,44,0.63160695,0.878820546,1.017520447,1.8127874915229,0.646809155367868,0.793180043995631,-0.0152022053678582,"EAC"
"5",5,"1004",17.25,3.616085409,85.33,0.221412828,42.67,0.329039454,65,1.663562087,27,0.304076256,180,0.330096252,24,0.013034742,78,1.614725431,35,0.385124145,0.629522656,0.728877104,-0.160752746374381,0.401830337390986,0.493766995237126,-0.0167061923909919,"EAC"
"9",9,"101",24.35,3.766085409,108,1.085657929,29.33,0.992026858,48,1.421900249,0,1.567141763,184,1.631487019,19,0.294292934,63.62264151,1.758364907,27,2.528413821,1.2666817,1.466595808,-1.67031691456054,1.29001140150014,1.57930166493085,1.23840241949986,"UGC"
"12",12,"1012",25,0.496085409,136,0.221412828,76,-0.44592234,75,-0.968234398,30,-0.339824306,224,-1.597090709,25,-1.354899639,90,-1.38696219,44,-0.96528561,-0.383142054,-0.44361147,1.8127874915229,-1.12386212845215,-1.37093394682181,0.158576518452155,"EPC"
"13",13,"1013",21.67,3.636085409,133.33,1.255806183,76,0.011751027,73,0.965801985,29,0.304076256,192,0.401106703,25,1.232951274,85,0.57602551,40,0.63160695,0.634358863,0.734476585,0.898139400617318,0.628157590663082,0.77038410637745,0.00344935933691781,"EAC"
"14",14,"1014",21.17,2.626085409,122.67,1.255806183,78.67,1.184803967,71,0.5444753,31,0.682542295,216,1.185291298,25,0.013034742,91,0.57602551,43,0.884210536,0.916906936,1.061617824,1.74731016741012,0.903544962754301,1.1069624822075,-0.019334426754302,"EAC"
"15",15,"1016",21.33,-2.483914591,138.67,0.293253202,78.67,-0.371433657,74,-0.681836275,31,0.304076256,214,0.473411677,27,0.294292934,83,-1.043557637,42,0.14476127,-0.113985119,-0.131974826,1.03411246251172,0.217028382012388,0.267902092575784,-0.0722671120123879,"EAC"
"21",21,"1024",24.25,2.086085409,124,1.255806183,72,0.93345571,73,1.421900249,29,1.102549013,201,0.854960526,21,0.591254207,86,1.071302565,44,0.884210536,1.178427789,1.364413219,1.51964588278804,0.889585475712793,1.08990120071092,-0.00537493971279467,"EAC"
