"","Model","EAC","UGC","UPC"
"WJInt-20_70.csv","WJInt-20_70",72,23,19
"WJNoInt-20_70.csv","WJNoInt-20_70",73,20,16
"KTEAInt-20_70.csv","KTEAInt-20_70",59,40,39
"KTEANoInt-20_70.csv","KTEANoInt-20_70",56,38,36
"WJInt-15_70.csv","WJInt-15_70",60,23,19
"WJNoInt-15_70.csv","WJNoInt-15_70",58,20,16
"KTEAInt-15_70.csv","KTEAInt-15_70",43,40,39
"KTEANoInt-15_70.csv","KTEANoInt-15_70",43,38,36
"WJInt-15_60.csv","WJInt-15_60",60,40,30
"WJNoInt-15_60.csv","WJNoInt-15_60",58,34,29
"KTEAInt-15_60.csv","KTEAInt-15_60",43,50,46
"KTEANoInt-15_60.csv","KTEANoInt-15_60",43,54,48
"WJInt-15_65.csv","WJInt-15_65",60,26,25
"WJNoInt-15_65.csv","WJNoInt-15_65",58,29,24
"KTEAInt-15_65.csv","KTEAInt-15_65",43,43,42
"KTEANoInt-15_65.csv","KTEANoInt-15_65",43,44,41
"CompositeInt-20_70.csv","CompositeInt-20_70",35,68,43
"CompositeNoInt-20_70.csv","CompositeNoInt-20_70",33,58,37
"CompositeInt-15_70.csv","CompositeInt-15_70",26,68,43
"CompositeNoInt-15_70.csv","CompositeNoInt-15_70",25,58,37
"CompositeInt-15_65.csv","CompositeInt-15_65",26,76,48
"CompositeNoInt-15_65.csv","CompositeNoInt-15_65",25,71,46
"CompositeInt-15_60.csv","CompositeInt-15_60",26,86,53
"CompositeNoInt-15_60.csv","CompositeNoInt-15_60",25,76,53
