"","Model","P-Val","Sig"
"1","KTEAInt-20_70",0.337977456498479,NA
"2","KTEANoInt-20_70",0.396069833534006,NA
"3","KTEAInt-15_70",0.295140370789281,NA
"4","KTEANoInt-15_70",0.328721196096817,NA
"5","KTEAInt-15_60",0.159569705313982,NA
"6","KTEANoInt-15_60",0.295071102246239,NA
"7","KTEAInt-15_65",0.206296505770398,NA
"8","KTEANoInt-15_65",0.313087309915459,NA
"9","WJInt-20_70",0.0669794281528064,NA
"10","WJNoInt-20_70",0.0646540894777078,NA
"11","WJInt-15_70",0.0173177775309753,"*"
"12","WJNoInt-15_70",0.0301567578832333,"*"
"13","WJInt-15_60",0.0347723707009951,"*"
"14","WJNoInt-15_60",0.0187337530835541,"*"
"15","WJInt-15_65",0.0215591512827268,"*"
"16","WJNoInt-15_65",0.0150779008489097,"*"
"17","CompositeInt-20_70",0.52621629970615,NA
"18","CompositeNoInt-20_70",0.0039926365681325,"*"
"19","CompositeInt-15_70",0.511024957232081,NA
"20","CompositeNoInt-15_70",0.00443317851418783,"*"
"21","CompositeInt-15_60",0.781931034957098,NA
"22","CompositeNoInt-15_60",0.301730545879099,NA
"23","CompositeInt-15_65",0.516800169747514,NA
"24","CompositeNoInt-15_65",0.0735063141675631,NA
