"","Model","P-Val","Sig"
"1","KTEAInt-20_70",0.0273204510083203,"*"
"2","KTEANoInt-20_70",0.172157194002713,NA
"3","KTEAInt-15_70",0.115364865110038,NA
"4","KTEANoInt-15_70",0.226141535918162,NA
"5","KTEAInt-15_60",0.186282821417566,NA
"6","KTEANoInt-15_60",0.230222962726067,NA
"7","KTEAInt-15_65",0.183339551140084,NA
"8","KTEANoInt-15_65",0.152483421115718,NA
"9","WJInt-20_70",0.0590027663398881,NA
"10","WJNoInt-20_70",0.185926604353779,NA
"11","WJInt-15_70",0.0698918590558898,NA
"12","WJNoInt-15_70",0.193607781430718,NA
"13","WJInt-15_60",0.0209823034782169,"*"
"14","WJNoInt-15_60",0.0509072508413899,NA
"15","WJInt-15_65",0.0302888847644514,"*"
"16","WJNoInt-15_65",0.119608961180413,NA
