"","SubjectID","age.tested","age.tested.c","towre.w.ipm","towre.w.ipm.cs","towre.nw.ipm","towre.nw.ipm.t","wj3.wid.raw","wj3.wid.t","wj3.watt.raw","wj3.watt.t","ppvt.raw","ppvt.t","wasi.matr.raw","wasi.matr.t","ktea2.raw","ktea2.t","decode","Pred","stdPred","resid","CI_group"
"2","17",19.71,0.852621951,117.33,-0.266319107,64,-0.55261731,60,-1.655322263,27,-0.837180151,198,-0.425054729,25,0.973187769,64,-1.304599579,-0.827859707817533,-0.150712693865839,-0.180907017610597,-1.15388688513416,"UPC"
"4","21",20.3,1.442621951,105.33,-0.932682064,77.33,0.370350842,70,0.027589687,28,-0.500519232,201,-0.212810632,21,-0.399119802,83,0.536883506,-0.258815191773115,-0.0407080976421643,-0.0488637045560148,0.577591603642163,"UGC"
"5","23",16.85,-2.007378049,126.67,0.252333394,72,-0.006334704,67,-0.599179205,22,-1.838136047,187,-1.073095422,20,-0.686756194,76,-0.302609528,-0.547829140571166,-0.926984210241989,-1.11269956420377,0.624374682241992,"EPC"
"7","32",20.23,1.372621951,122.67,0.030212409,60,-0.816699134,62,-1.403904167,27,-0.837180151,165,-1.895473259,15,-1.821882902,59,-1.590746581,-0.756892760808055,-1.58335973687761,-1.9005757268387,-0.00738684412239232,"EPC"
"8","33",19.13,0.272621951,116,-0.340174335,57.33,-0.9894485,64,-1.114400548,24,-1.548777695,162,-1.970882183,20,-0.686756194,70,-0.865115373,-0.998200269561966,-1.49484428347236,-1.79432676883705,0.629728910472363,"EPC"
"9","36",17.19,-1.667378049,126.67,0.252333394,85.12,0.938152889,71,0.264334349,30,0.369301289,193,-0.743538513,17,-1.425980974,67,-1.098999799,0.456030480239604,-0.473554578946088,-0.56842820819889,-0.625445220053913,"UPC"
"10","40",16.63,-2.227378049,122.67,0.030212409,60,-0.816699134,63,-1.264175695,24,-1.548777695,178,-1.4745273,15,-1.821882902,68,-1.024299871,-0.899860028820375,-1.40035383873916,-1.68090576823446,0.376053967739156,"EPC"
"11","47",19.58,0.722621951,117.33,-0.266319107,58.67,-0.903109588,65,-0.954027742,28,-0.500519232,178,-1.4745273,18,-1.199581025,71,-0.780448379,-0.655993917285179,-1.1070191777378,-1.32880338522488,0.326570798737799,"EPC"
"12","89",17.37,-1.487378049,110.67,-0.636150548,61.33,-0.729585333,60,-1.655322263,27,-0.837180151,180,-1.394035675,14,-1.992679382,66,-1.170557792,-0.964559573813252,-1.3940225199911,-1.67330601029527,0.2234647279911,"EPC"
"14","110",17.96,-0.897378049,129.33,0.40004385,76,0.275435686,71,0.264334349,30,0.369301289,204,0.016573106,18,-1.199581025,78,-0.084229987,0.327278793498525,-0.0691108346232401,-0.0829567481155168,-0.01511915237676,"EAC"
"15","114",19.38,0.522621951,133.33,0.622164836,68,-0.28242071,65,-0.954027742,28,-0.500519232,198,-0.425054729,22,-0.089879491,70,-0.865115373,-0.278700712048299,-0.209701011167222,-0.251713266761787,-0.655414361832778,"UPC"
"17","142",16.15,-2.707378049,137.33,0.844285821,68,-0.28242071,69,-0.194791532,27,-0.837180151,212,0.720611516,22,-0.089879491,88,1.275958382,-0.117526643035788,0.193781325745081,0.232604174089286,1.08217705625492,"UGC"
"18","151",19.87,1.012621951,114.67,-0.414029563,72,-0.006334704,66,-0.782485185,29,-0.101336301,188,-1.021871466,22,-0.089879491,73,-0.600499841,-0.326046438283597,-0.515676435968632,-0.618988909698662,-0.084823405031368,"EAC"
"19","170",16.03,-2.827378049,113.33,-0.488440093,70.67,-0.098773829,69,-0.194791532,29,-0.101336301,174,-1.622018198,18,-1.199581025,55,-1.774690406,-0.220835438765489,-1.19113027901098,-1.42976560733238,-0.583560126989021,"EPC"
"22","183",22.45,3.592621951,168.65,2.583493139,81.82,0.695181963,71,0.264334349,32,1.565330264,217,1.236625529,21,-0.399119802,80,0.150916205,1.27708492875958,1.00209184892307,1.20285453744941,-0.851175643923068,"UPC"
