"","SubjectID","age.tested","age.tested.c","towre.w.ipm","towre.w.ipm.cs","towre.nw.ipm","towre.nw.ipm.t","wj3.wid.raw","wj3.wid.t","wj3.watt.raw","wj3.watt.t","ppvt.raw","ppvt.t","wasi.matr.raw","wasi.matr.t","ktea2.raw","ktea2.t","decode","Pred","stdPred","resid","CI_group"
"1","3",24.37,5.512621951,112,-0.562295321,81.33,0.659406999,75,1.3694923,32,1.565330264,220,1.577379073,24,0.595711907,85,0.817598584,0.757983560555578,1.40229902554541,1.69680046289045,-0.584700441545415,"UPC"
"2","17",19.71,0.852621951,117.33,-0.266319107,64,-0.55261731,60,-1.655322263,27,-0.837180151,198,-0.425054729,25,0.973187769,64,-1.304599579,-0.827859707817533,-0.260824116850284,-0.315600648846918,-1.04377546214972,"UPC"
"4","21",20.3,1.442621951,105.33,-0.932682064,77.33,0.370350842,70,0.027589687,28,-0.500519232,201,-0.212810632,21,-0.399119802,83,0.536883506,-0.258815191773115,-0.147061807416002,-0.177946742083535,0.683945313416001,"UGC"
"5","23",16.85,-2.007378049,126.67,0.252333394,72,-0.006334704,67,-0.599179205,22,-1.838136047,187,-1.073095422,20,-0.686756194,76,-0.302609528,-0.547829140571166,-0.90130335788797,-1.09058904498715,0.598693829887974,"EPC"
"7","32",20.23,1.372621951,122.67,0.030212409,60,-0.816699134,62,-1.403904167,27,-0.837180151,165,-1.895473259,15,-1.821882902,59,-1.590746581,-0.756892760808055,-1.34710423109398,-1.63001402801094,-0.243642349906019,"EPC"
"8","33",19.13,0.272621951,116,-0.340174335,57.33,-0.9894485,64,-1.114400548,24,-1.548777695,162,-1.970882183,20,-0.686756194,70,-0.865115373,-0.998200269561966,-1.36548465506287,-1.65225458536132,0.500369282062874,"EPC"
"9","36",17.19,-1.667378049,126.67,0.252333394,85.12,0.938152889,71,0.264334349,30,0.369301289,193,-0.743538513,17,-1.425980974,67,-1.098999799,0.456030480239604,-0.55446261266416,-0.670907132390598,-0.544537186335839,"UPC"
"10","40",16.63,-2.227378049,122.67,0.030212409,60,-0.816699134,63,-1.264175695,24,-1.548777695,178,-1.4745273,15,-1.821882902,68,-1.024299871,-0.899860028820375,-1.354009707676,-1.63836974647609,0.329709836676001,"EPC"
"11","47",19.58,0.722621951,117.33,-0.266319107,58.67,-0.903109588,65,-0.954027742,28,-0.500519232,178,-1.4745273,18,-1.199581025,71,-0.780448379,-0.655993917285179,-1.05616461779036,-1.27797322818341,0.27571623879036,"EPC"
"12","89",17.37,-1.487378049,110.67,-0.636150548,61.33,-0.729585333,60,-1.655322263,27,-0.837180151,180,-1.394035675,14,-1.992679382,66,-1.170557792,-0.964559573813252,-1.30739731798713,-1.58196813529082,0.136839525987132,"EPC"
"13","90",20.5,1.642621951,105.33,-0.932682064,56,-1.074416991,67,-0.599179205,22,-1.838136047,192,-0.802277771,22,-0.089879491,78,-0.084229987,-1.11110357680018,-0.619676003219321,-0.749816201904433,0.53544601621932,"UGC"
"14","110",17.96,-0.897378049,129.33,0.40004385,76,0.275435686,71,0.264334349,30,0.369301289,204,0.016573106,18,-1.199581025,78,-0.084229987,0.327278793498525,-0.109482574572768,-0.132475370767624,0.0252525875727683,"EAC"
