"","Model","P-Val","Sig"
"1","KTEAInt-20_70",0.534882405762825,NA
"2","KTEANoInt-20_70",0.215710994620438,NA
"3","KTEAInt-15_70",0.760502776852318,NA
"4","KTEANoInt-15_70",0.275263292869867,NA
"5","KTEAInt-15_60",0.964897670476236,NA
"6","KTEANoInt-15_60",0.278024709943449,NA
"7","KTEAInt-15_65",0.746870266590503,NA
"8","KTEANoInt-15_65",0.249995489331226,NA
"9","WJInt-20_70",0.0402739641287975,"*"
"10","WJNoInt-20_70",0.0748694847251557,NA
"11","WJInt-15_70",0.0075485564685921,"*"
"12","WJNoInt-15_70",0.0222752115672069,"*"
"13","WJInt-15_60",0.00909463090607037,"*"
"14","WJNoInt-15_60",0.00605332930177091,"*"
"15","WJInt-15_65",0.00861431653159495,"*"
"16","WJNoInt-15_65",0.0078012748168398,"*"
