"","Model","P-Val","Sig"
"1","KTEAInt-20_70",1.78217579644921e-26,"*"
"2","KTEANoInt-20_70",1.77204539267526e-22,"*"
"3","KTEAInt-15_70",3.26677393449596e-25,"*"
"4","KTEANoInt-15_70",1.54584068050716e-21,"*"
"5","KTEAInt-15_60",3.53255906624958e-27,"*"
"6","KTEANoInt-15_60",1.20951375764773e-21,"*"
"7","KTEAInt-15_65",3.32576019879409e-27,"*"
"8","KTEANoInt-15_65",2.06572473553244e-20,"*"
"9","KTEAInt-20_70",1.78217579644921e-26,"*"
"10","KTEANoInt-20_70",1.77204539267526e-22,"*"
"11","KTEAInt-15_70",3.26677393449596e-25,"*"
"12","KTEANoInt-15_70",1.54584068050716e-21,"*"
"13","KTEAInt-15_60",3.53255906624958e-27,"*"
"14","KTEANoInt-15_60",1.20951375764773e-21,"*"
"15","KTEAInt-15_65",3.32576019879409e-27,"*"
"16","KTEANoInt-15_65",2.06572473553244e-20,"*"
"17","WJInt-20_70",2.04326902026563e-46,"*"
"18","WJNoInt-20_70",1.50231930616002e-49,"*"
"19","WJInt-15_70",9.6193795494605e-46,"*"
"20","WJNoInt-15_70",2.08845178236874e-47,"*"
"21","WJInt-15_60",1.28848945376488e-51,"*"
"22","WJNoInt-15_60",1.35065977753387e-56,"*"
"23","WJInt-15_65",2.4455783068024e-48,"*"
"24","WJNoInt-15_65",3.23256165574067e-49,"*"
