"","Model","P-Val","Sig"
"1","KTEAInt-20_70",0.454144260826868,NA
"2","KTEANoInt-20_70",0.13905564245199,NA
"3","KTEAInt-15_70",0.540195848503435,NA
"4","KTEANoInt-15_70",0.303425120400491,NA
"5","KTEAInt-15_60",0.505898581203369,NA
"6","KTEANoInt-15_60",0.195414111837186,NA
"7","KTEAInt-15_65",0.583662200763415,NA
"8","KTEANoInt-15_65",0.187004134209541,NA
"9","WJInt-20_70",0.0611735639833086,NA
"10","WJNoInt-20_70",0.140512756405565,NA
"11","WJInt-15_70",0.130343676320289,NA
"12","WJNoInt-15_70",0.263608605350909,NA
"13","WJInt-15_60",0.0797890198230748,NA
"14","WJNoInt-15_60",0.0924005861363621,NA
"15","WJInt-15_65",0.102875834728635,NA
"16","WJNoInt-15_65",0.249046804094958,NA
