"","SubjectID","age.tested","age.tested.c","towre.w.ipm","towre.w.ipm.cs","towre.nw.ipm","towre.nw.ipm.t","wj3.wid.raw","wj3.wid.t","wj3.watt.raw","wj3.watt.t","ppvt.raw","ppvt.t","wasi.matr.raw","wasi.matr.t","wj3.rcomp.raw","wj3.rcomp.t","decode","Pred","stdPred","resid","CI_group"
"1","1",21.28,1.429564586,148.57,1.661841448,77.73,0.629452628,74,1.18696091,29,0.283170289,216,1.210976399,25,1.236134677,42,1.109884717,0.94035631872373,1.13454060627048,1.38133682659764,-0.0246558892704518,"EAC"
"2","3",24.37,4.519564586,112,-0.31047919,81.33,0.851076664,75,1.41646007,32,1.571361153,220,1.550624395,24,0.919173977,39,0.392552867,0.882104674198764,1.32299388124967,1.61078427641354,-0.930441014249659,"UPC"
"4","12",20.01,0.159564586,147.14,1.584717617,80,0.768728188,69,0.163943594,28,-0.06006099,200,0.060344938,20,-0.20641511,43,1.357650474,0.614332102228889,0.145310619174161,0.176919987220684,1.21233985482584,"UGC"
"10","21",20.3,0.449564586,105.33,-0.670210627,77.33,0.605078838,70,0.352641611,28,-0.06006099,201,0.123249075,21,0.053831952,34,-0.714855583,0.0568622079727051,0.0739879724963036,0.0900825502158753,-0.788843555496304,"UPC"
"11","22",18.16,-1.690435414,101.33,-0.885941623,44,-1.22945327,61,-1.090377422,21,-1.565930506,177,-1.106126956,9,-2.175313416,29,-1.708854315,-1.19292570524592,-1.13618267556065,-1.38333609464128,-0.572671639439349,"EPC"
"12","23",16.85,-3.000435414,126.67,0.480714241,72,0.285205615,67,-0.191012637,22,-1.42828288,187,-0.660900309,20,-0.20641511,35,-0.502320313,-0.213343915252758,-0.499266410264786,-0.607871657450973,-0.003053902735215,"EAC"
"13","24",24.85,4.999564586,141.82,1.297795391,96.32,1.815736402,75,1.41646007,32,1.571361153,195,-0.237709099,20,-0.20641511,36,-0.285282158,1.52533825394862,0.392120020800902,0.477417751454809,-0.677402178800898,"UPC"
"16","28",22.23,2.379564586,150,1.738965279,81.33,0.851076664,76,1.654750487,31,1.09549979,218,1.378008433,22,0.328114835,42,1.109884717,1.33507305496108,1.20128817216345,1.46260396709839,-0.0914034551634489,"EAC"
"17","30",18.44,-1.410435414,122.67,0.264983244,77.33,0.605078838,69,0.163943594,29,0.283170289,198,-0.062127169,23,0.616530895,34,-0.714855583,0.329293991221087,0.0739851726811578,0.0900791413579224,-0.788840755681157,"UPC"
"19","32",20.23,0.379564586,122.67,0.264983244,60,-0.399879622,62,-0.95661663,27,-0.365597421,165,-1.533825501,15,-1.30080831,33,-0.922856738,-0.36427760726332,-1.00495175760103,-1.22355856110592,0.0820950196010333,"EPC"
"20","33",19.13,-0.720435414,116,-0.094748193,57.33,-0.545306417,64,-0.670294899,24,-1.085442292,162,-1.62473084,20,-0.20641511,29,-1.708854315,-0.59894795025422,-1.05454730827539,-1.28394261453085,-0.654307006724613,"EPC"
"21","34",19.33,-0.520435414,113.33,-0.238748633,68,0.051303916,65,-0.517363198,30,0.667255005,179,-1.023984842,20,-0.20641511,30,-1.519325758,-0.00938822753186752,-0.588193044198858,-0.71614247088809,-0.931132713801141,"UPC"
