"","SubjectID","age.tested","age.tested.c","towre.w.ipm","towre.w.ipm.cs","towre.nw.ipm","towre.nw.ipm.t","wj3.wid.raw","wj3.wid.t","wj3.watt.raw","wj3.watt.t","ppvt.raw","ppvt.t","wasi.matr.raw","wasi.matr.t","wj3.rcomp.raw","wj3.rcomp.t","decode","Pred","stdPred","resid","CI_group"
"1","1",21.28,1.429564586,148.57,1.661841448,77.73,0.629452628,74,1.18696091,29,0.283170289,216,1.210976399,25,1.236134677,42,1.109884717,0.94035631872373,1.09533324752097,1.33763443847509,0.0145514694790544,"EAC"
"2","3",24.37,4.519564586,112,-0.31047919,81.33,0.851076664,75,1.41646007,32,1.571361153,220,1.550624395,24,0.919173977,39,0.392552867,0.882104674198764,1.25957503110359,1.53820852536018,-0.867022164103586,"UPC"
"4","12",20.01,0.159564586,147.14,1.584717617,80,0.768728188,69,0.163943594,28,-0.06006099,200,0.060344938,20,-0.20641511,43,1.357650474,0.614332102228889,0.16920378263242,0.206633741177189,1.18844669136758,"UGC"
"7","17",19.71,-0.140435414,117.33,-0.023017636,64,-0.177123521,60,-1.21811453,27,-0.365597421,198,-0.062127169,25,1.236134677,38,0.162183131,-0.445963277014968,0.0309341619959566,0.037777179234443,0.131248969004044,"EAC"
"10","21",20.3,0.449564586,105.33,-0.670210627,77.33,0.605078838,70,0.352641611,28,-0.06006099,201,0.123249075,21,0.053831952,34,-0.714855583,0.0568622079727051,0.0951163179755993,0.116157217791788,-0.809971900975598,"UPC"
"11","22",18.16,-1.690435414,101.33,-0.885941623,44,-1.22945327,61,-1.090377422,21,-1.565930506,177,-1.106126956,9,-2.175313416,29,-1.708854315,-1.19292570524592,-1.25487196182844,-1.53246507929288,-0.453982353171561,"EPC"
"12","23",16.85,-3.000435414,126.67,0.480714241,72,0.285205615,67,-0.191012637,22,-1.42828288,187,-0.660900309,20,-0.20641511,35,-0.502320313,-0.213343915252758,-0.482558724013608,-0.589306650998963,-0.0197615889863919,"EAC"
"13","24",24.85,4.999564586,141.82,1.297795391,96.32,1.815736402,75,1.41646007,32,1.571361153,195,-0.237709099,20,-0.20641511,36,-0.285282158,1.52533825394862,0.339934922122417,0.415132709339149,-0.625217080122414,"UPC"
"16","28",22.23,2.379564586,150,1.738965279,81.33,0.851076664,76,1.654750487,31,1.09549979,218,1.378008433,22,0.328114835,42,1.109884717,1.33507305496108,1.16795353849874,1.42631923131204,-0.0580688214987412,"EAC"
"17","30",18.44,-1.410435414,122.67,0.264983244,77.33,0.605078838,69,0.163943594,29,0.283170289,198,-0.062127169,23,0.616530895,34,-0.714855583,0.329293991221087,0.126475628431807,0.154453593554998,-0.841331211431805,"UPC"
"18","31",22.55,2.699564586,164.21,2.505349645,99.47,2.026628239,74,1.18696091,32,1.571361153,220,1.550624395,28,2.273784504,44,1.609702791,1.82257498670147,1.68832344863399,2.06180136802025,-0.0786206576339898,"EAC"
"19","32",20.23,0.379564586,122.67,0.264983244,60,-0.399879622,62,-0.95661663,27,-0.365597421,165,-1.533825501,15,-1.30080831,33,-0.922856738,-0.36427760726332,-1.08770740954196,-1.32832167130591,0.164850671541962,"EPC"
"20","33",19.13,-0.720435414,116,-0.094748193,57.33,-0.545306417,64,-0.670294899,24,-1.085442292,162,-1.62473084,20,-0.20641511,29,-1.708854315,-0.59894795025422,-1.0517221565645,-1.28437603761975,-0.657132158435504,"EPC"
"21","34",19.33,-0.520435414,113.33,-0.238748633,68,0.051303916,65,-0.517363198,30,0.667255005,179,-1.023984842,20,-0.20641511,30,-1.519325758,-0.00938822753186752,-0.575829704146333,-0.703210319510865,-0.943496053853666,"UPC"
"22","35",21.55,1.699564586,98.67,-1.029402736,16,-2.386736146,53,-1.958344773,11,-2.162003537,180,-0.981662485,9,-2.175313416,35,-0.502320313,-1.88412179798105,-1.32134958677954,-1.61364837280083,0.819029273779543,"EPC"
"24","37",22.3,2.449564586,118.67,0.049252248,77.33,0.605078838,75,1.41646007,31,1.09549979,209,0.668454285,21,0.053831952,37,-0.063771287,0.791572736457608,0.610921099609267,0.746064363406113,-0.674692386609265,"UPC"
"25","40",16.63,-3.220435414,122.67,0.264983244,60,-0.399879622,63,-0.816650502,24,-1.085442292,178,-1.06546898,15,-1.30080831,32,-1.126291415,-0.509247293003686,-0.942017623318109,-1.1504035118527,-0.184273791681891,"EPC"
"26","41",23.17,3.319564586,106.67,-0.597940743,77.33,0.605078838,70,0.352641611,30,0.667255005,205,0.386326069,21,0.053831952,42,1.109884717,0.256758677712992,0.33346633023308,0.407233185336578,0.776418386766922,"UGC"
"27","42",21.09,1.239564586,121.3333333,0.192893134,70.67,0.206837223,65,-0.517363198,29,0.283170289,183,-0.849543905,23,0.616530895,32,-1.126291415,0.0413843619738699,-0.318236734673487,-0.388634615855995,-0.808054680326512,"UPC"
"31","50",18.92,-0.930435414,168.65,2.744811052,105.45,2.434424177,74,1.18696091,32,1.571361153,213,0.97061074,22,0.328114835,37,-0.063771287,1.98438932295009,1.07696791246103,1.31520646533917,-1.14073919946102,"UPC"
"32","51",23.03,3.179564586,128,0.552444797,61.33,-0.326455533,68,-0.017208171,29,0.283170289,202,0.187284574,17,-0.903974275,38,0.162183131,0.122987845477001,0.0468878152628106,0.0572599768921464,0.11529531573719,"EAC"
"34","54",23.66,3.809564586,143.72,1.400267615,83.72,1.000422515,73,0.966039424,32,1.571361153,209,0.668454285,21,0.053831952,40,0.62731058,1.23452267670375,0.753134314851742,0.919736891602341,-0.125823734851739,"EAC"
"37","61",22.6,2.749564586,137.33,1.055637347,81.33,0.851076664,74,1.18696091,31,1.09549979,213,0.97061074,24,0.919173977,41,0.866429766,1.04729367770968,0.972930242116045,1.18815438227043,-0.106500476116042,"EAC"
"41","68",22.82,2.969564586,141.82,1.297795391,90,1.40102096,72,0.753484457,31,1.09549979,208,0.596083262,23,0.616530895,38,0.162183131,1.13695014945817,0.760018097404416,0.928143451551342,-0.597834966404414,"UPC"
"43","70",24.9,5.049564586,125.33,0.408444357,81.33,0.851076664,70,0.352641611,30,0.667255005,193,-0.349510156,19,-0.452727525,33,-0.922856738,0.569854409214744,-0.013190305786682,-0.0161081637138762,-0.909666432213316,"UPC"
"47","76",18.16,-1.690435414,116,-0.094748193,79.43,0.733604132,63,-0.816650502,32,1.571361153,154,-1.83939087,16,-1.109133369,32,-1.126291415,0.348391647453122,-1.05921838585329,-1.29353052505823,-0.0670730291467079,"EPC"
"49","78",19.8,-0.050435414,88,-1.60486517,48,-1.031821158,61,-1.090377422,28,-0.06006099,151,-1.910245248,16,-1.109133369,30,-1.519325758,-0.946781185019659,-1.41967918496142,-1.73372968791384,-0.0996465730385753,"EPC"
"51","80",20.66,0.809564586,106.67,-0.597940743,53.33,-0.758110338,55,-1.772627754,16,-1.999626457,166,-1.5021797,16,-1.109133369,29,-1.708854315,-1.28207632299062,-1.28362665562045,-1.56758066513947,-0.425227659379549,"EPC"
"52","81",19.36,-0.490435414,90.67,-1.46086473,46.67,-1.098294039,60,-1.21811453,26,-0.636451412,171,-1.333387148,16,-1.109133369,36,-0.285282158,-1.10343117776084,-1.16868238203735,-1.42720930400528,0.883400224037345,"EPC"
"53","83",23.83,3.979564586,138.67,1.127907231,89.6,1.375158554,75,1.41646007,30,0.667255005,218,1.378008433,25,1.236134677,43,1.357650474,1.14669521496272,1.28011662825028,1.5632941765324,0.0775338457497246,"EAC"
"54","84",21.01,1.159564586,96,-1.173403176,36,-1.603161109,59,-1.340007112,19,-1.784567601,180,-0.981662485,13,-1.64421882,36,-0.285282158,-1.47528474949153,-1.13954605797343,-1.39162766657519,0.854263899973433,"EPC"
"57","87",22.56,2.709564586,124,0.336713801,53.33,-0.758110338,69,0.163943594,25,-0.875491098,213,0.97061074,27,1.913356464,43,1.357650474,-0.283236010255855,0.762054985450215,0.930630924294036,0.595595488549786,"UGC"
"58","88",22.61,2.759564586,133.33,0.839906351,74.67,0.444292033,74,1.18696091,32,1.571361153,218,1.378008433,22,0.328114835,39,0.392552867,1.01063011170463,1.08640063236354,1.32672581894103,-0.693847765363538,"UPC"
"59","89",17.37,-2.480435414,110.67,-0.382209746,61.33,-0.326455533,60,-1.21811453,27,-0.365597421,180,-0.981662485,14,-1.479125651,36,-0.285282158,-0.573094307515276,-0.93033606189139,-1.13613784531251,0.64505390389139,"EPC"
"60","90",20.5,0.649564586,105.33,-0.670210627,56,-0.616746975,67,-0.191012637,22,-1.42828288,192,-0.403876086,22,0.328114835,36,-0.285282158,-0.726563279751564,-0.346961626339693,-0.423713806979877,0.0616794683396925,"EAC"
"63","94",22.08,2.229564586,154.5,1.981662651,76.36,0.546183548,74,1.18696091,30,0.667255005,219,1.463610119,23,0.616530895,39,0.392552867,1.09551552846987,1.18873958541226,1.45170340754714,-0.796186718412255,"UPC"
"64","95",23.31,3.459564586,155.77,2.050157242,90,1.40102096,72,0.753484457,30,0.667255005,206,0.45503442,23,0.616530895,36,-0.285282158,1.21797941596628,0.716492207210733,0.874989098919346,-1.00177436521073,"UPC"
"65","97",20.24,0.389564586,125.33,0.408444357,74.67,0.444292033,73,0.966039424,29,0.283170289,210,0.742076925,25,1.236134677,37,-0.063771287,0.525486525721231,0.721619725080045,0.881250886828554,-0.785391012080044,"UPC"
"66","98",22.16,2.309564586,106.67,-0.597940743,66.67,-0.025265026,63,-0.816650502,28,-0.06006099,190,-0.509606741,17,-0.903974275,35,-0.502320313,-0.374979315272205,-0.465332352802743,-0.568269594528954,-0.0369879601972562,"EAC"
"67","99",23.9,4.049564586,117.33,-0.023017636,69.33,0.12847793,64,-0.670294899,30,0.667255005,158,-1.736918429,14,-1.479125651,30,-1.519325758,0.0256050999685947,-1.05460928350267,-1.28790183255885,-0.46471647449733,"EPC"
"68","100",18.07,-1.780435414,133.33,0.839906351,83.59,0.992254335,66,-0.357666301,29,0.283170289,193,-0.349510156,26,1.567500578,38,0.162183131,0.439416168471542,0.143754061721847,0.175554228876651,0.0184290692781542,"EAC"
"69","101",24.35,4.499564586,108,-0.526210186,29.33,-1.890640673,48,-2.34381212,0,-2.20725162,184,-0.803745937,19,-0.452727525,27,-2.073745419,-1.74197864973094,-0.884544775231036,-1.08021696264276,-1.18920064376897,"EPC"
