"","SubjectID","age.tested","age.tested.c","towre.w.ipm","towre.w.ipm.cs","towre.nw.ipm","towre.nw.ipm.t","wj3.wid.raw","wj3.wid.t","wj3.watt.raw","wj3.watt.t","ppvt.raw","ppvt.t","wasi.matr.raw","wasi.matr.t","ktea2.raw","ktea2.t","wj3.rcomp.raw","wj3.rcomp.t","decode","decode.cs","Pred","stdPred","resid","CI_group"
"4","11",19.05,-0.813914591,148.57,1.013277401,81.33,0.573339531,74,1.421900249,31,0.682542295,214,1.917861794,26,2.317299631,84.35849057,1.758364907,41,1.678754225,0.922764869,1.068400285,1.67581555645652,1.87455061653142,0.0825493505434758,"EAC"
"5","12",20.01,-2.483914591,147.14,-1.795519174,80,-1.352946797,69,-0.528591259,28,-0.339824306,200,-1.02798239,20,0.904086171,79.20754717,0.234823476,43,-0.539616645,-1.004220384,-1.162711521,-0.836021786118119,-0.935165656276136,1.07084526211812,"UGC"
"6","14",22.79,-1.903914591,141.82,0.797216126,77.33,-0.065910865,75,-1.229160995,31,-0.035776103,214,0.19189094,22,1.232951274,84.64150943,0.234823476,43,-0.539616645,-0.133407959,-0.154463078,0.235561226910607,0.26349644589838,-0.000737750910607078,"EAC"
"7","15",19.57,-6.233914591,106.67,-2.659764275,74.67,-2.174774575,68,-2.713171106,31,-2.010074567,180,-1.883897283,17,-0.958524173,69.94339623,-2.511077014,33,-2.262582622,-2.389446131,-2.766560598,-1.97065468314114,-2.20435473169639,-0.540422330858861,"EPC"
"8","17",19.71,3.186085409,117.33,-0.499151524,64,-0.371433657,60,0.346288694,27,1.102549013,198,-0.482794231,25,0.294292934,64,-0.555921765,38,0.385124145,0.144563132,0.167378816,0.000221228405823584,0.000247463874876557,-0.556142993405822,"UPC"
"9","18",22.19,4.616085409,122.67,-0.570991898,65.33,-1.959291977,67,-2.342834148,30,-2.240470752,186,-0.843462206,27,-0.503071129,75,-1.071407155,36,-2.095583175,-1.778397194,-2.059072829,-0.984321676223725,-1.10105243860186,-0.0870854787762756,"EPC"
"13","22",18.16,1.936085409,101.33,0.797216126,44,0.491533654,61,0.965801985,21,0.304076256,177,-0.427114091,9,1.232951274,61.26415094,1.071302565,29,0.63160695,0.639657005,0.740610907,0.299868012984974,0.335429377311807,0.771434552015029,"UGC"
"14","23",16.85,1.436085409,126.67,0.221412828,72,0.656333036,67,0.5444753,22,1.102549013,187,1.271509916,20,1.232951274,76,1.905187469,35,1.40778337,0.631192544,0.730810542,1.1360976545619,1.27082753861727,0.769089814438105,"UGC"
"16","25",17.75,4.096085409,121.33,1.085657929,70.67,0.656333036,62,1.421900249,28,-0.035776103,196,0.935398336,13,0.294292934,76,1.758364907,34,1.40778337,0.782028778,0.905452512,0.974106576239262,1.08962592930198,0.784258330760739,"UGC"
"20","31",22.55,1.596085409,164.21,0.941437028,99.47,-0.065910865,74,-0.026231123,32,1.102549013,220,0.058661198,28,0.294292934,84.96226415,0.943056631,44,-0.317608215,0.487961013,0.564973487,0.326224246652171,0.36491119819625,0.61683238434783,"UGC"
"21","32",20.23,4.516085409,122.67,0.293253202,60,0.248971844,62,0.965801985,27,0.304076256,165,0.124662443,15,0.013034742,59,1.202557614,33,1.678754225,0.453025822,0.524524647,0.447803907237882,0.500908997496401,0.75475370676212,"UGC"
"22","33",19.13,2.436085409,116,1.085657929,57.33,0.739269791,64,0.5444753,24,1.102549013,162,0.058661198,20,0.904086171,70,-1.043557637,29,0.884210536,0.867988008,1.004978263,0.574037922311986,0.642113111442727,-1.61759555931198,"UPC"
"24","35",21.55,2.186085409,98.67,0.365093576,16,0.656333036,53,0.346288694,11,0.682542295,180,0.935398336,9,1.578007153,63.03773585,1.758364907,35,1.142935739,0.5125644,0.593459905,1.00228642291674,1.12114762556508,0.756078484083258,"UGC"
"29","42",21.09,0.516085409,121.33,0.941437028,70.67,0.248971844,65,-0.200995735,29,-0.851164447,183,0.621974035,23,0.013034742,69.94339623,0.392609198,32,0.14476127,0.034562173,0.040016949,0.440456885710911,0.492690692277705,-0.0478476877109108,"EAC"
"31","45",21.73,3.346085409,117.33,0.941437028,41.33,-0.21994689,64,-0.681836275,28,-1.41322975,180,-1.277718366,24,-1.163993086,71.73584906,-1.730016086,37,-1.366497347,-0.343393972,-0.397590144,-0.937753233779825,-1.04896144197713,-0.792262852220174,"EPC"
"32","46",23.85,-3.063914591,126.67,-0.499151524,56,0.491533654,73,0.750905434,27,1.102549013,205,1.017253918,24,0.013034742,84.50943396,0.57602551,43,1.142935739,0.461459144,0.534288959,0.651666950502557,0.728948170406265,-0.0756414405025563,"EAC"
"34","50",18.92,1.846085409,168.65,-0.354930623,105.45,0.573339531,74,1.421900249,32,0.682542295,213,1.359219943,22,0.591254207,83.58490566,0.57602551,37,0.385124145,0.580712863,0.672363902,1.11607322732604,1.2484284134412,-0.540047717326038,"UPC"
"39","56",18.67,-2.153914591,173.33,-0.426770997,88.5,0.090023366,76,-1.10178426,29,0.304076256,220,-0.069725257,24,-0.252693548,88.52830189,-0.810460226,45,0.385124145,-0.283613909,-0.32837529,-0.225062035399779,-0.251752154721841,-0.585398190600221,"UPC"
"40","58",24.29,-4.733914591,147.14,-1.147335349,99.47,-1.54398622,67,-1.229160995,25,-0.851164447,193,-1.53146455,22,-1.354899639,78.13207547,-1.256154902,38,-1.557934351,-1.192911753,-1.381183116,-1.5595820809846,-1.74453300677502,0.303427178984603,"EPC"
"41","61",22.6,2.916085409,137.33,0.149032301,81.33,0.090023366,74,0.1561256,31,1.102549013,213,-0.370349867,24,-1.163993086,85.83018868,-0.205701432,41,-0.539616645,0.37443257,0.433527411,-0.165372210327414,-0.184983709972566,-0.0403292216725834,"EAC"
"42","62",18.49,3.186085409,116,1.085657929,52,0.248971844,63,1.421900249,28,0.304076256,209,1.185291298,18,1.578007153,73.45283019,-2.044587804,36,1.678754225,0.76515157,0.885911658,1.15405163634473,1.29091068409881,-3.19863944034473,"UPC"
"43","63",18.46,1.766085409,130.67,0.149032301,77.33,-0.295729157,67,-1.10178426,26,-0.851164447,218,-0.590963,23,0.013034742,81.79245283,1.202557614,39,-0.539616645,-0.524911391,-0.60775556,-0.401732381543238,-0.449373847045682,1.60428999554324,"UGC"
