"","SubjectID","age.tested","age.tested.c","towre.w.ipm","towre.w.ipm.cs","towre.nw.ipm","towre.nw.ipm.t","wj3.wid.raw","wj3.wid.t","wj3.watt.raw","wj3.watt.t","ppvt.raw","ppvt.t","wasi.matr.raw","wasi.matr.t","ktea2.raw","ktea2.t","wj3.rcomp.raw","wj3.rcomp.t","decode","decode.cs","Pred","stdPred","resid","CI_group"
"2","2",24.62,-1.663914591,134.67,0.797216126,81.82,0.965892523,71,-0.368379615,28,0.304076256,210,-0.370349867,24,1.578007153,83.73584906,-0.002253714,40,0.14476127,0.424701323,0.491729832,0.0640660791293363,0.0718970625382989,-0.0663197931293484,"EAC"
"4","11",19.05,-0.813914591,148.57,1.013277401,81.33,0.573339531,74,1.421900249,31,0.682542295,214,1.917861794,26,2.317299631,84.35849057,1.758364907,41,1.678754225,0.922764869,1.068400285,1.69410170935676,1.90117669493276,0.0642631976432374,"EAC"
"5","12",20.01,-2.483914591,147.14,-1.795519174,80,-1.352946797,69,-0.528591259,28,-0.339824306,200,-1.02798239,20,0.904086171,79.20754717,0.234823476,43,-0.539616645,-1.004220384,-1.162711521,-0.822777225715417,-0.923347682174161,1.05760070171542,"UGC"
"6","14",22.79,-1.903914591,141.82,0.797216126,77.33,-0.065910865,75,-1.229160995,31,-0.035776103,214,0.19189094,22,1.232951274,84.64150943,0.234823476,43,-0.539616645,-0.133407959,-0.154463078,0.197523014596224,0.221666827888336,0.0373004614037756,"EAC"
"7","15",19.57,-6.233914591,106.67,-2.659764275,74.67,-2.174774575,68,-2.713171106,31,-2.010074567,180,-1.883897283,17,-0.958524173,69.94339623,-2.511077014,33,-2.262582622,-2.389446131,-2.766560598,-2.08374304635223,-2.33844502732524,-0.427333967647778,"EPC"
"8","17",19.71,3.186085409,117.33,-0.499151524,64,-0.371433657,60,0.346288694,27,1.102549013,198,-0.482794231,25,0.294292934,64,-0.555921765,38,0.385124145,0.144563132,0.167378816,-0.105366191295512,-0.118245407731068,-0.450555573704487,"UPC"
"12","21",20.3,5.266085409,105.33,0.941437028,77.33,0.491533654,70,1.421900249,28,0.682542295,201,2.01654588,21,1.232951274,83,1.758364907,34,1.678754225,0.884353307,1.023926416,1.78193675865566,1.99974807810579,-0.023571851655654,"EAC"
"13","22",18.16,1.936085409,101.33,0.797216126,44,0.491533654,61,0.965801985,21,0.304076256,177,-0.427114091,9,1.232951274,61.26415094,1.071302565,29,0.63160695,0.639657005,0.740610907,0.151910010466829,0.170478413427367,0.919392554533173,"UGC"
"14","23",16.85,1.436085409,126.67,0.221412828,72,0.656333036,67,0.5444753,22,1.102549013,187,1.271509916,20,1.232951274,76,1.905187469,35,1.40778337,0.631192544,0.730810542,1.14791771328404,1.28823103839135,0.757269755715959,"UGC"
"15","24",24.85,1.596085409,141.82,1.085657929,96.32,0.656333036,75,1.189390714,32,1.102549013,195,1.10054546,20,1.939406956,80.28301887,0.817785013,36,1.142935739,1.008482673,1.167646506,1.25116354119033,1.40409690452111,-0.433378528190324,"UPC"
"16","25",17.75,4.096085409,121.33,1.085657929,70.67,0.656333036,62,1.421900249,28,-0.035776103,196,0.935398336,13,0.294292934,76,1.758364907,34,1.40778337,0.782028778,0.905452512,0.935885431460438,1.05028143326774,0.822479475539564,"UGC"
"20","31",22.55,1.596085409,164.21,0.941437028,99.47,-0.065910865,74,-0.026231123,32,1.102549013,220,0.058661198,28,0.294292934,84.96226415,0.943056631,44,-0.317608215,0.487961013,0.564973487,0.255548847466359,0.286785327296385,0.687507783533642,"UGC"
"21","32",20.23,4.516085409,122.67,0.293253202,60,0.248971844,62,0.965801985,27,0.304076256,165,0.124662443,15,0.013034742,59,1.202557614,33,1.678754225,0.453025822,0.524524647,0.339330319475372,0.380807652622324,0.86322729452463,"UGC"
"22","33",19.13,2.436085409,116,1.085657929,57.33,0.739269791,64,0.5444753,24,1.102549013,162,0.058661198,20,0.904086171,70,-1.043557637,29,0.884210536,0.867988008,1.004978263,0.469510975862154,0.526900669758923,-1.51306861286215,"UPC"
"24","35",21.55,2.186085409,98.67,0.365093576,16,0.656333036,53,0.346288694,11,0.682542295,180,0.935398336,9,1.578007153,63.03773585,1.758364907,35,1.142935739,0.5125644,0.593459905,0.990770839867258,1.11187564498459,0.767594067132744,"UGC"
"26","37",22.3,-0.153914591,118.67,0.869596654,77.33,0.822761546,75,1.663562087,31,0.304076256,209,1.917861794,21,1.232951274,83.45283019,1.614725431,37,1.955849081,0.914999136,1.059408925,1.55604588159058,1.74624590128453,0.0586795494094257,"EAC"
"28","41",23.17,2.016085409,106.67,1.085657929,77.33,0.822761546,70,1.663562087,30,0.682542295,205,1.725351968,21,1.939406956,80.28301887,1.614725431,42,2.528413821,1.063630964,1.23149858,1.65209500357403,1.85403538716785,-0.0373695725740278,"EAC"
"29","42",21.09,0.516085409,121.33,0.941437028,70.67,0.248971844,65,-0.200995735,29,-0.851164447,183,0.621974035,23,0.013034742,69.94339623,0.392609198,32,0.14476127,0.034562173,0.040016949,0.398903049306637,0.447662130712024,-0.00629385130663626,"EAC"
"30","43",18.94,0.846085409,114.67,0.581154851,70.67,0.248971844,65,0.965801985,27,-0.035776103,193,-0.132142974,17,0.591254207,71.24528302,0.57602551,33,1.142935739,0.440038144,0.509487188,0.148093714753408,0.166195640774857,0.427931795246593,"UGC"
"31","45",21.73,3.346085409,117.33,0.941437028,41.33,-0.21994689,64,-0.681836275,28,-1.41322975,180,-1.277718366,24,-1.163993086,71.73584906,-1.730016086,37,-1.366497347,-0.343393972,-0.397590144,-0.912806714366918,-1.02438173741263,-0.817209371633081,"EPC"
"32","46",23.85,-3.063914591,126.67,-0.499151524,56,0.491533654,73,0.750905434,27,1.102549013,205,1.017253918,24,0.013034742,84.50943396,0.57602551,43,1.142935739,0.461459144,0.534288959,0.629929823428269,0.70692798024412,-0.0539043134282678,"EAC"
"34","50",18.92,1.846085409,168.65,-0.354930623,105.45,0.573339531,74,1.421900249,32,0.682542295,213,1.359219943,22,0.591254207,83.58490566,0.57602551,37,0.385124145,0.580712863,0.672363902,1.10734415468143,1.24269805556008,-0.531318644681433,"UPC"
"39","56",18.67,-2.153914591,173.33,-0.426770997,88.5,0.090023366,76,-1.10178426,29,0.304076256,220,-0.069725257,24,-0.252693548,88.52830189,-0.810460226,45,0.385124145,-0.283613909,-0.32837529,-0.221222612324045,-0.248263296505711,-0.589237613675955,"UPC"
"40","58",24.29,-4.733914591,147.14,-1.147335349,99.47,-1.54398622,67,-1.229160995,25,-0.851164447,193,-1.53146455,22,-1.354899639,78.13207547,-1.256154902,38,-1.557934351,-1.192911753,-1.381183116,-1.57266662695962,-1.76489824880387,0.316511724959618,"EPC"
"41","61",22.6,2.916085409,137.33,0.149032301,81.33,0.090023366,74,0.1561256,31,1.102549013,213,-0.370349867,24,-1.163993086,85.83018868,-0.205701432,41,-0.539616645,0.37443257,0.433527411,-0.199031051294996,-0.223359196344529,-0.00667038070500218,"EAC"
"42","62",18.49,3.186085409,116,1.085657929,52,0.248971844,63,1.421900249,28,0.304076256,209,1.185291298,18,1.578007153,73.45283019,-2.044587804,36,1.678754225,0.76515157,0.885911658,1.23764732253085,1.38892855909217,-3.28223512653084,"UPC"
"43","63",18.46,1.766085409,130.67,0.149032301,77.33,-0.295729157,67,-1.10178426,26,-0.851164447,218,-0.590963,23,0.013034742,81.79245283,1.202557614,39,-0.539616645,-0.524911391,-0.60775556,-0.429891573890857,-0.482438472942692,1.63244918789086,"UGC"
"44","64",18.59,-6.233914591,124,-1.435236998,77.33,-0.665955136,62,-1.350555732,24,-1.41322975,205,-1.114725156,17,0.294292934,73.49056604,-1.165024264,36,-0.755508785,-1.216244404,-1.408198244,-1.13894963664903,-1.27816676767183,-0.026074627350974,"EPC"
"45","65",22.06,-1.983914591,126.67,-0.715212799,76,-0.949487599,74,-1.350555732,32,-1.063496366,204,-1.957597081,12,-0.252693548,80.49056604,-1.780358445,40,-0.755508785,-1.019688124,-1.180620458,-1.5336190106668,-1.72107772865485,-0.2467394343332,"EPC"
"49","70",24.9,2.126085409,125.33,-1.579457899,81.33,-2.276108396,70,-1.780035514,30,-0.610761311,193,-1.933620433,19,-0.252693548,76.01886792,-1.575011252,33,-0.317608215,-1.56159078,-1.808048931,-1.52695488444749,-1.7135990268801,-0.0480563675525069,"EPC"
"50","71",23.43,-5.063914591,162.2,-0.858893547,76,0.248971844,67,0.1561256,28,0.682542295,210,-0.253507611,18,-0.503071129,80.05660377,0.459468012,41,0.14476127,0.057186548,0.066212018,-0.372980475456248,-0.418570965206618,0.832448487456249,"UGC"
"52","75",18.29,-0.983914591,109.33,-0.426770997,56,-0.593468235,66,-0.368379615,30,-0.035776103,195,-0.006129261,21,0.294292934,73.01886792,0.459468012,35,0.63160695,-0.356098738,-0.41230004,-0.0848859951949512,-0.09526185761752,0.544354007194951,"UGC"
"53","76",18.16,-3.233914591,116,-1.651298273,79.43,-1.667262168,63,-0.828317379,32,-1.063496366,154,-1.777075657,16,-1.163993086,57.88679245,-1.780358445,32,-0.755508785,-1.302593547,-1.508175445,-1.67162162865366,-1.87594880853746,-0.108736816346347,"EPC"
"54","77",24.07,3.186085409,118.67,0.005351553,68,-1.018965338,73,-0.026231123,24,-0.851164447,196,-0.193398456,20,-0.738283726,81.77358491,1.202557614,36,0.63160695,-0.472752339,-0.547364503,-0.242181944087337,-0.271784548429412,1.44473955808734,"UGC"
"55","78",19.8,-1.813914591,88,0.077191927,48,-0.371433657,61,-0.368379615,28,-1.41322975,151,-0.006129261,16,0.013034742,57.49056604,-0.810460226,30,0.63160695,-0.518962774,-0.600868102,-0.194639186544382,-0.218430501175204,-0.615821039455618,"UPC"
"57","80",20.66,0.016085409,106.67,1.013277401,53.33,0.907436919,55,0.750905434,16,1.102549013,166,0.330096252,16,0.013034742,58.22641509,0.459468012,29,0.385124145,0.943542192,1.09245679,0.443772110269921,0.498015667667134,0.0156959017300813,"EAC"
