"","SubjectID","age.tested","age.tested.c","towre.w.ipm","towre.w.ipm.cs","towre.nw.ipm","towre.nw.ipm.t","wj3.wid.raw","wj3.wid.t","wj3.watt.raw","wj3.watt.t","ppvt.raw","ppvt.t","wasi.matr.raw","wasi.matr.t","ktea2.raw","ktea2.t","wj3.rcomp.raw","wj3.rcomp.t","decode","decode.cs","Pred","stdPred","resid","CI_group"
"1","1",21.28,1.546085409,148.57,1.620409584,77.73,0.598053804,74,1.189390714,29,0.304076256,216,1.271509916,25,1.232951274,84.77358491,1.04200347,42,1.142935739,0.92798259,1.074441493,1.17462825803637,1.42943997809909,-0.0316925190363554,"EAC"
"4","11",19.05,-0.813914591,148.57,1.013277401,81.33,0.573339531,74,1.421900249,31,0.682542295,214,1.917861794,26,2.317299631,84.35849057,1.758364907,41,1.678754225,0.922764869,1.068400285,1.7345972569649,2.11088286708825,-0.0558430319649189,"EAC"
"5","12",20.01,-2.483914591,147.14,-1.795519174,80,-1.352946797,69,-0.528591259,28,-0.339824306,200,-1.02798239,20,0.904086171,79.20754717,0.234823476,43,-0.539616645,-1.004220384,-1.162711521,-0.644265403232993,-0.784025684591357,0.104648758233001,"EAC"
"6","14",22.79,-1.903914591,141.82,0.797216126,77.33,-0.065910865,75,-1.229160995,31,-0.035776103,214,0.19189094,22,1.232951274,84.64150943,0.234823476,43,-0.539616645,-0.133407959,-0.154463078,0.212974313696322,0.259174761108872,-0.752590958696317,"UPC"
"7","15",19.57,-6.233914591,106.67,-2.659764275,74.67,-2.174774575,68,-2.713171106,31,-2.010074567,180,-1.883897283,17,-0.958524173,69.94339623,-2.511077014,33,-2.262582622,-2.389446131,-2.766560598,-1.38197270222472,-1.6817635843951,-0.880609919775283,"EPC"
"9","18",22.19,4.616085409,122.67,-0.570991898,65.33,-1.959291977,67,-2.342834148,30,-2.240470752,186,-0.843462206,27,-0.503071129,75,-1.071407155,36,-2.095583175,-1.778397194,-2.059072829,-1.10101810919467,-1.3398616042578,-0.994565065805333,"EPC"
"10","19",25.36,3.766085409,113.33,-0.067028974,77.33,0.907436919,73,0.750905434,29,1.102549013,207,1.10054546,21,0.904086171,82.28301887,1.474234252,40,1.678754225,0.673465598,0.779755343,1.00482074099689,1.22279617245116,0.673933484003111,"UGC"
"12","21",20.3,5.266085409,105.33,0.941437028,77.33,0.491533654,70,1.421900249,28,0.682542295,201,2.01654588,21,1.232951274,83,1.758364907,34,1.678754225,0.884353307,1.023926416,1.65850850309481,2.01828820496226,0.0202457219051861,"EAC"
"15","24",24.85,1.596085409,141.82,1.085657929,96.32,0.656333036,75,1.189390714,32,1.102549013,195,1.10054546,20,1.939406956,80.28301887,0.817785013,36,1.142935739,1.008482673,1.167646506,1.22467571114403,1.49034420868595,-0.0817399721440347,"EAC"
"16","25",17.75,4.096085409,121.33,1.085657929,70.67,0.656333036,62,1.421900249,28,-0.035776103,196,0.935398336,13,0.294292934,76,1.758364907,34,1.40778337,0.782028778,0.905452512,0.851897453455958,1.03669928663246,0.555885916544043,"UGC"
"17","27",23.71,4.096085409,148.57,0.221412828,96.92,0.98501017,76,-0.681836275,32,-0.610761311,222,0.854960526,25,0.294292934,88.98113208,0.57602551,45,-0.317608215,-0.021543647,-0.024943774,0.536872514815162,0.653336092059591,-0.854480729815162,"UPC"
"20","31",22.55,1.596085409,164.21,0.941437028,99.47,-0.065910865,74,-0.026231123,32,1.102549013,220,0.058661198,28,0.294292934,84.96226415,0.943056631,44,-0.317608215,0.487961013,0.564973487,0.222007372083808,0.27016735787004,-0.539615587083807,"UPC"
"21","32",20.23,4.516085409,122.67,0.293253202,60,0.248971844,62,0.965801985,27,0.304076256,165,0.124662443,15,0.013034742,59,1.202557614,33,1.678754225,0.453025822,0.524524647,0.283312679799276,0.344771605747929,1.39544154520072,"UGC"
"27","40",16.63,-2.313914591,122.67,-0.138869348,60,-0.295729157,63,-0.681836275,24,-0.035776103,178,-0.891006211,15,0.904086171,68,-0.968182764,32,0.385124145,-0.288052721,-0.333514657,-0.475854010621319,-0.579080864182412,0.86097815562132,"UGC"
"28","41",23.17,2.016085409,106.67,1.085657929,77.33,0.822761546,70,1.663562087,30,0.682542295,205,1.725351968,21,1.939406956,80.28301887,1.614725431,42,2.528413821,1.063630964,1.23149858,1.62394804429971,1.97623055725106,0.904465776700288,"UGC"
"30","43",18.94,0.846085409,114.67,0.581154851,70.67,0.248971844,65,0.965801985,27,-0.035776103,193,-0.132142974,17,0.591254207,71.24528302,0.57602551,33,1.142935739,0.440038144,0.509487188,0.125807445108289,0.153098812496674,1.01712829389171,"UGC"
"31","45",21.73,3.346085409,117.33,0.941437028,41.33,-0.21994689,64,-0.681836275,28,-1.41322975,180,-1.277718366,24,-1.163993086,71.73584906,-1.730016086,37,-1.366497347,-0.343393972,-0.397590144,-0.876613261676525,-1.06677668725608,-0.489884085323474,"EPC"
"32","46",23.85,-3.063914591,126.67,-0.499151524,56,0.491533654,73,0.750905434,27,1.102549013,205,1.017253918,24,0.013034742,84.50943396,0.57602551,43,1.142935739,0.461459144,0.534288959,0.547913319991928,0.666771975458168,0.595022419008073,"UGC"
"33","47",19.58,4.846085409,117.33,0.005351553,58.67,0.410299723,65,0.5444753,28,1.102549013,178,1.10054546,18,0.591254207,71,0.817785013,35,1.678754225,0.515668897,0.597054369,0.922238527727716,1.12229942692249,0.756515697272285,"UGC"
"34","50",18.92,1.846085409,168.65,-0.354930623,105.45,0.573339531,74,1.421900249,32,0.682542295,213,1.359219943,22,0.591254207,83.58490566,0.57602551,37,0.385124145,0.580712863,0.672363902,1.00629466082184,1.22458982921711,-0.621170515821842,"UPC"
"39","56",18.67,-2.153914591,173.33,-0.426770997,88.5,0.090023366,76,-1.10178426,29,0.304076256,220,-0.069725257,24,-0.252693548,88.52830189,-0.810460226,45,0.385124145,-0.283613909,-0.32837529,-0.219823931482467,-0.267510264505753,0.604948076482467,"UGC"
"40","58",24.29,-4.733914591,147.14,-1.147335349,99.47,-1.54398622,67,-1.229160995,25,-0.851164447,193,-1.53146455,22,-1.354899639,78.13207547,-1.256154902,38,-1.557934351,-1.192911753,-1.381183116,-1.19639897708466,-1.45593341232863,-0.361535373915343,"EPC"
"43","63",18.46,1.766085409,130.67,0.149032301,77.33,-0.295729157,67,-1.10178426,26,-0.851164447,218,-0.590963,23,0.013034742,81.79245283,1.202557614,39,-0.539616645,-0.524911391,-0.60775556,-0.458603151134727,-0.558087781442862,-0.0810134938652737,"EAC"
"44","64",18.59,-6.233914591,124,-1.435236998,77.33,-0.665955136,62,-1.350555732,24,-1.41322975,205,-1.114725156,17,0.294292934,73.49056604,-1.165024264,36,-0.755508785,-1.216244404,-1.408198244,-0.745573076350142,-0.907309997790507,-0.00993570864985884,"EAC"
