"","SubjectID","age.tested","age.tested.c","towre.w.ipm","towre.w.ipm.cs","towre.nw.ipm","towre.nw.ipm.t","wj3.wid.raw","wj3.wid.t","wj3.watt.raw","wj3.watt.t","ppvt.raw","ppvt.t","wasi.matr.raw","wasi.matr.t","ktea2.raw","ktea2.t","wj3.rcomp.raw","wj3.rcomp.t","decode","decode.cs","Pred","stdPred","resid","CI_group"
"1","1",21.28,1.546085409,148.57,1.620409584,77.73,0.598053804,74,1.189390714,29,0.304076256,216,1.271509916,25,1.232951274,84.77358491,1.04200347,42,1.142935739,0.92798259,1.074441493,1.12371881107837,1.37222876741104,0.0192169279216434,"EAC"
"2","2",24.62,-1.663914591,134.67,0.797216126,81.82,0.965892523,71,-0.368379615,28,0.304076256,210,-0.370349867,24,1.578007153,83.73584906,-0.002253714,40,0.14476127,0.424701323,0.491729832,0.150918135519716,0.18429361945623,-0.00615686551971757,"EAC"
"4","11",19.05,-0.813914591,148.57,1.013277401,81.33,0.573339531,74,1.421900249,31,0.682542295,214,1.917861794,26,2.317299631,84.35849057,1.758364907,41,1.678754225,0.922764869,1.068400285,1.58207855376783,1.93195458013793,0.0966756712321529,"EAC"
"6","14",22.79,-1.903914591,141.82,0.797216126,77.33,-0.065910865,75,-1.229160995,31,-0.035776103,214,0.19189094,22,1.232951274,84.64150943,0.234823476,43,-0.539616645,-0.133407959,-0.154463078,0.221327912073362,0.270274489360218,-0.760944557073363,"UPC"
"7","15",19.57,-6.233914591,106.67,-2.659764275,74.67,-2.174774575,68,-2.713171106,31,-2.010074567,180,-1.883897283,17,-0.958524173,69.94339623,-2.511077014,33,-2.262582622,-2.389446131,-2.766560598,-1.87866701402491,-2.29413345762881,-0.38391560797509,"EPC"
"9","18",22.19,4.616085409,122.67,-0.570991898,65.33,-1.959291977,67,-2.342834148,30,-2.240470752,186,-0.843462206,27,-0.503071129,75,-1.071407155,36,-2.095583175,-1.778397194,-2.059072829,-0.938254145721864,-1.1457486672866,-1.15732902927814,"EPC"
"10","19",25.36,3.766085409,113.33,-0.067028974,77.33,0.907436919,73,0.750905434,29,1.102549013,207,1.10054546,21,0.904086171,82.28301887,1.474234252,40,1.678754225,0.673465598,0.779755343,0.948279435966673,1.15799104609087,0.730474789033328,"UGC"
"12","21",20.3,5.266085409,105.33,0.941437028,77.33,0.491533654,70,1.421900249,28,0.682542295,201,2.01654588,21,1.232951274,83,1.758364907,34,1.678754225,0.884353307,1.023926416,1.5475419875256,1.88978026636573,0.131212237474403,"EAC"
"15","24",24.85,1.596085409,141.82,1.085657929,96.32,0.656333036,75,1.189390714,32,1.102549013,195,1.10054546,20,1.939406956,80.28301887,0.817785013,36,1.142935739,1.008482673,1.167646506,1.16995794881973,1.42869367159354,-0.0270222098197344,"EAC"
"16","25",17.75,4.096085409,121.33,1.085657929,70.67,0.656333036,62,1.421900249,28,-0.035776103,196,0.935398336,13,0.294292934,76,1.758364907,34,1.40778337,0.782028778,0.905452512,0.805698894323493,0.983878875850955,0.602084475676508,"UGC"
"17","27",23.71,4.096085409,148.57,0.221412828,96.92,0.98501017,76,-0.681836275,32,-0.610761311,222,0.854960526,25,0.294292934,88.98113208,0.57602551,45,-0.317608215,-0.021543647,-0.024943774,0.53737395435014,0.656213984906919,-0.854982169350141,"UPC"
"21","32",20.23,4.516085409,122.67,0.293253202,60,0.248971844,62,0.965801985,27,0.304076256,165,0.124662443,15,0.013034742,59,1.202557614,33,1.678754225,0.453025822,0.524524647,0.263639398167042,0.321943143336037,1.41511482683296,"UGC"
"27","40",16.63,-2.313914591,122.67,-0.138869348,60,-0.295729157,63,-0.681836275,24,-0.035776103,178,-0.891006211,15,0.904086171,68,-0.968182764,32,0.385124145,-0.288052721,-0.333514657,-0.429886419754924,-0.52495562618886,0.815010564754924,"UGC"
"28","41",23.17,2.016085409,106.67,1.085657929,77.33,0.822761546,70,1.663562087,30,0.682542295,205,1.725351968,21,1.939406956,80.28301887,1.614725431,42,2.528413821,1.063630964,1.23149858,1.50947562709991,1.84329554586692,1.01893819390009,"UGC"
"30","43",18.94,0.846085409,114.67,0.581154851,70.67,0.248971844,65,0.965801985,27,-0.035776103,193,-0.132142974,17,0.591254207,71.24528302,0.57602551,33,1.142935739,0.440038144,0.509487188,0.162222013394542,0.198097345309918,0.980713725605459,"UGC"
"31","45",21.73,3.346085409,117.33,0.941437028,41.33,-0.21994689,64,-0.681836275,28,-1.41322975,180,-1.277718366,24,-1.163993086,71.73584906,-1.730016086,37,-1.366497347,-0.343393972,-0.397590144,-0.8748148198124,-1.06827976034208,-0.4916825271876,"EPC"
"33","47",19.58,4.846085409,117.33,0.005351553,58.67,0.410299723,65,0.5444753,28,1.102549013,178,1.10054546,18,0.591254207,71,0.817785013,35,1.678754225,0.515668897,0.597054369,0.871866868260469,1.06467987022069,0.806887356739531,"UGC"
"40","58",24.29,-4.733914591,147.14,-1.147335349,99.47,-1.54398622,67,-1.229160995,25,-0.851164447,193,-1.53146455,22,-1.354899639,78.13207547,-1.256154902,38,-1.557934351,-1.192911753,-1.381183116,-1.3991213625782,-1.70853648106906,-0.158812988421799,"EPC"
"43","63",18.46,1.766085409,130.67,0.149032301,77.33,-0.295729157,67,-1.10178426,26,-0.851164447,218,-0.590963,23,0.013034742,81.79245283,1.202557614,39,-0.539616645,-0.524911391,-0.60775556,-0.419366988490152,-0.512109826992903,-0.120249656509849,"EAC"
"44","64",18.59,-6.233914591,124,-1.435236998,77.33,-0.665955136,62,-1.350555732,24,-1.41322975,205,-1.114725156,17,0.294292934,73.49056604,-1.165024264,36,-0.755508785,-1.216244404,-1.408198244,-0.961618573445484,-1.17428012866618,0.206109788445483,"EPC"
"45","65",22.06,-1.983914591,126.67,-0.715212799,76,-0.949487599,74,-1.350555732,32,-1.063496366,204,-1.957597081,12,-0.252693548,80.49056604,-1.780358445,40,-0.755508785,-1.019688124,-1.180620458,-1.35301848649805,-1.65223797275853,0.597509701498045,"EPC"
"48","69",20.32,4.346085409,114.67,1.979611454,54.67,1.705844336,68,1.663562087,28,0.682542295,204,1.448440159,19,1.578007153,77.49056604,1.202557614,36,2.528413821,1.507890043,1.745872872,1.47467865042658,1.80080323200307,1.05373517057342,"UGC"
"49","70",24.9,2.126085409,125.33,-1.579457899,81.33,-2.276108396,70,-1.780035514,30,-0.610761311,193,-1.933620433,19,-0.252693548,76.01886792,-1.575011252,33,-0.317608215,-1.56159078,-1.808048931,-1.43047625399881,-1.74682549393128,1.11286803899881,"EPC"
"51","73",22,-2.483914591,116,0.221412828,77.33,0.090023366,72,0.965801985,31,-0.610761311,207,0.935398336,18,0.904086171,80.56603774,0.234823476,38,0.63160695,0.166619217,0.192915904,0.623963101111817,0.761952286137583,0.00764384888818256,"EAC"
"52","75",18.29,-0.983914591,109.33,-0.426770997,56,-0.593468235,66,-0.368379615,30,-0.035776103,195,-0.006129261,21,0.294292934,73.01886792,0.459468012,35,0.63160695,-0.356098738,-0.41230004,-0.0735508134991941,-0.0898165460315849,0.705157763499193,"UGC"
"53","76",18.16,-3.233914591,116,-1.651298273,79.43,-1.667262168,63,-0.828317379,32,-1.063496366,154,-1.777075657,16,-1.163993086,57.88679245,-1.780358445,32,-0.755508785,-1.302593547,-1.508175445,-1.50206945155948,-1.83425149791504,0.746560666559476,"EPC"
"54","77",24.07,3.186085409,118.67,0.005351553,68,-1.018965338,73,-0.026231123,24,-0.851164447,196,-0.193398456,20,-0.738283726,81.77358491,1.202557614,36,0.63160695,-0.472752339,-0.547364503,-0.297097391538665,-0.362800358574281,0.928704341538665,"UGC"
"55","78",19.8,-1.813914591,88,0.077191927,48,-0.371433657,61,-0.368379615,28,-1.41322975,151,-0.006129261,16,0.013034742,57.49056604,-0.810460226,30,0.63160695,-0.518962774,-0.600868102,-0.17613174491694,-0.215083208568699,0.807738694916939,"UGC"
"57","80",20.66,0.016085409,106.67,1.013277401,53.33,0.907436919,55,0.750905434,16,1.102549013,166,0.330096252,16,0.013034742,58.22641509,0.459468012,29,0.385124145,0.943542192,1.09245679,0.43703846184599,0.53368933918277,-0.051914316845988,"EAC"
"59","83",23.83,-1.483914591,138.67,0.221412828,89.6,0.329039454,75,-1.10178426,30,-0.035776103,218,-1.777075657,25,-0.738283726,87.71698113,-0.968182764,43,-0.755508785,-0.14677702,-0.169942112,-1.08175147778721,-1.32098037577639,0.326242692787213,"EPC"
"60","84",21.01,-0.903914591,96,0.293253202,36,0.329039454,59,0.346288694,19,1.102549013,180,0.19189094,13,1.232951274,67.11320755,0.234823476,36,0.385124145,0.517782591,0.599501657,0.421170172245077,0.514311783812526,-0.0360460272450769,"EAC"
"61","85",21.73,-0.813914591,126.67,0.509314477,73.33,0.410299723,74,0.965801985,30,1.567141763,209,0.698266199,21,0.904086171,83.77358491,0.459468012,38,0.63160695,0.863139487,0.999364524,0.726570678790412,0.887251487745259,-0.0949637287904114,"EAC"
"62","86",21.64,-2.233914591,118.67,-0.499151524,56,-0.44592234,65,-1.229160995,28,-0.339824306,169,-2.109863563,22,-0.738283726,70.16981132,-0.810460226,33,-1.16894812,-0.628514791,-0.727710173,-1.3988003217084,-1.70814444214192,0.2298522017084,"EPC"
"64","88",22.61,-1.773914591,133.33,0.581154851,74.67,0.491533654,74,0.5444753,32,0.682542295,218,0.330096252,22,-0.738283726,84.75471698,0.234823476,39,1.40778337,0.574926525,0.665664335,0.188449409609875,0.230124919494772,1.21933396039013,"UGC"
"65","89",17.37,4.016085409,110.67,1.434056735,61.33,0.573339531,60,1.663562087,27,0.682542295,180,0.698266199,14,0.591254207,66,0.943056631,36,0.884210536,1.088375162,1.260148032,0.816753469925438,0.997378166335857,0.0674570660745632,"EAC"
"67","91",21.92,-2.153914591,117.33,-0.967464338,61.33,-0.415757535,69,-1.229160995,27,-1.063496366,188,-1.316357789,21,-0.958524173,76.22641509,-1.092082561,35,-0.317608215,-0.918969809,-1.064006269,-1.11083333225058,-1.35649367048592,0.793225117250579,"EPC"
"68","92",24.88,-1.153914591,152.2,-0.354930623,89.27,-0.143532136,76,-1.10178426,31,-0.610761311,220,-0.843462206,23,-0.503071129,87.71698113,-0.373853223,44,-0.755508785,-0.552752083,-0.63999021,-0.680823387881862,-0.831387202408744,-0.074685397118138,"EAC"
