"","Model","P-Val","Sig"
"1","KTEAInt-20_70",4.61225138322946e-31,"*"
"2","KTEANoInt-20_70",5.19253585964285e-27,"*"
"3","KTEAInt-15_70",6.76166984681971e-31,"*"
"4","KTEANoInt-15_70",3.32748727428968e-26,"*"
"5","KTEAInt-15_60",1.31206755051641e-29,"*"
"6","KTEANoInt-15_60",5.04106848849693e-27,"*"
"7","KTEAInt-15_65",1.82422749680737e-30,"*"
"8","KTEANoInt-15_65",8.23264369469843e-28,"*"
"9","WJInt-20_70",8.02552706990154e-57,"*"
"10","WJNoInt-20_70",3.45217345774682e-59,"*"
"11","WJInt-15_70",5.92469388697856e-55,"*"
"12","WJNoInt-15_70",3.6053867844509e-57,"*"
"13","WJInt-15_60",1.28024455591842e-57,"*"
"14","WJNoInt-15_60",1.43613022674892e-64,"*"
"15","WJInt-15_65",5.77127835439568e-57,"*"
"16","WJNoInt-15_65",1.13817867069468e-61,"*"
"17","CompositeInt-20_70",9.05691125939011e-192,"*"
"18","CompositeNoInt-20_70",2.48810480818797e-165,"*"
"19","CompositeInt-15_70",1.05573902711426e-181,"*"
"20","CompositeNoInt-15_70",1.84224117690407e-153,"*"
"21","CompositeInt-15_60",6.57922388691581e-206,"*"
"22","CompositeNoInt-15_60",1.89170528451273e-183,"*"
"23","CompositeInt-15_65",1.13047374533182e-191,"*"
"24","CompositeNoInt-15_65",6.16498687831898e-170,"*"
