"","Model","P-Val","Sig"
"1","KTEAInt-20_70",0.245395080460306,NA
"2","KTEANoInt-20_70",0.0646161650389327,NA
"3","KTEAInt-15_70",0.267175324568157,NA
"4","KTEANoInt-15_70",0.0582610325615169,NA
"5","KTEAInt-15_60",0.16575313116019,NA
"6","KTEANoInt-15_60",0.032100203653248,"*"
"7","KTEAInt-15_65",0.255098303919461,NA
"8","KTEANoInt-15_65",0.0828106691765862,NA
"9","WJInt-20_70",0.480577513540054,NA
"10","WJNoInt-20_70",0.474700733737706,NA
"11","WJInt-15_70",0.315265376389351,NA
"12","WJNoInt-15_70",0.464198319502408,NA
"13","WJInt-15_60",0.58616668772135,NA
"14","WJNoInt-15_60",0.40684099472223,NA
"15","WJInt-15_65",0.353835502123782,NA
"16","WJNoInt-15_65",0.308812880213216,NA
"17","CompositeInt-20_70",0.123649274693941,NA
"18","CompositeNoInt-20_70",0.00667920281247263,"*"
"19","CompositeInt-15_70",0.0901964909018252,NA
"20","CompositeNoInt-15_70",0.00774168179764761,"*"
"21","CompositeInt-15_60",0.0843354616730506,NA
"22","CompositeNoInt-15_60",0.215230843192063,NA
"23","CompositeInt-15_65",0.0769942335866155,NA
"24","CompositeNoInt-15_65",0.0424780118817435,"*"
