"","subj","group"
"1",1003,"EAC"
"2",1005,"UPC"
"3",1081,"UGC"
"4",1153,"EPC"
"5",1154,"UPC"
"6",1168,"EPC"
"7",1171,"EPC"
"8",1178,"EAC"
"9",4003,"UPC"
"10",4007,"UGC"
"11",4012,"EPC"
"12",4013,"EAC"
"13",4021,"UGC"
"14",4022,"EPC"
"15",4023,"EPC"
"16",4026,"EPC"
"17",4030,"EAC"
"18",4035,"EPC"
"19",4036,"EPC"
"20",4037,"UPC"
"21",4039,"EAC"
"22",4040,"UPC"
"23",4041,"UGC"
"24",4042,"EPC"
"25",4044,"UGC"
"26",4045,"EPC"
"27",4047,"EAC"
"28",4048,"UPC"
"29",4050,"EAC"
"30",4055,"EPC"
"31",4056,"EPC"
"32",4057,"UPC"
"33",4059,"UPC"
"34",4060,"EAC"
"35",4063,"UPC"
"36",4065,"EAC"
"37",4070,"EPC"
"38",4071,"EAC"
"39",4075,"UPC"
"40",4078,"EPC"
"41",4081,"EAC"
"42",4083,"UGC"
"43",4084,"EAC"
"44",4085,"EPC"
"45",4091,"EPC"
"46",4092,"EAC"
"47",4093,"EAC"
"48",4104,"EAC"
"49",4107,"UPC"
"50",4109,"EAC"
"51",4122,"EAC"
"52",4123,"UPC"
"53",4124,"UPC"
"54",4125,"EPC"
"55",4126,"UPC"
"56",4130,"EPC"
"57",4132,"EPC"
"58",4134,"UPC"
"59",4142,"UPC"
"60",4143,"UPC"
"61",4144,"UGC"
"62",4148,"UPC"
"63",4151,"EPC"
"64",4155,"UGC"
"65",4159,"EPC"
"66",4162,"UPC"
"67",4163,"UPC"
"68",4165,"EPC"
"69",4174,"EAC"
"70",4179,"UGC"
"71",4182,"UPC"
"72",4183,"EAC"
"73",1,"EAC"
"74",3,"UPC"
"75",12,"UGC"
"76",15,"EPC"
"77",17,"EAC"
"78",19,"EAC"
"79",21,"UPC"
"80",22,"EPC"
"81",23,"EAC"
"82",24,"UPC"
"83",28,"EAC"
"84",30,"UPC"
"85",31,"EAC"
"86",32,"EPC"
"87",33,"EPC"
"88",34,"EPC"
"89",35,"EPC"
"90",37,"UPC"
"91",39,"EPC"
"92",40,"EPC"
"93",41,"UGC"
"94",42,"UPC"
"95",43,"UPC"
"96",47,"EPC"
"97",50,"UPC"
"98",51,"EAC"
"99",54,"EAC"
"100",56,"UGC"
"101",61,"EAC"
"102",62,"UPC"
"103",66,"UPC"
"104",68,"UPC"
"105",70,"UPC"
"106",76,"EPC"
"107",78,"EPC"
"108",80,"EPC"
"109",81,"EPC"
"110",83,"EAC"
"111",84,"EPC"
"112",86,"EPC"
"113",87,"UGC"
"114",88,"UPC"
"115",89,"EPC"
"116",90,"EAC"
"117",94,"UPC"
"118",95,"UPC"
"119",97,"UPC"
"120",98,"EAC"
"121",99,"EPC"
"122",100,"EAC"
"123",105,"EAC"
"124",108,"EPC"
"125",110,"UGC"
"126",111,"EAC"
"127",112,"UGC"
"128",113,"UPC"
"129",115,"EPC"
"130",118,"UGC"
"131",119,"EAC"
"132",122,"EAC"
"133",124,"UGC"
"134",125,"EAC"
"135",127,"UGC"
"136",128,"EAC"
"137",132,"UGC"
"138",133,"EAC"
"139",134,"EAC"
"140",136,"UGC"
"141",143,"EAC"
"142",144,"EAC"
"143",145,"UGC"
"144",147,"UPC"
"145",150,"EAC"
"146",152,"EAC"
"147",153,"UGC"
"148",154,"UPC"
"149",155,"EPC"
"150",157,"UGC"
"151",160,"UGC"
"152",163,"EPC"
"153",165,"UGC"
"154",167,"UPC"
"155",168,"UGC"
"156",169,"UGC"
"157",170,"EPC"
"158",171,"EPC"
"159",172,"EAC"
"160",174,"UGC"
"161",177,"UPC"
"162",178,"UGC"
"163",180,"EPC"
"164",181,"EPC"
"165",184,"EAC"
"166",185,"UGC"
"167",186,"UGC"
"168",188,"EAC"
"169",189,"UGC"
"170",194,"UPC"
"171",201,"UGC"
"172",202,"EPC"
"173",203,"UGC"
"174",205,"EPC"
"175",209,"EAC"
"176",214,"UGC"
"177",215,"UPC"
"178",216,"UPC"
"179",217,"EPC"
"180",218,"EAC"
"181",220,"EAC"
"182",221,"EAC"
"183",224,"EPC"
"184",225,"UGC"
"185",228,"UGC"
"186",230,"UPC"
"187",233,"EAC"
"188",234,"UGC"
"189",235,"EAC"
"190",236,"EPC"
"191",240,"EPC"
"192",241,"UGC"
"193",242,"EPC"
"194",243,"UGC"
"195",244,"EPC"
"196",245,"UGC"
"197",247,"EAC"
"198",249,"EAC"
"199",251,"UGC"
"200",252,"UPC"
"201",255,"UPC"
"202",256,"UPC"
"203",258,"EAC"
"204",260,"EAC"
"205",261,"UPC"
"206",263,"EPC"
"207",264,"EPC"
"208",265,"UPC"
"209",266,"EPC"
"210",267,"UPC"
"211",271,"EAC"
"212",273,"UGC"
"213",274,"UPC"
"214",277,"UPC"
"215",278,"UPC"
"216",281,"UGC"
"217",284,"EAC"
"218",295,"EPC"
