"","SubjectID","OC.LM1","OC.RLM1","PPVT.LM2","PPVT.RLM2","age","gender","sspan.raw","ppvt.raw","wasi.vocab.raw","wasi.matr.raw","wasi.iq","wj3.watt.raw","wj3.wid.raw","wj3.rcomp.raw","wj3.oralcomp.raw","celf.rs.raw","celf.fs.raw","towre.w.ipm","towre.nw.ipm","wj3.rf.ipm","decoding.comp","handedness","vocab.comp","sspan.tf","wasi.matr.tf","wasi.iq.tf","wj3.watt.tf","wj3.wid.tf","wj3.rcomp.tf","wj3.oralcomp.tf","celf.rs.tf","celf.fs.tf","towre.w.tf","towre.nw.tf","wj3.rf.tf","age.c","sspan.cs","wasi.matr.cs","wasi.iq.cs","wj3.watt.cs","wj3.wid.cs","wj3.rcomp.cs","wj3.oralcomp.cs","celf.rs.cs","celf.fs.cs","towre.w.cs","towre.nw.cs","wj3.rf.cs"
"1",1,"NSC","EAC","EAC","EAC",21.28,"Female",48,216,47,25,125,29,74,42,31,90,56,148.57,77.73,36.52,0.889828886761122,"right",1.25541548783126,0.914700128557153,1.01868139115073,1.20440217147591,-0.0546451861840314,0.954666834177817,0.86012317590078,1.17993866161485,0.639541318812575,1.34508990488873,1.52383011751701,0.436546884548418,1.02924244703424,1.52121718377088,0.899346666239299,0.952836608039957,1.22291242646984,0.173289677396441,0.881897046904666,0.860378019547866,1.10286828350321,0.648501913835378,0.924639275686433,1.42691040164046,0.468047086576757,1.00369855970028
"2",3,"UPC","UPC","UPC","UPC",24.38,"Male",38,220,43,24,112,32,75,39,31,86,56,112,81.33,29.33,0.92548867996899,"right",1.11468548828889,-0.190920173694672,0.669363476148038,0.46481879274892,1.58428105882695,1.22470370101385,0.0825807554130022,1.17993866161485,0.102910410238195,1.34508990488873,-0.497635104660698,0.687623310654085,0.219092686661039,4.62121718377088,-0.115834809399852,0.684791480527042,0.427071920090183,1.05727750541068,1.05802484514526,0.149162438458199,1.10286828350321,0.258507648896888,0.924639275686433,-0.441797092363564,0.690466289218388,0.125566323853001
"3",11,"EAC","EAC","NSC","NSC",19.05,"Female",57,214,45,26,129,31,74,41,29,93,56,148.57,81.33,27.67,1.26734673038739,"right",0.989112504504882,2.02318502893815,1.38886536093685,1.42260837766821,0.951822372174088,0.954666834177817,0.592740323391485,0.437168998918181,1.09711603347462,1.34508990488873,1.52383011751701,0.687623310654085,0.0138873521030133,-0.708782816229117,1.81300999431454,1.22088173555287,1.46778642843281,0.762614896072597,0.881897046904666,0.623306159184644,0.498189656761408,0.940997612539245,0.924639275686433,1.42691040164046,0.690466289218388,-0.0771735247570792
"4",12,"UGC","UGC","UGC","UGC",20.01,"Female",47,200,41,20,97,28,69,43,29,94,52,147.14,80,21,0.448311358963612,"right",0.0890407218311193,0.797982859259267,-0.527612998317522,-0.455645190889291,-0.448546366580239,-0.179170573938824,1.13578914998184,0.437168998918181,1.26086842955686,-0.776371583828048,1.43883185086883,0.594124078187342,-0.903054006790008,0.251217183770883,0.797828518675384,-0.387389029524618,-0.49120558727096,-0.121372931941637,0.00125805570171771,1.09744987991109,0.498189656761408,1.03849617877387,-0.387966344784874,1.35383816438518,0.608294750464675,-0.891796892365053
"5",14,"NSC","EAC","NSC","NSC",22.79,"Male",40,214,50,22,128,31,75,43,31,93,55,141.82,77.33,31.67,1.14249936648463,"left",1.41793609450009,0.0189986240229878,0.0316697425533037,1.36844181263884,0.951822372174088,1.22470370101385,1.13578914998184,1.17993866161485,1.09711603347462,0.640938222376512,1.12673783984843,0.409043802799406,0.49581965722482,3.03121718377088,0.0872014857279783,0.148701225501212,1.40656792794207,0.762614896072597,1.05802484514526,1.09744987991109,1.10286828350321,0.940997612539245,0.596487870568606,1.08198900200887,0.443333841838798,0.411356230929861
"6",15,NA,NA,"EPC","EPC",19.57,"Male",19,180,28,17,81,31,68,33,NA,65,46,106.67,74.67,14,0.034606877764969,"right",-1.56058243377503,-1.86985081068773,-1.22731948719366,-1.53699825658422,0.951822372174088,-0.367120892959059,-1.25561817852385,NA,-1.63833730092975,-1.89335990205065,-0.764588268508222,0.228178842247601,-2.09797724720435,-0.188782816229118,-2.04467961311424,-1.19152441206336,-1.47070159512285,0.762614896072597,-0.174869742538872,-1.27326872372114,NA,-1.78896224203018,-2.35687477549183,-0.714157249405988,0.278990764331371,-1.7467239648172
"7",17,"EPC","EPC","EAC","EAC",19.71,"Male",10,198,33,25,105,27,60,38,22,70,48,117.33,64,17.67,-0.87900140143266,"right",-0.662994567844971,-2.42818955313987,1.01868139115073,0.0451017657612659,-0.78133227313127,-1.49921034787061,-0.160320117218132,-1.51699482892275,-1.35785742845381,-1.67397210897167,-0.223382722537249,-0.460875292149494,-1.43325168256488,-0.0487828162291173,-2.95834294118948,0.952836608039957,-0.00145758334501736,-0.416035541279715,-1.58389212846359,-0.0879094219050235,-1.61818553683489,-1.30146941085707,-1.70057196525618,-0.169436935321139,-0.380235039053686,-1.29849791397443
"8",18,"NSC","NSC","NSC","NSC",22.19,"Male",39,186,34,27,97,30,67,36,24,81,53,122.67,65.33,19.33,-0.120326452534933,"left",-0.912463224871289,-0.0866836607712414,1.78031963366276,-0.455645190889291,0.408983417827933,-0.543520643093917,-0.622082519145794,-1.0539424222927,-0.461575640655752,-0.399230700666065,0.0585607606528155,-0.378247018441884,-1.16158890048629,2.43121718377088,-0.0143166618359369,1.48892686306579,-0.49120558727096,0.467952286734519,-0.350997540779462,-0.562053142631468,-1.01350691009309,-0.228985182276225,-0.0598149396670472,0.103434216387406,-0.298063500299972,-1.09575806536435
"9",19,"NSC","NSC","EAC","EAC",25.36,"Male",39,207,41,21,103,29,73,40,30,NA,NA,113.33,77.33,22.67,0.2110940102158,"right",0.345489048314839,-0.0866836607712414,-0.257555094141849,-0.0778808849897356,-0.0546451861840314,0.6999360661747,0.333580035710489,0.797492858018725,NA,NA,-0.429878362709463,0.409043802799406,-0.657490295458545,5.60121718377088,-0.0143166618359369,-0.119343902011703,-0.123894584326503,0.173289677396441,0.705769248664076,0.386234298821421,0.800528970132307,NA,NA,-0.373834801769488,0.443333841838798,-0.687835719365755
"10",21,"UPC","UPC","UPC","UPC",20.3,"Male",34,201,34,21,95,28,70,34,27,88,54,105.33,77.33,21,-0.23163247651523,"right",-0.477172814676645,-0.593068198170423,-0.257555094141849,-0.584665350746804,-0.448546366580239,0.0209052893051829,-1.05223057979554,-0.21954000549557,0.36117784864502,0.0669387761394801,-0.830536195087109,0.409043802799406,-0.903054006790008,0.541217183770883,-0.521907399655513,-0.119343902011703,-0.613642588252446,-0.121372931941637,0.177385853942307,-1.03619686335791,-0.106488969980391,0.453504781366133,0.268336465450779,-0.782630534666185,0.443333841838798,-0.891796892365053
