"","SubjectID","age","gender","sspan.raw","ppvt.raw","wasi.vocab.raw","wasi.matr.raw","wasi.iq","wj3.watt.raw","wj3.wid.raw","wj3.rcomp.raw","wj3.oralcomp.raw","celf.rs.raw","celf.fs.raw","towre.w.ipm","towre.nw.ipm","wj3.rf.ipm","decoding.comp","handedness","vocab.comp"
"1",1,21.28,"Female",48,216,47,25,125,29,74,42,31,90,56,148.57,77.73,"36.52",0.889828886761122,"right",1.25541548783126
"2",3,24.38,"Male",38,220,43,24,112,32,75,39,31,86,56,112,81.33,"29.33",0.92548867996899,"right",1.11468548828889
"3",11,19.05,"Female",57,214,45,26,129,31,74,41,29,93,56,148.57,81.33,"27.67",1.26734673038739,"right",0.989112504504882
"4",12,20.01,"Female",47,200,41,20,97,28,69,43,29,94,52,147.14,80,"21",0.448311358963612,"right",0.0890407218311193
"5",14,22.79,"Male",40,214,50,22,128,31,75,43,31,93,55,141.82,77.33,"31.67",1.14249936648463,"left",1.41793609450009
"6",15,19.57,"Male",19,180,28,17,81,31,68,33,NA,65,46,106.67,74.67,"14",0.034606877764969,"right",-1.56058243377503
"7",17,19.71,"Male",10,198,33,25,105,27,60,38,22,70,48,117.33,64,"17.67",-0.87900140143266,"right",-0.662994567844971
"8",18,22.19,"Male",39,186,34,27,97,30,67,36,24,81,53,122.67,65.33,"19.33",-0.120326452534933,"left",-0.912463224871289
"9",19,25.36,"Male",39,207,41,21,103,29,73,40,30,NA,NA,113.33,77.33,"22.67",0.2110940102158,"right",0.345489048314839
"10",21,20.3,"Male",34,201,34,21,95,28,70,34,27,88,54,105.33,77.33,"21",-0.23163247651523,"right",-0.477172814676645
"11",22,18.16,"Male",21,177,30,9,72,21,61,29,25,80,48,101.33,44,"14.33",-1.74977900022723,"right",-1.44842333080054
"12",23,16.85,"Female",38,187,35,20,91,22,67,35,28,86,52,126.67,72,"28.33",-0.5818569709747,"right",-0.802392645319845
"13",24,24.85,"Male",44,195,39,20,100,32,75,36,23,87,54,141.82,96.32,"22.67",1.75269467658634,"right",-0.241594319665762
"14",25,17.75,"Male",22,196,27,13,69,28,62,34,23,68,55,121.33,70.67,"29",-0.518313252210534,"right",-1.24044786811545
"15",27,23.71,"Male",53,222,52,25,128,32,76,45,34,95,53,148.57,96.92,"39.73",1.97609358233346,"right",1.99441922437281
"16",28,22.23,"Female",45,218,52,22,128,31,76,42,31,92,55,150,81.33,"33.03",1.46247264494495,NA,1.7832245050275
"17",30,18.44,"Female",43,198,41,23,110,29,69,34,27,89,50,122.67,77.33,"22.33",0.0895167449108901,"right",0.0231231761473621
"18",31,22.55,"Male",49,220,51,28,148,32,74,44,31,93,56,164.21,99.47,"44.55",2.16783299421302,"right",1.80080323228123
"19",32,20.23,"Male",32,165,33,15,84,27,62,33,20,74,52,122.67,60,"22.67",-0.797829917406833,"right",-1.38594853598843
"20",33,19.13,"Female",26,162,35,20,96,24,64,29,NA,85,49,116,57.33,"13",-1.08194637074404,"right",-1.25375454096559
"21",34,19.33,"Male",18,179,38,20,100,30,65,30,21,64,51,113.33,68,"21.67",-0.313034721904055,NA,-0.723247244890545
"22",35,21.55,"Female",17,180,32,9,74,11,53,35,23,79,48,98.67,16,"16.67",-2.43855317121913,"right",-1.21752356177886
"23",36,17.19,"Female",34,193,39,17,90,30,71,34,26,84,51,126.67,85.12,"33.49",0.585394085692438,"right",-0.300090475093413
"24",37,22.3,"Female",33,209,38,21,100,31,75,37,24,73,52,118.67,77.33,"32",0.754285879035616,"right",0.169326019839741
"25",39,18.18,"Female",30,168,29,17,83,10,45,32,23,71,52,84,8,"19",-2.80048949633813,"right",-1.68617122069371
"26",40,16.63,"Female",24,178,28,15,75,24,63,32,20,63,55,122.67,60,"18.67",-0.971112764830277,"right",-1.60068094528004
"27",41,23.17,"Male",34,205,30,21,85,30,70,42,24,76,55,106.67,77.33,"25.33",0.0448311058063786,"right",-0.675455799498028
"28",42,21.09,"Female",27,183,29,23,92,29,65,32,23,89,52,78.67,70.67,"23.67",-0.865177634465337,"right",-1.41061873231029
"29",43,18.94,"Female",25,193,33,17,88,27,65,33,24,73,48,114.67,70.67,"24",-0.597552093127322,"right",-0.814678783087663
"30",45,21.73,"Female",18,180,28,24,83,28,64,37,26,71,51,117.33,41.33,"21.33",-1.00628654041422,"right",-1.56058243377503
"31",47,19.58,"Female",26,178,26,18,81,28,65,35,21,64,46,117.33,58.67,"19.67",-0.681492256327049,"right",-1.77221038127812
"32",50,18.92,"Female",42,213,43,22,112,32,74,37,28,89,53,168.65,105.45,"33.26",2.40261534068528,"right",0.77173107170246
"33",51,23.03,"Male",13,202,40,17,95,29,68,38,27,74,50,128,61.33,"24",-0.192638549452478,"right",0.0723617262451214
"34",52,18.32,"Male",42,216,47,25,131,29,74,43,32,94,55,106.67,84.55,"31",0.343403737840606,"right",1.25541548783126
"35",54,23.66,"Male",36,209,37,21,94,32,73,40,27,83,55,143.72,83.72,"22",1.34239859096978,"right",0.0835613018406998
"36",55,18.08,"Female",53,222,44,26,124,32,75,45,31,81,56,146.9272428,80.45454545,"46.49006623",1.48980681798143,"right",1.30830148038047
"37",56,18.67,"Male",51,220,49,24,133,29,76,45,32,94,55,173.33,88.5,"38.43",1.77579543065501,"right",1.62927379628314
"38",61,22.6,"Female",30,213,43,24,114,31,74,41,25,85,53,137.33,81.33,"28",1.06559595862935,"right",0.77173107170246
"39",62,18.49,"Male",37,209,35,18,87,28,63,36,30,81,55,116,52,"18.33",-0.902286583947408,"right",-0.0879681341573834
"40",65,22.06,"Female",45,204,40,12,87,32,74,40,27,92,55,126.67,76,"35.42",0.962746689416106,"right",0.144734418180887
"41",66,24.91,"Male",27,200,32,18,88,28,67,35,24,79,52,122.67,62.67,"19.33",-0.42699693989219,"left",-0.682841740160255
"42",68,22.82,"Female",38,208,36,23,95,31,72,38,27,79,53,141.82,90,"33.41",1.18524496189767,"right",-0.0432268162365286
"43",69,20.32,"Female",23,204,35,19,93,28,68,36,27,80,55,114.67,54.67,"23",-0.640419048346251,NA,-0.284089171814321
"44",70,24.9,"Male",32,193,36,19,89,30,70,33,28,91,55,125.33,81.33,"26.33",0.41668974305181,"right",-0.557384629090538
"45",71,23.43,"Female",45,210,39,18,91,28,67,41,30,82,54,162.2,76,"32",0.540106855619179,"right",0.297046207608961
"46",72,21.34,"Male",32,197,31,20,84,26,64,36,22,81,53,96,70.67,"25.33",-0.994090663109567,"right",-0.866330965028236
