,SubjectID,cohort,age,gender,sspan.raw,ppvt.raw,wasi.vocab.raw,wasi.matr.raw,wasi.iq,wj3.watt.raw,wj3.wid.raw,wj3.rcomp.raw,wj3.oralcomp.raw,celf.rs.raw,celf.fs.raw,towre.w.ipm,towre.nw.ipm,wj3.rf.ipm,composite1,wasi.matr.tf,ppvt.tf,wj3.rcomp.tf,age.c,Pred,stdPred,resid,CI_group
1,1,a197,21.28,Female,48,216,47,25,125,29,74,42,31,90,56,148.57,77.73,36.52,0.804159927,1.084522427,0.99823297,0.934593585,1.424942966,0.890159128,1.087947745,0.044434457,EAC
2,3,a197,24.38,Male,38,220,43,24,112,32,75,39,31,86,56,112,81.33,29.33,0.875071596,0.726444066,1.392534331,0.128943857,4.524942966,1.163024104,1.429293336,-1.034080247,UPC
3,11,a197,19.05,Female,57,214,45,26,129,31,74,41,29,93,56,148.57,81.33,27.67,1.187517365,1.466461809,0.814466416,0.656819093,-0.805057034,0.828535749,1.010858816,-0.171716656,NSC
4,12,a197,20.01,Female,47,200,41,20,97,28,69,43,29,94,52,147.14,80,21,0.336288419,-0.479893109,-0.251504124,1.221716636,0.154942966,-0.159027113,-0.224551584,1.380743749,UGC
5,15,a197,19.57,Male,19,180,28,17,81,31,68,33,14,65,46,106.67,74.67,14,-0.047650819,-1.165620368,-1.244365245,-1.240230528,-0.285057034,-0.901419821,-1.153261753,-0.338810707,EPC
6,17,a197,19.71,Male,10,198,33,25,105,27,60,38,22,70,48,117.33,64,17.67,-0.954319557,1.084522427,-0.375794034,-0.121346107,-0.145057034,-0.195682205,-0.270405963,0.074336098,EAC
7,19,a197,25.36,Male,39,207,41,21,103,29,73,40,30,NA,NA,113.33,77.33,22.67,0.133218467,-0.210920598,0.236033425,0.388300498,5.504942966,0.278472094,0.322746305,0.109828405,EAC
8,21,a197,20.3,Male,34,201,34,21,95,28,70,34,27,88,54,105.33,77.33,21,-0.327696826,-0.210920598,-0.186958519,-1.033794334,0.444942966,-0.165533548,-0.232690932,-0.868260785,UPC
9,22,a197,18.16,Male,21,177,30,9,72,21,61,29,25,80,48,101.33,44,14.33,-1.831427318,-2.229631064,-1.351999042,-1.982409255,-1.695057034,-1.391147493,-1.765895827,-0.591261762,EPC
10,23,a197,16.85,Female,38,187,35,20,91,22,67,35,28,86,52,126.67,72,28.33,-0.682345568,-0.479893109,-0.95530382,-0.818789783,-3.005057034,-0.793200233,-1.017882416,-0.025589551,EPC
11,24,a197,24.85,Male,44,195,39,20,100,32,75,36,23,87,54,141.82,96.32,22.67,1.670782996,-0.479893109,-0.550705229,-0.595114078,4.994942966,-0.027130191,-0.059552641,-0.567983886,UPC
12,25,a197,17.75,Male,22,196,27,13,69,28,62,34,23,68,55,121.33,70.67,29,-0.602022427,-1.822962398,-0.493896176,-1.033794334,-2.105057034,-0.67515993,-0.870217673,-0.358634403,NSC
13,27,a197,23.71,Male,53,222,52,25,128,32,76,45,34,95,53,148.57,96.92,39.73,1.897290956,1.084522427,1.603751013,1.824372936,3.854942966,1.457421564,1.797575395,0.366951372,NSC
14,30,a197,18.44,Female,43,198,41,23,110,29,69,34,27,89,50,122.67,77.33,22.33,-0.003117403,0.391601268,-0.375794034,-1.033794334,-1.415057034,-0.197516332,-0.272700399,-0.836278002,UPC
15,31,a197,22.55,Male,49,220,51,28,148,32,74,44,31,93,56,164.21,99.47,44.55,2.047289544,2.304387242,1.392534331,1.518279674,2.694942966,1.493379358,1.842557476,0.024900316,EAC
16,32,a197,20.23,Male,32,165,33,15,84,27,62,33,20,74,52,122.67,60,22.67,-0.87674548,-1.528632788,-1.69996795,-1.240230528,0.374942966,-1.314257778,-1.669709186,0.074027249,EPC
17,33,a197,19.13,Female,26,162,35,20,96,24,64,29,15,85,49,116,57.33,13,-1.167742403,-0.479893109,-1.769054728,-1.982409255,-0.725057034,-1.276651018,-1.622664301,-0.705758237,EPC
18,35,a197,21.55,Female,17,180,32,9,74,11,53,35,23,79,48,98.67,16,16.67,-2.508633674,-2.229631064,-1.244365245,-0.818789783,1.694942966,-1.330008815,-1.689413243,0.511219032,EPC
