SubjectID,handedness
1,right
2,right
3,right
4,NA
5,NA
6,NA
8,NA
9,right
11,right
12,right
13,NA
14,left
15,right
17,right
18,left
19,right
20,left
21,right
22,right
23,right
24,right
25,right
27,right
28,NA
30,right
31,right
32,right
33,right
34,NA
35,right
36,right
37,right
39,right
40,right
41,right
42,right
43,right
44,NA
45,right
46,right
47,right
48,NA
49,NA
50,right
51,right
52,right
53,NA
54,right
55,right
56,right
58,NA
59,NA
60,NA
61,right
62,right
63,NA
64,NA
65,right
66,left
68,right
69,NA
70,right
71,right
72,right
73,right
74,right
75,left
76,right
77,right
78,right
79,right
80,right
81,right
82,right
83,right
84,right
85,right
86,right
87,right
88,right
89,right
90,NA
91,right
92,left
93,NA
94,right
95,right
96,right
97,left
98,right
99,right
100,right
101,right
102,right
103,right
105,right
106,right
108,right
110,right
111,right
112,right
113,left
114,right
115,left
117,right
118,right
119,right
120,right
121,right
122,right
123,right
124,right
125,right
126,right
127,right
128,right
129,right
130,right
131,right
132,right
133,right
134,right
136,right
137,left
138,right
140,left
141,right
142,right
143,right
144,right
145,right
146,right
147,right
148,right
150,left
151,right
152,right
153,right
154,left
155,right
156,right
157,right
158,right
159,right
160,right
161,right
162,right
163,right
164,right
165,right
166,right
167,right
168,right
169,left
170,right
171,right
172,right
173,right
174,left
175,right
176,right
177,right
178,right
179,right
180,left
181,right
182,right
183,right
184,right
185,right
186,right
187,right
188,right
189,right
190,right
191,left
193,left
194,right
195,right
198,left
200,right
201,right
202,right
203,right
204,left
205,right
206,NA
207,right
208,right
209,right
211,right
212,right
213,NA
214,right
215,right
216,right
217,right
218,right
219,right
220,right
221,right
223,right
224,right
225,left
226,NA
227,right
228,right
229,right
230,right
231,right
232,right
233,right
234,left
235,left
236,right
237,right
238,left
239,right
240,right
241,right
242,right
243,right
244,right
245,right
246,NA
247,right
248,right
249,right
250,right
251,left
252,right
253,right
254,right
255,right
256,right
257,right
258,right
259,right
260,right
261,right
262,right
263,right
264,right
265,right
266,right
267,right
268,right
269,left
270,left
271,right
272,right
273,right
274,right
275,right
276,right
277,right
278,right
280,right
281,right
282,left
284,right
285,right
286,right
287,right
288,right
289,right
290,right
292,right
293,right
294,right
295,right
296,right
1000,NA
1001,NA
1002,right
1003,right
1004,right
1005,right
1006,NA
1007,right
1008,left
1010,right
1011,left
1012,right
1013,right
1014,right
1015,NA
1016,right
1017,NA
1018,right
1019,NA
1020,right
1021,NA
1022,left
1023,right
1024,right
1027,right
1028,right
1029,right
1030,NA
1031,right
1032,NA
1033,NA
1034,right
1035,left
1036,right
1037,right
1038,right
1039,NA
1040,left
1041,NA
1042,NA
1043,right
1044,NA
1045,right
1046,right
1047,right
1048,right
1049,left
1050,right
1051,NA
1052,NA
1053,right
1054,right
1055,right
1056,right
1057,right
1058,right
1059,right
1061,right
1062,right
1063,right
1064,right
1065,right
1066,right
1067,right
1068,right
1069,NA
1070,NA
1071,right
1072,NA
1073,right
1074,right
1075,NA
1076,right
1077,NA
1078,left
1079,NA
1080,NA
1081,NA
1082,NA
1083,right
1084,NA
1085,right
1087,right
1088,left
1090,NA
1091,NA
1092,NA
1093,left
1094,NA
1095,right
1096,left
1097,right
1098,left
1099,NA
1100,NA
1101,right
1102,right
1103,NA
1104,NA
1105,NA
1106,right
1107,NA
1108,left
1109,NA
1110,NA
1111,NA
1112,NA
1113,right
1114,NA
1115,NA
1116,left
1117,NA
1118,right
1119,NA
1120,right
1121,NA
1122,NA
1123,NA
1124,NA
1125,NA
1126,NA
1127,NA
1128,NA
1129,right
1130,NA
1132,NA
1133,NA
1134,NA
1135,NA
1136,NA
1137,NA
1139,NA
1140,NA
1141,NA
1142,right
1143,NA
1144,NA
1146,right
1147,right
1148,NA
1149,NA
1150,left
1152,left
1153,left
1154,right
1155,NA
1156,NA
1157,right
1159,NA
1160,right
1161,right
1162,NA
1163,right
1164,NA
1165,NA
1167,left
1168,right
1169,right
1170,right
1171,NA
1172,NA
1173,NA
1174,right
1175,right
1176,right
1177,NA
1178,NA
1179,right
1180,left
1181,NA
1182,NA
1183,NA
1184,right
1185,right
1186,right
1187,right
1188,right
1189,left
1190,NA
1191,NA
1192,NA
1193,NA
1194,NA
1195,right
1196,NA
1197,right
1198,NA
1199,NA
1200,NA
1201,NA
1202,NA
1203,NA
1204,NA
1205,NA
1206,NA
1208,NA
1209,NA
1210,NA
1211,NA
1212,NA
1213,NA
4001,right
4002,right
4003,right
4004,right
4005,right
4006,right
4007,right
4008,NA
4009,left
4010,right
4011,right
4012,right
4013,right
4014,right
4015,right
4016,left
4017,right
4018,right
4019,left
4020,right
4021,right
4022,right
4023,right
4024,left
4025,right
4026,right
4028,right
4029,right
4030,left
4031,right
4032,left
4033,NA
4034,left
4035,left
4036,right
4037,right
4038,right
4039,right
4040,left
4041,NA
4042,NA
4043,NA
4044,right
4045,left
4046,right
4047,right
4048,NA
4049,right
4050,right
4051,right
4052,right
4053,NA
4054,right
4055,right
4056,right
4057,right
4058,right
4059,right
4060,right
4061,right
4062,right
4063,left
4064,right
4065,right
4066,right
4067,left
4068,right
4069,left
4070,right
4071,right
4072,NA
4073,right
4074,right
4075,right
4076,right
4077,right
4078,right
4079,left
4080,right
4081,left
4082,right
4083,right
4084,right
4085,left
4086,right
4087,right
4088,right
4089,right
4090,right
4091,left
4092,right
4093,left
4094,right
4095,NA
4096,left
4097,NA
4098,NA
4099,NA
4100,NA
4101,right
4102,right
4103,NA
4104,right
4105,NA
4106,right
4107,right
4108,right
4109,right
4110,right
4111,right
4112,NA
4113,NA
4114,right
4115,NA
4116,right
4117,NA
4118,NA
4119,right
4120,NA
4121,left
4122,right
4123,right
4124,right
4125,right
4126,right
4127,right
4128,right
4129,right
4130,left
4131,right
4132,right
4133,left
4134,right
4135,right
4136,right
4137,NA
4138,NA
4139,NA
4140,NA
4141,right
4142,right
4143,right
4144,right
4145,right
4146,right
4147,right
4148,right
4149,right
4150,right
4151,right
4152,NA
4153,NA
4154,right
4155,left
4156,right
4157,right
4158,right
4159,right
4160,right
4161,right
4162,right
4163,right
4164,NA
4165,right
4166,right
4167,left
4168,right
4169,right
4170,right
4171,right
4172,right
4173,right
4174,right
4175,right
4176,right
4177,right
4178,left
4179,right
4180,left
4181,right
4182,right
4183,right
4184,right
4185,right
4186,right
4187,right
