SubjectID,mri_id
1000,h1000
1001,h1001
1004,h1004
1005,h1005
1006,h1006
1008,h1008
1011,h1011
1014,h1014
1015,h1015
1017,h1017
1018,h1018
1019,h1019
1020,h1020
1021,h1021
1022,h1022
1023,h1023
1027,h1027
1028,h1028
1030,h1030
1035,h1035
1037,h1037
1040,h1040
1042,h1042
1044,h1044
1045,h1045
1047,h1047
1049,h1049
1051,h1051
1053,h1053
1054,h1054
1055,h1055
1056,h1056
1057,h1057
1059,h1059
1062,h1062
1063,h1063
1064,h1064
1065,h1065
1066,h1066
1067,h1067
1068,h1068
1069,h1069
1070,h1070
1071,h1071
1072,h1072
1074,h1074
1075,h1075
1076,h1076
1078,h1078
1081,h1081
1082,h1082
1087,h1087
1089,h1089
1091,h1091
1092,h1092
1093,h1093
1094,h1094
1095,h1095
1096,h1096
1097,h1097
1098,h1098
1099,h1099
1102,h1102
1104,h1104
1112,h1112
1113,h1113
1114,h1114
1115,h1115
1116,h1116
1119,h1119
1120,h1120
1121,h1121
1125,h1125
1126,h1126
1127,h1127
1128,h1128
1129,h1129
1130,h1130
1134,h1134
1135,h1135
1136,h1136
1140,h1140
1142,h1142
1143,h1143
1144,h1144
1146,h1146
1147,h1147
1148,h1148
1149,h1149
1150,h1150
1152,h1152
1153,h1153
1154,h1154
1156,h1156
1157,h1157
1160,h1160
1161,h1161
1163,h1163
1165,h1165
1167,h1167
1168,h1168
1174,h1174
1176,h1176
1178,h1178
1180,h1180
1182,h1182
1183,h1183
1184,h1184
1189,h1189
1190,h1190
1191,h1191
1197,h1197
1198,h1198
1201,h1201
54,ta6520
62,ta6589
42,ta6618
51,ta6647
34,ta6679
66,ta6713
71,ta6744
12,ta6754
77,ta6773
78,ta6778
33,ta6807
83,ta6811
45,ta6827
82,ta6858
84,ta6861
73,ta6871
81,ta6888
46,ta6890
69,ta6921
39,ta6924
43,ta6943
18,ta6946
24,ta6957
1,ta6966
25,ta7006
50,ta7019
90,ta7036
40,ta7039
2,ta7067
85,ta7071
86,ta7093
20,ta7096
87,ta7121
17,ta7124
80,ta7139
21,ta7161
89,ta7165
14,ta7193
15,ta7196
88,ta7207
37,ta7221
102,ta7224
61,ta7248
106,ta7251
31,ta7264
19,ta7279
95,ta7290
92,ta7317
94,ta7329
99,ta7331
100,ta7350
97,ta7375
107,ta7387
98,ta7389
103,ta7406
108,ta7436
109,ta7451
115,ta7454
110,ta7484
112,ta7508
113,ta7521
11,ta7523
117,ta7538
161,ta8048
167,ta8064
162,ta8090
124,ta8106
165,ta8121
166,ta8133
154,ta8155
131,ta8166
136,ta8168
164,ta8193
121,ta8223
171,ta8351
169,ta8378
173,ta8391
170,ta8394
172,ta8412
175,ta8424
177,ta8438
178,ta8566
186,ta8597
189,ta8653
181,ta8656
191,ta8667
146,ta8679
140,ta8711
144,ta8730
195,ta8763
133,ta8798
142,ta8837
185,ta8864
203,ta8895
184,ta8915
214,ta8938
212,ta8952
207,ta9010
219,ta9031
192,ta9068
221,ta9088
130,ta9145
229,ta9276
1106,tb0027
1175,tb0065
1169,tb0093
4102,tb0209
4036,tb0247
1185,tb0275
4091,tb0322
1179,tb0349
1187,tb0456
4114,tb0467
4123,tb0511
4045,tb0603
4121,tb0650
1186,tb0716
1195,tb0717
4132,tb1109
123,tb1208
1204,tb1313
1203,tb1401
1188,tb1524
4167,tb2272
4151,tb3042
307,tb4111
305,tb4145
306,tb4179
317,tb4202
315,tb4216
324,tb4290
320,tb4331
321,tb4380
293,tb4398
327,tb4413
323,tb4492
333,tb4573
329,tb4603
338,tb4670
342,tb4754
341,tb4771
343,tb4776
357,tb4801
349,tb4847
1002,tb5762
1007,tb5914
1003,tb5976
1010,tb5985
1012,tb6082
1013,tb6150
1016,tb6301
1024,tb6366
1031,tb6562
1029,tb6601
1038,tb6631
1034,tb6812
1036,tb6813
1043,tb6842
4084,tb6913
1046,tb6930
1050,tb7065
1048,tb7153
1058,tb7376
1061,tb7428
4013,tb7457
4007,tb7522
4009,tb7772
4004,tb8043
1073,tb8068
4021,tb8082
4026,tb8102
4030,tb8247
4016,tb8267
1083,tb8403
4002,tb8466
1085,tb8503
4022,tb8605
4023,tb8676
4042,tb8858
4047,tb8898
1118,tb9027
4051,tb9038
4039,tb9066
4059,tb9122
1108,tb9148
4063,tb9183
4057,tb9256
4041,tb9267
4050,tb9302
4060,tb9317
4055,tb9327
4040,tb9363
4071,tb9366
4070,tb9401
4048,tb9404
4078,tb9437
4062,tb9438
4081,tb9489
4038,tb9518
4010,tb9579
4085,tb9700
4090,tb9814
